ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,14759959,22-APR-21 02.24.08.077000 PM,0,0,0,0,0
1,14759998,22-APR-21 02.24.09.077000 PM,1,9,0,10,1
2,14760267,22-APR-21 02.24.10.092000 PM,9,71,6,70,8
3,14760881,22-APR-21 02.24.11.092000 PM,19,207,25,212,23
4,14761713,22-APR-21 02.24.12.107000 PM,33,392,43,413,45
5,14762516,22-APR-21 02.24.13.123000 PM,48,573,68,599,61
6,14763193,22-APR-21 02.24.14.122000 PM,67,716,82,761,72
7,14764119,22-APR-21 02.24.15.138000 PM,85,934,104,966,95
8,14765013,22-APR-21 02.24.16.153000 PM,103,1136,125,1179,110
9,14766151,22-APR-21 02.24.17.169000 PM,121,1393,153,1439,133
10,14766808,22-APR-21 02.24.18.184000 PM,140,1544,164,1583,151
11,14767588,22-APR-21 02.24.19.184000 PM,159,1722,187,1758,164
12,14768413,22-APR-21 02.24.20.199000 PM,177,1907,206,1953,176
13,14769341,22-APR-21 02.24.21.215000 PM,195,2115,230,2171,190
14,14769979,22-APR-21 02.24.22.230000 PM,213,2268,239,2310,199
15,14770853,22-APR-21 02.24.23.245000 PM,236,2447,259,2523,223
16,14771599,22-APR-21 02.24.24.261000 PM,251,2613,283,2690,249
17,14772030,22-APR-21 02.24.25.276000 PM,273,2710,291,2782,255
18,14772612,22-APR-21 02.24.26.291000 PM,291,2830,305,2918,270
19,14773423,22-APR-21 02.24.27.307000 PM,309,3029,328,3102,289
20,14774246,22-APR-21 02.24.28.322000 PM,330,3219,340,3270,309
21,14774951,22-APR-21 02.24.29.338000 PM,348,3375,361,3432,322
22,14775693,22-APR-21 02.24.30.353000 PM,367,3541,379,3601,337
23,14776691,22-APR-21 02.24.31.368000 PM,384,3784,394,3823,357
24,14777395,22-APR-21 02.24.32.384000 PM,404,3951,406,3990,380
25,14777771,22-APR-21 02.24.33.399000 PM,418,4043,407,4049,385
26,14778239,22-APR-21 02.24.34.415000 PM,445,4148,419,4139,399
27,14779250,22-APR-21 02.24.35.430000 PM,462,4366,444,4384,423
28,14780168,22-APR-21 02.24.36.445000 PM,480,4585,463,4595,445
29,14781501,22-APR-21 02.24.37.461000 PM,498,4889,487,4907,467
30,14782057,22-APR-21 02.24.38.476000 PM,519,5004,499,5040,473
31,14782747,22-APR-21 02.24.39.492000 PM,537,5169,513,5190,483
32,14783364,22-APR-21 02.24.40.523000 PM,553,5314,526,5333,496
33,14784245,22-APR-21 02.24.41.538000 PM,577,5514,542,5521,522
34,14785288,22-APR-21 02.24.42.553000 PM,594,5759,568,5751,553
35,14786023,22-APR-21 02.24.43.569000 PM,611,5928,588,5914,570
36,14786600,22-APR-21 02.24.44.584000 PM,635,6038,608,6051,585
37,14787481,22-APR-21 02.24.45.599000 PM,652,6241,629,6251,605
38,14788261,22-APR-21 02.24.46.630000 PM,671,6419,649,6427,621
39,14789060,22-APR-21 02.24.47.646000 PM,691,6602,667,6607,634
40,14789924,22-APR-21 02.24.48.661000 PM,710,6807,678,6798,657
41,14790560,22-APR-21 02.24.49.677000 PM,729,6951,690,6938,675
42,14791369,22-APR-21 02.24.50.692000 PM,744,7137,708,7126,688
43,14791797,22-APR-21 02.24.51.707000 PM,768,7231,714,7215,696
44,14792964,22-APR-21 02.24.52.738000 PM,785,7510,746,7487,721
45,14793693,22-APR-21 02.24.53.754000 PM,804,7670,762,7655,737
46,14794949,22-APR-21 02.24.54.769000 PM,824,7954,786,7940,770
47,14795790,22-APR-21 02.24.55.785000 PM,838,8147,809,8131,792
48,14796611,22-APR-21 02.24.56.800000 PM,861,8333,828,8312,812
49,14797421,22-APR-21 02.24.57.815000 PM,881,8516,844,8495,834
50,14798503,22-APR-21 02.24.58.846000 PM,900,8781,863,8748,863
51,14799612,22-APR-21 02.24.59.862000 PM,917,9036,886,8991,879
52,14800280,22-APR-21 02.25.00.877000 PM,939,9179,901,9147,890
53,14801319,22-APR-21 02.25.01.893000 PM,952,9395,915,9415,921
54,14802173,22-APR-21 02.25.02.908000 PM,973,9584,931,9614,941
55,14803315,22-APR-21 02.25.03.939000 PM,991,9874,959,9861,955
56,14803980,22-APR-21 02.25.04.954000 PM,1010,10026,974,10022,976
57,14804689,22-APR-21 02.25.05.970000 PM,1028,10179,985,10172,987
58,14805466,22-APR-21 02.25.06.985000 PM,1042,10363,1003,10343,1008
59,14805900,22-APR-21 02.25.08.000000 PM,1067,10455,1014,10433,1017
60,14806799,22-APR-21 02.25.09.016000 PM,1085,10648,1034,10638,1045
61,14807540,22-APR-21 02.25.10.031000 PM,1094,10753,1047,10760,1052
62,14808396,22-APR-21 02.25.11.047000 PM,1106,10798,1051,10817,1054
63,14809489,22-APR-21 02.25.12.078000 PM,1111,10866,1052,10871,1054
64,14810107,22-APR-21 02.25.13.093000 PM,1114,10838,1044,10800,1057
65,14810806,22-APR-21 02.25.14.108000 PM,1116,10862,1048,10778,1066
66,14811838,22-APR-21 02.25.15.124000 PM,1116,10855,1056,10834,1072
67,14812914,22-APR-21 02.25.16.155000 PM,1116,10886,1064,10872,1072
68,14814007,22-APR-21 02.25.17.170000 PM,1117,10888,1055,10859,1073
69,14814964,22-APR-21 02.25.18.186000 PM,1112,10965,1059,10934,1075
70,14815741,22-APR-21 02.25.19.201000 PM,1114,10957,1052,10938,1083
71,14816976,22-APR-21 02.25.20.216000 PM,1117,11049,1066,11019,1095
72,14817762,22-APR-21 02.25.21.247000 PM,1113,11031,1059,10989,1098
73,14818363,22-APR-21 02.25.22.263000 PM,1115,11015,1071,11001,1110
74,14819086,22-APR-21 02.25.23.278000 PM,1113,10971,1062,10927,1097
75,14819959,22-APR-21 02.25.24.294000 PM,1118,10991,1055,10989,1094
76,14820621,22-APR-21 02.25.25.309000 PM,1115,11054,1063,11044,1109
77,14821570,22-APR-21 02.25.26.324000 PM,1115,11142,1078,11126,1114
78,14822361,22-APR-21 02.25.27.355000 PM,1120,11140,1075,11129,1113
79,14823352,22-APR-21 02.25.28.371000 PM,1116,11186,1090,11169,1117
80,14824302,22-APR-21 02.25.29.386000 PM,1117,11234,1088,11212,1130
81,14824966,22-APR-21 02.25.30.402000 PM,1118,11212,1087,11192,1124
82,14826223,22-APR-21 02.25.31.417000 PM,1118,11248,1101,11262,1134
83,14827248,22-APR-21 02.25.32.448000 PM,1115,11312,1114,11343,1134
84,14828210,22-APR-21 02.25.33.463000 PM,1121,11438,1143,11505,1144
85,14828901,22-APR-21 02.25.34.479000 PM,1111,11486,1144,11552,1146
86,14830025,22-APR-21 02.25.35.510000 PM,1116,11549,1135,11593,1150
87,14830846,22-APR-21 02.25.36.525000 PM,1116,11486,1129,11572,1138
88,14831796,22-APR-21 02.25.37.540000 PM,1114,11395,1134,11464,1142
89,14832519,22-APR-21 02.25.38.556000 PM,1114,11448,1133,11489,1150
90,14833132,22-APR-21 02.25.39.571000 PM,1114,11426,1126,11481,1154
91,14834104,22-APR-21 02.25.40.602000 PM,1118,11521,1134,11542,1173
92,14835037,22-APR-21 02.25.41.618000 PM,1114,11539,1146,11570,1177
93,14835632,22-APR-21 02.25.42.633000 PM,1119,11416,1128,11455,1166
94,14836450,22-APR-21 02.25.43.648000 PM,1118,11444,1121,11491,1171
95,14837290,22-APR-21 02.25.44.664000 PM,1118,11481,1119,11563,1177
96,14838524,22-APR-21 02.25.45.679000 PM,1116,11551,1124,11661,1183
97,14839450,22-APR-21 02.25.46.710000 PM,1110,11614,1130,11728,1187
98,14839915,22-APR-21 02.25.47.726000 PM,1115,11510,1116,11623,1182
99,14840949,22-APR-21 02.25.48.741000 PM,1111,11535,1128,11707,1183
100,14841460,22-APR-21 02.25.49.756000 PM,1114,11491,1126,11661,1175
101,14842492,22-APR-21 02.25.50.772000 PM,1120,11548,1130,11734,1187
102,14843290,22-APR-21 02.25.51.787000 PM,1114,11622,1137,11816,1194
103,14844243,22-APR-21 02.25.52.803000 PM,1118,11559,1133,11760,1189
104,14845038,22-APR-21 02.25.53.834000 PM,1114,11537,1136,11759,1192
105,14846134,22-APR-21 02.25.54.849000 PM,1114,11546,1143,11775,1182
106,14847144,22-APR-21 02.25.55.864000 PM,1118,11577,1140,11800,1170
