ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,4438623,16-MAY-21 12.51.27.569000 PM,0,0,0,0,0
1,4438730,16-MAY-21 12.51.28.580000 PM,4,23,3,24,2
2,4439457,16-MAY-21 12.51.29.588000 PM,17,193,22,188,16
3,4440986,16-MAY-21 12.51.30.596000 PM,48,523,53,554,61
4,4443265,16-MAY-21 12.51.31.604000 PM,116,1058,97,1041,115
5,4446332,16-MAY-21 12.51.32.614000 PM,182,1745,174,1758,166
6,4450128,16-MAY-21 12.51.33.624000 PM,266,2606,263,2622,255
7,4454122,16-MAY-21 12.51.34.635000 PM,367,3539,362,3492,341
8,4457038,16-MAY-21 12.51.35.652000 PM,435,4223,422,4138,401
9,4459706,16-MAY-21 12.51.36.662000 PM,494,4816,483,4756,470
10,4464833,16-MAY-21 12.51.37.672000 PM,626,6043,587,5849,586
11,4471680,16-MAY-21 12.51.38.684000 PM,794,7634,740,7344,774
12,4478320,16-MAY-21 12.51.39.695000 PM,958,9099,867,8896,924
13,4484721,16-MAY-21 12.51.40.707000 PM,1106,10572,991,10339,1077
14,4491050,16-MAY-21 12.51.41.719000 PM,1256,12013,1123,11767,1232
15,4496367,16-MAY-21 12.51.42.741000 PM,1378,13198,1230,13001,1360
16,4498399,16-MAY-21 12.51.43.765000 PM,1415,13666,1268,13470,1406
17,4502957,16-MAY-21 12.51.44.803000 PM,1532,14726,1364,14469,1516
18,4509325,16-MAY-21 12.51.45.840000 PM,1662,16142,1496,15970,1661
19,4515694,16-MAY-21 12.51.46.865000 PM,1795,17576,1629,17454,1791
20,4519152,16-MAY-21 12.51.47.889000 PM,1881,18369,1714,18224,1868
21,4525444,16-MAY-21 12.51.48.957000 PM,2020,19808,1866,19644,2011
22,4528310,16-MAY-21 12.51.49.985000 PM,2082,20459,1927,20306,2066
23,4531246,16-MAY-21 12.51.50.997000 PM,2155,21086,1987,21016,2123
24,4532893,16-MAY-21 12.51.52.009000 PM,2187,21466,2016,21394,2163
25,4535886,16-MAY-21 12.51.53.024000 PM,2242,22164,2084,22066,2241
26,4543422,16-MAY-21 12.51.54.050000 PM,2412,23916,2269,23736,2401
27,4547128,16-MAY-21 12.51.55.067000 PM,2514,24763,2343,24562,2485
28,4548450,16-MAY-21 12.51.56.099000 PM,2544,25073,2371,24855,2514
29,4552351,16-MAY-21 12.51.57.127000 PM,2625,25949,2447,25764,2605
30,4558886,16-MAY-21 12.51.58.147000 PM,2753,27409,2593,27306,2734
31,4562596,16-MAY-21 12.51.59.217000 PM,2835,28220,2675,28189,2810
32,4563085,16-MAY-21 12.52.00.246000 PM,2853,28338,2690,28286,2818
33,4563886,16-MAY-21 12.52.01.261000 PM,2873,28531,2703,28457,2831
34,4568401,16-MAY-21 12.52.02.313000 PM,2985,29547,2826,29480,2934
35,4575977,16-MAY-21 12.52.03.331000 PM,3148,31254,3029,31200,3121
36,4582423,16-MAY-21 12.52.04.352000 PM,3287,32701,3169,32697,3265
37,4584462,16-MAY-21 12.52.05.371000 PM,3340,33183,3218,33144,3307
38,4590597,16-MAY-21 12.52.06.384000 PM,3477,34596,3334,34523,3450
39,4596594,16-MAY-21 12.52.07.404000 PM,3612,35946,3460,35903,3590
40,4601368,16-MAY-21 12.52.08.437000 PM,3719,37052,3561,36978,3693
