ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,110409948,21-MAY-21 07.55.37.331000 AM,0,0,0,0,0
1,110410046,21-MAY-21 07.55.38.341000 AM,3,22,3,22,1
2,110410747,21-MAY-21 07.55.39.350000 AM,24,191,15,171,13
3,110412220,21-MAY-21 07.55.40.358000 AM,48,518,52,521,46
4,110414442,21-MAY-21 07.55.41.368000 AM,95,1000,105,1045,111
5,110417474,21-MAY-21 07.55.42.378000 AM,167,1683,165,1744,175
6,110420010,21-MAY-21 07.55.43.388000 AM,219,2258,220,2326,236
7,110423109,21-MAY-21 07.55.44.397000 AM,295,2973,299,3017,296
8,110428200,21-MAY-21 07.55.45.407000 AM,405,4133,395,4182,417
9,110433729,21-MAY-21 07.55.46.418000 AM,531,5390,515,5437,551
10,110440180,21-MAY-21 07.55.47.430000 AM,708,6847,659,6877,709
11,110444442,21-MAY-21 07.55.48.442000 AM,819,7798,750,7846,822
12,110447514,21-MAY-21 07.55.49.459000 AM,895,8468,830,8559,892
13,110450741,21-MAY-21 07.55.50.489000 AM,976,9196,916,9293,951
14,110454338,21-MAY-21 07.55.51.502000 AM,1057,10007,998,10122,1021
15,110457518,21-MAY-21 07.55.52.516000 AM,1115,10749,1084,10838,1085
16,110460702,21-MAY-21 07.55.53.526000 AM,1195,11476,1164,11551,1146
17,110461958,21-MAY-21 07.55.54.537000 AM,1216,11772,1195,11831,1179
18,110463186,21-MAY-21 07.55.55.555000 AM,1245,12038,1227,12122,1201
19,110467870,21-MAY-21 07.55.56.594000 AM,1357,13092,1331,13202,1301
20,110475057,21-MAY-21 07.55.57.608000 AM,1507,14739,1505,14831,1452
21,110482280,21-MAY-21 07.55.58.634000 AM,1676,16381,1667,16470,1621
22,110489637,21-MAY-21 07.55.59.649000 AM,1860,18032,1831,18147,1787
23,110496478,21-MAY-21 07.56.00.664000 AM,2021,19570,1991,19712,1943
24,110503558,21-MAY-21 07.56.01.681000 AM,2205,21186,2150,21289,2101
25,110506749,21-MAY-21 07.56.02.697000 AM,2272,21913,2213,22019,2180
26,110506851,21-MAY-21 07.56.03.715000 AM,2274,21936,2215,22044,2181
27,110508515,21-MAY-21 07.56.04.726000 AM,2310,22325,2253,22414,2219
28,110514400,21-MAY-21 07.56.05.738000 AM,2440,23674,2390,23737,2362
29,110521601,21-MAY-21 07.56.06.766000 AM,2612,25386,2549,25303,2503
30,110526365,21-MAY-21 07.56.07.798000 AM,2720,26492,2668,26357,2611
31,110529483,21-MAY-21 07.56.08.813000 AM,2783,27184,2729,27091,2690
32,110534439,21-MAY-21 07.56.09.844000 AM,2902,28331,2849,28191,2794
33,110539107,21-MAY-21 07.56.10.861000 AM,3017,29390,2964,29240,2900
34,110543171,21-MAY-21 07.56.11.896000 AM,3103,30345,3056,30140,2988
35,110546169,21-MAY-21 07.56.12.935000 AM,3183,31026,3125,30818,3045
36,110548927,21-MAY-21 07.56.13.965000 AM,3244,31663,3169,31443,3110
37,110550410,21-MAY-21 07.56.14.978000 AM,3284,32005,3209,31766,3143
38,110552396,21-MAY-21 07.56.15.997000 AM,3330,32466,3252,32214,3176
39,110556206,21-MAY-21 07.56.17.011000 AM,3414,33317,3339,33101,3258
40,110564381,21-MAY-21 07.56.18.031000 AM,3611,35179,3510,34948,3447
41,110573255,21-MAY-21 07.56.19.050000 AM,3833,37205,3712,36935,3649
42,110577721,21-MAY-21 07.56.20.067000 AM,3933,38211,3825,37966,3728
43,110580543,21-MAY-21 07.56.21.096000 AM,3993,38877,3895,38582,3796
44,110581677,21-MAY-21 07.56.22.130000 AM,4025,39128,3921,38839,3826
45,110589370,21-MAY-21 07.56.23.147000 AM,4202,40903,4098,40551,4011
46,110595030,21-MAY-21 07.56.24.167000 AM,4329,42158,4224,41869,4147
47,110600271,21-MAY-21 07.56.25.196000 AM,4459,43312,4338,43088,4267
48,110604176,21-MAY-21 07.56.26.235000 AM,4567,44205,4433,43945,4359
49,110611288,21-MAY-21 07.56.27.290000 AM,4722,45836,4590,45552,4528
50,110614011,21-MAY-21 07.56.28.307000 AM,4808,46458,4658,46147,4579
51,110614836,21-MAY-21 07.56.29.320000 AM,4825,46643,4670,46339,4604
52,110622178,21-MAY-21 07.56.30.337000 AM,4989,48293,4836,48023,4784
53,110625154,21-MAY-21 07.56.31.394000 AM,5061,48972,4907,48685,4863
54,110625258,21-MAY-21 07.56.32.406000 AM,5065,49004,4912,48697,4866
55,110631039,21-MAY-21 07.56.33.428000 AM,5191,50332,5042,50005,4995
56,110633994,21-MAY-21 07.56.34.457000 AM,5250,51015,5113,50671,5061
57,110634210,21-MAY-21 07.56.35.473000 AM,5256,51061,5116,50724,5064
58,110641085,21-MAY-21 07.56.36.488000 AM,5406,52629,5265,52299,5206
59,110646234,21-MAY-21 07.56.37.510000 AM,5513,53758,5381,53525,5313
60,110646433,21-MAY-21 07.56.38.537000 AM,5511,53753,5377,53534,5314
61,110651878,21-MAY-21 07.56.39.555000 AM,5619,54787,5474,54585,5431
62,110652014,21-MAY-21 07.56.40.567000 AM,5592,54472,5431,54237,5402
63,110655811,21-MAY-21 07.56.41.584000 AM,5644,54757,5479,54534,5417
64,110657094,21-MAY-21 07.56.42.610000 AM,5602,54330,5459,54071,5359
65,110663301,21-MAY-21 07.56.43.630000 AM,5712,55247,5524,54972,5464
66,110673426,21-MAY-21 07.56.44.650000 AM,5856,56672,5658,56411,5607
67,110675119,21-MAY-21 07.56.45.668000 AM,5785,55838,5594,55558,5506
68,110675318,21-MAY-21 07.56.46.680000 AM,5660,54600,5470,54338,5377
69,110682234,21-MAY-21 07.56.47.709000 AM,5656,54732,5468,54462,5379
70,110689871,21-MAY-21 07.56.48.727000 AM,5750,55703,5571,55396,5469
71,110690026,21-MAY-21 07.56.49.757000 AM,5679,55059,5491,54723,5408
72,110690206,21-MAY-21 07.56.50.769000 AM,5581,54153,5389,53787,5332
73,110696231,21-MAY-21 07.56.51.789000 AM,5665,54734,5452,54402,5397
74,110699133,21-MAY-21 07.56.52.820000 AM,5683,54764,5427,54461,5410
75,110703305,21-MAY-21 07.56.53.842000 AM,5708,55113,5475,54851,5452
76,110711035,21-MAY-21 07.56.54.864000 AM,5861,56573,5637,56302,5588
77,110718099,21-MAY-21 07.56.55.888000 AM,5975,57958,5758,57628,5735
78,110718348,21-MAY-21 07.56.56.919000 AM,5829,56493,5624,56169,5597
79,110718461,21-MAY-21 07.56.57.933000 AM,5672,54840,5447,54571,5444
80,110720003,21-MAY-21 07.56.58.950000 AM,5521,53611,5322,53205,5320
81,110727015,21-MAY-21 07.56.59.968000 AM,5504,53632,5322,53262,5290
82,110727236,21-MAY-21 07.57.00.983000 AM,5346,52092,5179,51753,5138
83,110730548,21-MAY-21 07.57.01.996000 AM,5219,51113,5096,50796,5048
84,110738822,21-MAY-21 07.57.03.057000 AM,5416,52827,5269,52527,5238
85,110739071,21-MAY-21 07.57.04.075000 AM,5417,52776,5269,52508,5232
86,110740458,21-MAY-21 07.57.05.092000 AM,5359,52198,5198,51927,5174
87,110747865,21-MAY-21 07.57.06.108000 AM,5387,52462,5245,52261,5218
88,110748997,21-MAY-21 07.57.07.127000 AM,5255,51247,5117,51102,5111
89,110753003,21-MAY-21 07.57.08.140000 AM,5267,51340,5117,51260,5146
90,110760027,21-MAY-21 07.57.09.159000 AM,5402,52339,5234,52226,5242
91,110761055,21-MAY-21 07.57.10.178000 AM,5242,50940,5096,50904,5125
92,110766453,21-MAY-21 07.57.11.204000 AM,5229,51135,5105,51047,5133
93,110773540,21-MAY-21 07.57.12.232000 AM,5295,52059,5170,51827,5231
94,110774005,21-MAY-21 07.57.13.247000 AM,5253,51700,5135,51447,5195
95,110774216,21-MAY-21 07.57.14.270000 AM,5200,51145,5093,50893,5142
96,110778751,21-MAY-21 07.57.15.305000 AM,5255,51666,5144,51582,5198
97,110782245,21-MAY-21 07.57.16.336000 AM,5273,51930,5166,51818,5224
98,110787024,21-MAY-21 07.57.17.356000 AM,5262,51840,5179,51719,5224
99,110787135,21-MAY-21 07.57.18.370000 AM,5063,49940,5013,49812,5036
100,110791169,21-MAY-21 07.57.19.398000 AM,4949,49114,4902,49018,4953
101,110796163,21-MAY-21 07.57.20.423000 AM,4996,49377,4913,49298,4983
102,110796377,21-MAY-21 07.57.21.437000 AM,4952,48943,4860,48837,4926
103,110801142,21-MAY-21 07.57.22.466000 AM,5007,49268,4914,49247,4963
104,110803756,21-MAY-21 07.57.23.488000 AM,4875,48122,4792,48123,4840
105,110808804,21-MAY-21 07.57.24.518000 AM,4896,48216,4787,48168,4846
106,110812803,21-MAY-21 07.57.25.541000 AM,4840,47917,4746,47816,4822
107,110821018,21-MAY-21 07.57.26.562000 AM,4938,48709,4879,48742,4892
108,110821252,21-MAY-21 07.57.27.576000 AM,4775,47267,4724,47318,4753
