ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,122060145,21-MAY-21 12.27.11.193000 PM,0,0,0,0,0
1,122060245,21-MAY-21 12.27.12.206000 PM,2,19,6,24,4
2,122060958,21-MAY-21 12.27.13.215000 PM,16,174,17,196,24
3,122062425,21-MAY-21 12.27.14.224000 PM,54,522,54,505,66
4,122064700,21-MAY-21 12.27.15.233000 PM,115,1035,111,1017,111
5,122067666,21-MAY-21 12.27.16.242000 PM,174,1742,190,1663,176
6,122071485,21-MAY-21 12.27.17.251000 PM,257,2626,270,2526,253
7,122075756,21-MAY-21 12.27.18.261000 PM,354,3616,371,3472,356
8,122080948,21-MAY-21 12.27.19.275000 PM,456,4809,480,4663,468
9,122086571,21-MAY-21 12.27.20.284000 PM,574,6107,604,5928,606
10,122092911,21-MAY-21 12.27.21.296000 PM,722,7516,746,7403,745
11,122099361,21-MAY-21 12.27.22.309000 PM,865,8927,890,8932,881
12,122103303,21-MAY-21 12.27.23.322000 PM,956,9826,975,9820,978
13,122110064,21-MAY-21 12.27.24.369000 PM,1128,11344,1155,11342,1135
14,122116228,21-MAY-21 12.27.25.384000 PM,1270,12733,1307,12743,1284
15,122122624,21-MAY-21 12.27.26.401000 PM,1407,14193,1473,14192,1422
16,122128853,21-MAY-21 12.27.27.432000 PM,1559,15597,1615,15617,1550
17,122133031,21-MAY-21 12.27.28.449000 PM,1654,16539,1720,16566,1649
18,122134159,21-MAY-21 12.27.29.461000 PM,1688,16794,1744,16821,1666
19,122136019,21-MAY-21 12.27.30.489000 PM,1726,17231,1788,17229,1714
20,122142810,21-MAY-21 12.27.31.510000 PM,1883,18787,1933,18764,1866
21,122148400,21-MAY-21 12.27.32.535000 PM,2020,20063,2044,20028,1990
22,122151825,21-MAY-21 12.27.33.583000 PM,2099,20822,2134,20816,2073
23,122153090,21-MAY-21 12.27.34.610000 PM,2128,21114,2164,21104,2094
24,122155914,21-MAY-21 12.27.35.622000 PM,2187,21755,2235,21748,2157
25,122162863,21-MAY-21 12.27.36.637000 PM,2345,23342,2395,23306,2338
26,122167255,21-MAY-21 12.27.37.683000 PM,2444,24320,2494,24331,2427
27,122169852,21-MAY-21 12.27.38.706000 PM,2508,24889,2548,24938,2486
28,122174404,21-MAY-21 12.27.39.731000 PM,2630,25859,2656,26018,2589
29,122177532,21-MAY-21 12.27.40.782000 PM,2708,26575,2722,26718,2663
30,122181747,21-MAY-21 12.27.41.812000 PM,2797,27538,2814,27676,2766
31,122187876,21-MAY-21 12.27.42.829000 PM,2934,28916,2943,29092,2906
32,122194095,21-MAY-21 12.27.43.872000 PM,3081,30336,3087,30481,3067
33,122202412,21-MAY-21 12.27.44.900000 PM,3273,32238,3272,32360,3253
34,122207664,21-MAY-21 12.27.45.915000 PM,3397,33458,3394,33518,3379
35,122210284,21-MAY-21 12.27.46.941000 PM,3459,34046,3444,34129,3426
36,122215550,21-MAY-21 12.27.47.972000 PM,3569,35257,3582,35303,3566
37,122219188,21-MAY-21 12.27.48.990000 PM,3645,36088,3649,36137,3655
38,122220368,21-MAY-21 12.27.50.019000 PM,3675,36378,3681,36378,3680
39,122224638,21-MAY-21 12.27.51.079000 PM,3772,37366,3798,37329,3770
40,122231039,21-MAY-21 12.27.52.112000 PM,3914,38817,3959,38775,3922
41,122236508,21-MAY-21 12.27.53.181000 PM,4041,40030,4070,40050,4051
42,122238911,21-MAY-21 12.27.54.256000 PM,4079,40545,4126,40643,4106
43,122241611,21-MAY-21 12.27.55.281000 PM,4134,41152,4190,41277,4157
44,122244849,21-MAY-21 12.27.56.302000 PM,4206,41905,4245,42002,4233
45,122246433,21-MAY-21 12.27.57.313000 PM,4234,42290,4289,42345,4261
46,122249951,21-MAY-21 12.27.58.347000 PM,4318,43114,4361,43126,4332
47,122252588,21-MAY-21 12.27.59.382000 PM,4376,43697,4417,43745,4392
48,122254281,21-MAY-21 12.28.00.423000 PM,4416,44077,4456,44132,4432
49,122257242,21-MAY-21 12.28.01.461000 PM,4486,44741,4509,44809,4518
50,122260811,21-MAY-21 12.28.02.477000 PM,4575,45575,4604,45596,4578
51,122263539,21-MAY-21 12.28.03.497000 PM,4652,46183,4685,46198,4643
52,122268225,21-MAY-21 12.28.04.539000 PM,4764,47270,4803,47231,4748
53,122269004,21-MAY-21 12.28.05.579000 PM,4780,47432,4823,47422,4768
54,122272749,21-MAY-21 12.28.06.597000 PM,4855,48301,4922,48255,4874
55,122282183,21-MAY-21 12.28.07.622000 PM,5053,50470,5126,50396,5085
56,122283890,21-MAY-21 12.28.08.641000 PM,5089,50866,5163,50774,5124
57,122291456,21-MAY-21 12.28.09.654000 PM,5237,52551,5336,52541,5317
58,122301471,21-MAY-21 12.28.10.671000 PM,5478,54846,5558,54793,5546
59,122308775,21-MAY-21 12.28.11.689000 PM,5634,56521,5705,56466,5686
60,122315424,21-MAY-21 12.28.12.706000 PM,5762,57917,5875,57919,5834
61,122319740,21-MAY-21 12.28.13.732000 PM,5821,58672,5943,58656,5895
62,122321648,21-MAY-21 12.28.14.755000 PM,5804,58682,5927,58669,5902
63,122323960,21-MAY-21 12.28.15.774000 PM,5788,58577,5915,58606,5915
64,122327250,21-MAY-21 12.28.16.795000 PM,5788,58511,5906,58586,5910
65,122334971,21-MAY-21 12.28.17.824000 PM,5853,59323,5997,59403,5977
66,122342032,21-MAY-21 12.28.18.855000 PM,5905,59858,6046,59823,6012
67,122342186,21-MAY-21 12.28.19.868000 PM,5800,58619,5940,58637,5890
68,122342389,21-MAY-21 12.28.20.885000 PM,5675,57294,5794,57296,5756
69,122342621,21-MAY-21 12.28.21.899000 PM,5522,55876,5662,55777,5618
70,122343007,21-MAY-21 12.28.22.912000 PM,5412,54800,5560,54710,5505
71,122347693,21-MAY-21 12.28.23.941000 PM,5386,54713,5540,54614,5504
72,122349506,21-MAY-21 12.28.24.954000 PM,5283,53688,5403,53580,5387
73,122351409,21-MAY-21 12.28.25.976000 PM,5157,52660,5280,52553,5275
74,122359185,21-MAY-21 12.28.26.992000 PM,5192,53081,5313,52894,5342
75,122364161,21-MAY-21 12.28.28.012000 PM,5177,52852,5283,52592,5310
76,122364366,21-MAY-21 12.28.29.026000 PM,5148,52600,5255,52315,5285
77,122366181,21-MAY-21 12.28.30.039000 PM,5166,52786,5272,52486,5299
78,122371513,21-MAY-21 12.28.31.060000 PM,5152,52780,5297,52479,5282
79,122376552,21-MAY-21 12.28.32.077000 PM,5114,52476,5281,52240,5271
80,122376752,21-MAY-21 12.28.33.094000 PM,5017,51485,5175,51236,5162
81,122379383,21-MAY-21 12.28.34.107000 PM,5040,51774,5194,51502,5202
82,122385445,21-MAY-21 12.28.35.124000 PM,5134,52740,5304,52451,5304
83,122390707,21-MAY-21 12.28.36.155000 PM,5114,52535,5274,52273,5256
84,122396041,21-MAY-21 12.28.37.192000 PM,5111,52748,5273,52479,5268
85,122402392,21-MAY-21 12.28.38.218000 PM,5169,53433,5328,53116,5370
86,122403929,21-MAY-21 12.28.39.250000 PM,5085,52853,5271,52451,5312
87,122411329,21-MAY-21 12.28.40.270000 PM,5158,53611,5383,53193,5383
88,122416056,21-MAY-21 12.28.41.296000 PM,5223,54291,5456,53873,5458
89,122416056,21-MAY-21 12.28.42.307000 PM,5045,52480,5297,52036,5267
90,122420528,21-MAY-21 12.28.43.334000 PM,5045,52466,5293,52093,5270
91,122421721,21-MAY-21 12.28.44.359000 PM,4902,51050,5149,50650,5114
92,122421805,21-MAY-21 12.28.45.374000 PM,4763,49666,5019,49342,4975
93,122425322,21-MAY-21 12.28.46.388000 PM,4741,49336,4984,49018,4948
94,122432926,21-MAY-21 12.28.47.412000 PM,4868,50724,5108,50394,5100
95,122433661,21-MAY-21 12.28.48.428000 PM,4727,49152,4948,48838,4922
96,122438037,21-MAY-21 12.28.49.454000 PM,4809,49936,5029,49609,4994
97,122445623,21-MAY-21 12.28.50.479000 PM,4948,51315,5138,50899,5090
98,122445859,21-MAY-21 12.28.51.491000 PM,4803,49750,4955,49396,4958
99,122446086,21-MAY-21 12.28.52.518000 PM,4667,48396,4829,47966,4800
100,122452571,21-MAY-21 12.28.53.546000 PM,4741,49152,4899,48612,4867
101,122455858,21-MAY-21 12.28.54.561000 PM,4786,49495,4924,48976,4909
102,122462836,21-MAY-21 12.28.55.584000 PM,4859,50282,5012,49783,5009
103,122464728,21-MAY-21 12.28.56.617000 PM,4845,50176,5012,49683,4986
104,122464861,21-MAY-21 12.28.57.630000 PM,4816,49854,4976,49396,4962
105,122467613,21-MAY-21 12.28.58.645000 PM,4782,49501,4942,49032,4935
106,122473950,21-MAY-21 12.28.59.662000 PM,4867,50496,5042,50034,5030
107,122474716,21-MAY-21 12.29.00.681000 PM,4861,50390,5031,49939,5010
108,122480095,21-MAY-21 12.29.01.711000 PM,4901,50743,5092,50341,5025
109,122487120,21-MAY-21 12.29.02.736000 PM,4969,51482,5162,51131,5126
110,122488074,21-MAY-21 12.29.03.756000 PM,4909,50966,5097,50642,5080
111,122488312,21-MAY-21 12.29.04.773000 PM,4824,50117,4996,49812,4998
112,122493528,21-MAY-21 12.29.05.796000 PM,4947,51210,5110,50829,5087
113,122495126,21-MAY-21 12.29.06.823000 PM,4865,50377,5003,50083,4972
114,122500827,21-MAY-21 12.29.07.839000 PM,4818,49463,4937,49350,4900
