ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,161761069,22-MAR-21 02.39.19.731000 PM,0,0,0,0,0
1,161761180,22-MAR-21 02.39.20.743000 PM,3,25,4,25,1
2,161761791,22-MAR-21 02.39.21.752000 PM,14,170,20,158,19
3,161763012,22-MAR-21 02.39.22.766000 PM,41,437,40,454,39
4,161764773,22-MAR-21 02.39.23.775000 PM,82,846,79,845,79
5,161767143,22-MAR-21 02.39.24.787000 PM,120,1373,126,1414,134
6,161770060,22-MAR-21 02.39.25.802000 PM,180,2012,202,2094,220
7,161773566,22-MAR-21 02.39.26.812000 PM,258,2792,281,2907,305
8,161777558,22-MAR-21 02.39.27.824000 PM,343,3705,373,3808,404
9,161782245,22-MAR-21 02.39.28.837000 PM,445,4749,474,4904,508
10,161787274,22-MAR-21 02.39.29.851000 PM,553,5891,592,6054,622
11,161792778,22-MAR-21 02.39.30.863000 PM,667,7149,727,7299,748
12,161799155,22-MAR-21 02.39.31.884000 PM,819,8585,874,8760,884
13,161801243,22-MAR-21 02.39.32.897000 PM,865,9033,935,9256,933
14,161807307,22-MAR-21 02.39.33.908000 PM,990,10399,1077,10654,1086
15,161814260,22-MAR-21 02.39.34.922000 PM,1137,12003,1219,12220,1251
16,161820479,22-MAR-21 02.39.35.946000 PM,1276,13436,1366,13616,1392
17,161825979,22-MAR-21 02.39.36.962000 PM,1413,14640,1511,14885,1523
18,161832035,22-MAR-21 02.39.38.004000 PM,1533,16057,1651,16241,1658
19,161837431,22-MAR-21 02.39.39.028000 PM,1656,17284,1777,17463,1781
20,161842898,22-MAR-21 02.39.40.044000 PM,1780,18511,1905,18720,1903
21,161844863,22-MAR-21 02.39.41.060000 PM,1826,18961,1963,19159,1940
22,161846312,22-MAR-21 02.39.42.093000 PM,1858,19293,1996,19484,1977
23,161850727,22-MAR-21 02.39.43.104000 PM,1968,20315,2124,20455,2058
24,161852879,22-MAR-21 02.39.44.120000 PM,2013,20804,2176,20950,2107
25,161858079,22-MAR-21 02.39.45.132000 PM,2134,21971,2286,22142,2230
26,161860218,22-MAR-21 02.39.46.152000 PM,2185,22436,2337,22646,2280
27,161861150,22-MAR-21 02.39.47.191000 PM,2207,22644,2357,22864,2295
28,161866490,22-MAR-21 02.39.48.221000 PM,2330,23811,2488,24120,2417
29,161872338,22-MAR-21 02.39.49.239000 PM,2490,25130,2631,25424,2552
30,161878860,22-MAR-21 02.39.50.262000 PM,2650,26595,2761,26928,2687
31,161883414,22-MAR-21 02.39.51.288000 PM,2738,27601,2867,27997,2806
32,161884769,22-MAR-21 02.39.52.318000 PM,2767,27892,2897,28328,2841
33,161890125,22-MAR-21 02.39.53.361000 PM,2891,29066,3021,29575,2980
34,161896020,22-MAR-21 02.39.54.378000 PM,3015,30431,3155,30903,3107
35,161903876,22-MAR-21 02.39.55.393000 PM,3175,32209,3333,32719,3267
36,161907030,22-MAR-21 02.39.56.412000 PM,3243,32934,3395,33439,3334
37,161914043,22-MAR-21 02.39.57.435000 PM,3394,34593,3552,34973,3501
38,161920924,22-MAR-21 02.39.58.452000 PM,3531,36149,3717,36561,3656
39,161926489,22-MAR-21 02.39.59.465000 PM,3651,37409,3826,37852,3770
40,161930606,22-MAR-21 02.40.00.521000 PM,3737,38347,3919,38800,3862
41,161935373,22-MAR-21 02.40.01.544000 PM,3844,39430,4029,39879,3967
42,161942679,22-MAR-21 02.40.02.576000 PM,4013,41212,4202,41421,4120
43,161949930,22-MAR-21 02.40.03.605000 PM,4149,42871,4374,43088,4271
44,161954133,22-MAR-21 02.40.04.623000 PM,4252,43844,4474,44023,4352
45,161957919,22-MAR-21 02.40.05.661000 PM,4344,44703,4560,44877,4443
46,161958505,22-MAR-21 02.40.06.685000 PM,4358,44834,4575,45018,4451
47,161958505,22-MAR-21 02.40.07.702000 PM,4358,44834,4575,45018,4452
48,161963453,22-MAR-21 02.40.08.718000 PM,4468,45994,4700,46097,4566
49,161966866,22-MAR-21 02.40.09.737000 PM,4568,46771,4785,46838,4658
50,161970646,22-MAR-21 02.40.10.768000 PM,4656,47651,4868,47667,4762
51,161975337,22-MAR-21 02.40.11.785000 PM,4754,48692,4989,48746,4895
52,161977071,22-MAR-21 02.40.12.798000 PM,4790,49075,5032,49150,4940
53,161979261,22-MAR-21 02.40.13.832000 PM,4837,49599,5076,49634,4976
54,161985541,22-MAR-21 02.40.14.852000 PM,4994,50971,5219,51098,5129
55,161990759,22-MAR-21 02.40.15.869000 PM,5131,52209,5336,52216,5241
56,161997166,22-MAR-21 02.40.16.896000 PM,5274,53735,5465,53622,5370
57,162000183,22-MAR-21 02.40.17.927000 PM,5338,54416,5548,54308,5442
58,162001974,22-MAR-21 02.40.18.942000 PM,5381,54840,5592,54693,5485
59,162005240,22-MAR-21 02.40.19.955000 PM,5464,55586,5668,55425,5553
60,162010477,22-MAR-21 02.40.20.974000 PM,5578,56770,5787,56519,5700
61,162015744,22-MAR-21 02.40.21.987000 PM,5713,57825,5891,57492,5771
62,162022466,22-MAR-21 02.40.23.010000 PM,5826,59075,6016,58673,5920
63,162026027,22-MAR-21 02.40.24.030000 PM,5875,59405,6048,59072,5962
64,162033452,22-MAR-21 02.40.25.049000 PM,5990,60490,6159,60209,6070
65,162035872,22-MAR-21 02.40.26.068000 PM,5981,60345,6131,60056,6045
66,162038468,22-MAR-21 02.40.27.088000 PM,5961,60084,6105,59807,6011
67,162045442,22-MAR-21 02.40.28.108000 PM,6017,60719,6157,60469,6060
68,162047499,22-MAR-21 02.40.29.124000 PM,5963,60165,6086,59850,6003
69,162047733,22-MAR-21 02.40.30.144000 PM,5854,58973,5974,58651,5891
70,162054135,22-MAR-21 02.40.31.172000 PM,5887,59066,5968,58875,5886
71,162056462,22-MAR-21 02.40.32.188000 PM,5788,58175,5866,57953,5809
72,162060819,22-MAR-21 02.40.33.218000 PM,5880,58800,5961,58565,5887
73,162061177,22-MAR-21 02.40.34.232000 PM,5740,57263,5804,57051,5710
74,162066372,22-MAR-21 02.40.35.251000 PM,5731,57017,5786,56763,5672
75,162073212,22-MAR-21 02.40.36.267000 PM,5724,57104,5803,56885,5684
76,162080076,22-MAR-21 02.40.37.286000 PM,5771,57402,5789,57030,5687
77,162083445,22-MAR-21 02.40.38.308000 PM,5728,56963,5740,56534,5661
78,162083560,22-MAR-21 02.40.39.321000 PM,5603,55726,5613,55293,5534
79,162083807,22-MAR-21 02.40.40.340000 PM,5505,54688,5500,54252,5425
80,162084335,22-MAR-21 02.40.41.357000 PM,5478,54482,5478,54047,5413
81,162089126,22-MAR-21 02.40.42.373000 PM,5576,55380,5554,54907,5512
82,162092679,22-MAR-21 02.40.43.396000 PM,5504,54747,5472,54362,5462
83,162095224,22-MAR-21 02.40.44.428000 PM,5533,54885,5496,54549,5475
84,162095384,22-MAR-21 02.40.45.459000 PM,5422,53873,5398,53457,5370
85,162101764,22-MAR-21 02.40.46.474000 PM,5492,54953,5510,54596,5466
86,162106652,22-MAR-21 02.40.47.503000 PM,5586,55757,5578,55427,5545
87,162106859,22-MAR-21 02.40.48.524000 PM,5434,54464,5433,54087,5426
88,162110365,22-MAR-21 02.40.49.563000 PM,5348,53824,5382,53455,5355
