ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,127661753,21-MAY-21 04.13.57.060000 PM,0,0,0,0,0
1,127661857,21-MAY-21 04.13.58.070000 PM,2,24,4,24,0
2,127662564,21-MAY-21 04.13.59.079000 PM,16,186,26,183,15
3,127664038,21-MAY-21 04.14.00.094000 PM,45,519,61,522,54
4,127664865,21-MAY-21 04.14.01.102000 PM,69,708,77,705,72
5,127666249,21-MAY-21 04.14.02.126000 PM,94,1016,110,1031,106
6,127668646,21-MAY-21 04.14.03.136000 PM,144,1566,171,1574,161
7,127672842,21-MAY-21 04.14.04.146000 PM,240,2506,274,2530,263
8,127677463,21-MAY-21 04.14.05.156000 PM,355,3576,371,3558,361
9,127681575,21-MAY-21 04.14.06.169000 PM,452,4474,480,4522,450
10,127686946,21-MAY-21 04.14.07.179000 PM,600,5687,604,5722,572
11,127693814,21-MAY-21 04.14.08.191000 PM,750,7267,764,7264,737
12,127701202,21-MAY-21 04.14.09.205000 PM,889,8973,922,8953,898
13,127708002,21-MAY-21 04.14.10.221000 PM,1024,10560,1074,10479,1049
14,127710706,21-MAY-21 04.14.11.234000 PM,1100,11143,1138,11108,1113
15,127712259,21-MAY-21 04.14.12.247000 PM,1132,11475,1161,11486,1159
16,127713674,21-MAY-21 04.14.13.273000 PM,1169,11791,1194,11806,1195
17,127720581,21-MAY-21 04.14.14.287000 PM,1328,13301,1349,13434,1353
18,127727727,21-MAY-21 04.14.15.301000 PM,1497,14930,1500,15045,1531
19,127734683,21-MAY-21 04.14.16.320000 PM,1647,16500,1668,16626,1719
20,127741920,21-MAY-21 04.14.17.341000 PM,1795,18159,1820,18279,1892
21,127748735,21-MAY-21 04.14.18.364000 PM,1933,19739,1964,19821,2032
22,127752442,21-MAY-21 04.14.19.376000 PM,2030,20597,2031,20645,2113
23,127753965,21-MAY-21 04.14.20.388000 PM,2072,20960,2067,20968,2145
24,127755204,21-MAY-21 04.14.21.404000 PM,2099,21253,2099,21241,2167
25,127757785,21-MAY-21 04.14.22.436000 PM,2157,21832,2153,21841,2221
26,127764200,21-MAY-21 04.14.23.468000 PM,2301,23244,2325,23333,2367
27,127767414,21-MAY-21 04.14.24.481000 PM,2378,23987,2397,24047,2442
