ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,98772402,20-MAY-21 02.36.17.798000 PM,0,0,0,0,0
1,98772516,20-MAY-21 02.36.18.808000 PM,4,25,4,25,2
2,98773261,20-MAY-21 02.36.19.817000 PM,23,192,24,195,17
3,98774789,20-MAY-21 02.36.20.825000 PM,53,534,64,553,47
4,98777079,20-MAY-21 02.36.21.834000 PM,106,1033,130,1081,107
5,98780178,20-MAY-21 02.36.22.843000 PM,167,1704,195,1825,191
6,98782123,20-MAY-21 02.36.23.853000 PM,202,2157,231,2267,240
7,98784492,20-MAY-21 02.36.24.862000 PM,253,2659,289,2839,305
8,98786523,20-MAY-21 02.36.25.871000 PM,294,3145,334,3280,350
9,98789159,20-MAY-21 02.36.26.883000 PM,360,3736,382,3888,411
10,98795437,20-MAY-21 02.36.27.893000 PM,528,5111,523,5344,546
11,98802312,20-MAY-21 02.36.28.903000 PM,700,6691,659,6877,716
12,98809665,20-MAY-21 02.36.29.916000 PM,856,8377,807,8558,875
13,98817325,20-MAY-21 02.36.30.927000 PM,1024,10131,995,10287,1044
14,98823864,20-MAY-21 02.36.31.937000 PM,1180,11601,1141,11782,1199
15,98830595,20-MAY-21 02.36.32.952000 PM,1316,13109,1306,13351,1338
16,98835516,20-MAY-21 02.36.33.973000 PM,1449,14258,1427,14419,1435
17,98841262,20-MAY-21 02.36.34.993000 PM,1591,15524,1560,15756,1559
18,98847860,20-MAY-21 02.36.36.014000 PM,1746,17061,1698,17220,1706
19,98854372,20-MAY-21 02.36.37.047000 PM,1898,18563,1846,18677,1848
20,98861117,20-MAY-21 02.36.38.065000 PM,2060,20060,2008,20228,2019
21,98866395,20-MAY-21 02.36.39.083000 PM,2180,21258,2136,21424,2135
22,98869339,20-MAY-21 02.36.40.101000 PM,2245,21931,2199,22086,2216
23,98872220,20-MAY-21 02.36.41.112000 PM,2306,22555,2267,22772,2285
24,98876992,20-MAY-21 02.36.42.122000 PM,2413,23621,2360,23869,2424
25,98883088,20-MAY-21 02.36.43.138000 PM,2535,24967,2493,25309,2574
26,98886071,20-MAY-21 02.36.44.150000 PM,2613,25623,2561,25994,2649
27,98887107,20-MAY-21 02.36.45.180000 PM,2640,25886,2581,26196,2683
28,98892783,20-MAY-21 02.36.46.209000 PM,2749,27201,2709,27483,2810
29,98894753,20-MAY-21 02.36.47.238000 PM,2787,27648,2755,27935,2857
30,98896125,20-MAY-21 02.36.48.253000 PM,2813,27967,2786,28247,2884
31,98897476,20-MAY-21 02.36.49.274000 PM,2846,28285,2813,28539,2921
32,98906273,20-MAY-21 02.36.50.298000 PM,3047,30320,3000,30509,3121
33,98913500,20-MAY-21 02.36.51.332000 PM,3202,31941,3176,32170,3296
34,98914981,20-MAY-21 02.36.52.362000 PM,3238,32314,3206,32473,3323
35,98919172,20-MAY-21 02.36.53.382000 PM,3315,33274,3295,33445,3411
36,98925644,20-MAY-21 02.36.54.408000 PM,3469,34761,3401,34915,3549
37,98931652,20-MAY-21 02.36.55.451000 PM,3587,36105,3540,36310,3706
38,98935849,20-MAY-21 02.36.56.517000 PM,3661,37099,3632,37251,3793
39,98939081,20-MAY-21 02.36.57.533000 PM,3751,37871,3694,37943,3855
40,98940623,20-MAY-21 02.36.58.593000 PM,3790,38221,3728,38292,3885
41,98946319,20-MAY-21 02.36.59.640000 PM,3911,39527,3847,39595,4004
42,98950259,20-MAY-21 02.37.00.657000 PM,3988,40435,3950,40485,4091
43,98956637,20-MAY-21 02.37.01.688000 PM,4134,41890,4079,41929,4250
44,98959576,20-MAY-21 02.37.02.705000 PM,4201,42586,4143,42569,4319
45,98962385,20-MAY-21 02.37.03.753000 PM,4272,43247,4211,43171,4393
46,98966903,20-MAY-21 02.37.04.801000 PM,4370,44248,4318,44231,4496
47,98969594,20-MAY-21 02.37.05.819000 PM,4435,44855,4371,44838,4565
48,98971680,20-MAY-21 02.37.06.860000 PM,4482,45327,4417,45324,4613
49,98978930,20-MAY-21 02.37.07.876000 PM,4653,46939,4607,46985,4768
50,98984396,20-MAY-21 02.37.08.891000 PM,4784,48137,4726,48271,4884
51,98990160,20-MAY-21 02.37.09.906000 PM,4917,49472,4849,49560,5011
52,98994648,20-MAY-21 02.37.10.921000 PM,4999,50524,4944,50583,5090
53,98997239,20-MAY-21 02.37.11.977000 PM,5064,51124,5008,51161,5131
54,98998966,20-MAY-21 02.37.13.005000 PM,5102,51520,5046,51562,5157
55,99003186,20-MAY-21 02.37.14.030000 PM,5194,52520,5136,52481,5258
56,99009497,20-MAY-21 02.37.15.055000 PM,5329,54006,5265,53870,5420
57,99013871,20-MAY-21 02.37.16.086000 PM,5439,55000,5375,54848,5521
58,99019780,20-MAY-21 02.37.17.111000 PM,5578,56343,5493,56194,5655
59,99027679,20-MAY-21 02.37.18.129000 PM,5754,58169,5649,57979,5831
60,99033668,20-MAY-21 02.37.19.156000 PM,5880,59480,5762,59258,5980
61,99037482,20-MAY-21 02.37.20.177000 PM,5934,60127,5817,59882,6055
62,99044052,20-MAY-21 02.37.21.193000 PM,6047,61176,5905,61018,6158
63,99049321,20-MAY-21 02.37.22.224000 PM,6100,61820,5951,61578,6224
64,99049544,20-MAY-21 02.37.23.239000 PM,6055,61245,5899,60962,6144
65,99051063,20-MAY-21 02.37.24.253000 PM,6052,61142,5903,60813,6130
66,99058891,20-MAY-21 02.37.25.292000 PM,6175,62367,6000,61922,6262
67,99065516,20-MAY-21 02.37.26.344000 PM,6295,63446,6127,63120,6399
68,99065729,20-MAY-21 02.37.27.359000 PM,6161,62450,6033,62073,6301
69,99065843,20-MAY-21 02.37.28.376000 PM,6014,61014,5897,60637,6156
70,99066347,20-MAY-21 02.37.29.391000 PM,5851,59474,5765,59092,5995
71,99074052,20-MAY-21 02.37.30.405000 PM,5845,59552,5792,59079,5976
72,99078390,20-MAY-21 02.37.31.425000 PM,5783,58870,5704,58415,5926
73,99078390,20-MAY-21 02.37.32.448000 PM,5638,57402,5546,56889,5780
74,99078913,20-MAY-21 02.37.33.460000 PM,5495,56065,5410,55586,5675
75,99080860,20-MAY-21 02.37.34.489000 PM,5417,55494,5339,55029,5629
76,99088907,20-MAY-21 02.37.35.522000 PM,5414,55777,5372,55289,5649
77,99095390,20-MAY-21 02.37.36.544000 PM,5446,55859,5375,55386,5633
78,99095547,20-MAY-21 02.37.37.577000 PM,5282,54306,5226,53880,5481
79,99096660,20-MAY-21 02.37.38.597000 PM,5155,53161,5082,52657,5350
80,99098823,20-MAY-21 02.37.39.611000 PM,5123,52859,5062,52415,5308
