ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,25595848,24-FEB-21 01.15.55.657000 PM,0,0,0,0,0
1,25595958,24-FEB-21 01.15.56.669000 PM,1,25,2,28,0
2,25596520,24-FEB-21 01.15.57.679000 PM,14,152,18,154,15
3,25597768,24-FEB-21 01.15.58.692000 PM,37,445,45,438,37
4,25599602,24-FEB-21 01.15.59.701000 PM,83,860,89,848,83
5,25600976,24-FEB-21 01.16.00.712000 PM,120,1176,119,1146,127
6,25603622,24-FEB-21 01.16.01.723000 PM,177,1791,178,1737,189
7,25607315,24-FEB-21 01.16.02.734000 PM,274,2605,252,2597,267
8,25611563,24-FEB-21 01.16.03.745000 PM,378,3591,354,3533,357
9,25616277,24-FEB-21 01.16.04.757000 PM,479,4639,465,4635,462
10,25619136,24-FEB-21 01.16.05.769000 PM,541,5274,537,5291,538
11,25619940,24-FEB-21 01.16.06.801000 PM,562,5469,551,5463,553
12,25620765,24-FEB-21 01.16.07.825000 PM,578,5651,572,5654,579
13,25622173,24-FEB-21 01.16.08.849000 PM,603,5996,608,5955,608
14,25629174,24-FEB-21 01.16.09.865000 PM,761,7570,751,7579,755
15,25636033,24-FEB-21 01.16.10.883000 PM,941,9119,921,9128,887
16,25641423,24-FEB-21 01.16.11.908000 PM,1074,10330,1040,10359,1011
17,25647101,24-FEB-21 01.16.12.937000 PM,1200,11611,1162,11661,1147
18,25653062,24-FEB-21 01.16.13.968000 PM,1352,12956,1296,13011,1283
19,25658488,24-FEB-21 01.16.14.984000 PM,1499,14186,1411,14235,1389
20,25664510,24-FEB-21 01.16.16.022000 PM,1634,15527,1549,15638,1515
21,25671775,24-FEB-21 01.16.17.037000 PM,1803,17135,1727,17323,1688
22,25678762,24-FEB-21 01.16.18.051000 PM,1965,18707,1890,18920,1840
23,25681824,24-FEB-21 01.16.19.065000 PM,2042,19400,1944,19623,1903
24,25687310,24-FEB-21 01.16.20.083000 PM,2158,20665,2056,20863,2034
25,25691607,24-FEB-21 01.16.21.112000 PM,2280,21652,2133,21818,2130
26,25698018,24-FEB-21 01.16.22.136000 PM,2416,23118,2265,23276,2285
27,25704920,24-FEB-21 01.16.23.158000 PM,2573,24744,2428,24786,2438
28,25706273,24-FEB-21 01.16.24.189000 PM,2604,25029,2469,25109,2472
29,25706421,24-FEB-21 01.16.25.204000 PM,2606,25063,2475,25141,2478
30,25708959,24-FEB-21 01.16.26.217000 PM,2651,25651,2532,25726,2524
31,25711310,24-FEB-21 01.16.27.247000 PM,2700,26220,2586,26250,2564
32,25713877,24-FEB-21 01.16.28.261000 PM,2766,26805,2640,26813,2621
33,25720009,24-FEB-21 01.16.29.288000 PM,2920,28138,2786,28248,2763
34,25726633,24-FEB-21 01.16.30.307000 PM,3050,29654,2921,29776,2904
35,25732732,24-FEB-21 01.16.31.320000 PM,3175,31038,3070,31173,3051
36,25736355,24-FEB-21 01.16.32.343000 PM,3273,31852,3162,31982,3132
37,25740445,24-FEB-21 01.16.33.402000 PM,3386,32770,3252,32902,3229
38,25746278,24-FEB-21 01.16.34.418000 PM,3522,34127,3369,34204,3356
39,25754166,24-FEB-21 01.16.35.440000 PM,3684,35952,3543,35983,3537
40,25761447,24-FEB-21 01.16.36.462000 PM,3872,37618,3705,37609,3704
41,25768236,24-FEB-21 01.16.37.479000 PM,4023,39207,3866,39103,3856
42,25773090,24-FEB-21 01.16.38.498000 PM,4135,40355,3973,40165,3965
43,25777911,24-FEB-21 01.16.39.524000 PM,4250,41459,4070,41257,4087
44,25782781,24-FEB-21 01.16.40.541000 PM,4372,42549,4172,42365,4189
45,25785126,24-FEB-21 01.16.41.565000 PM,4424,43120,4231,42854,4251
46,25790885,24-FEB-21 01.16.42.598000 PM,4587,44442,4353,44129,4369
47,25798557,24-FEB-21 01.16.43.631000 PM,4788,46115,4524,45923,4535
48,25805792,24-FEB-21 01.16.44.653000 PM,4952,47755,4691,47565,4712
49,25811219,24-FEB-21 01.16.45.670000 PM,5089,48994,4818,48769,4849
50,25811346,24-FEB-21 01.16.46.684000 PM,5091,49026,4819,48797,4852
51,25811432,24-FEB-21 01.16.47.699000 PM,5092,49046,4825,48815,4853
52,25811650,24-FEB-21 01.16.48.717000 PM,5095,49100,4828,48865,4857
53,25811988,24-FEB-21 01.16.49.733000 PM,5103,49174,4835,48943,4865
54,25819587,24-FEB-21 01.16.50.746000 PM,5269,50880,5021,50693,5035
55,25827845,24-FEB-21 01.16.51.761000 PM,5445,52724,5204,52626,5203
56,25834627,24-FEB-21 01.16.52.779000 PM,5612,54230,5360,54184,5373
