ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,31525411,24-FEB-21 03.29.06.610000 PM,0,0,0,0,0
1,31525505,24-FEB-21 03.29.07.621000 PM,2,22,1,21,3
2,31526074,24-FEB-21 03.29.08.631000 PM,24,132,13,159,20
3,31527309,24-FEB-21 03.29.09.641000 PM,43,408,40,451,56
4,31529170,24-FEB-21 03.29.10.652000 PM,78,807,87,904,94
5,31531596,24-FEB-21 03.29.11.662000 PM,116,1385,138,1451,146
6,31534630,24-FEB-21 03.29.12.672000 PM,200,2074,232,2118,203
7,31538315,24-FEB-21 03.29.13.683000 PM,276,2937,312,2938,292
8,31541828,24-FEB-21 03.29.14.695000 PM,354,3730,389,3746,374
9,31545166,24-FEB-21 03.29.15.705000 PM,421,4527,440,4490,439
10,31550560,24-FEB-21 03.29.16.717000 PM,534,5748,580,5709,587
11,31556550,24-FEB-21 03.29.17.730000 PM,672,7075,709,7114,708
12,31562590,24-FEB-21 03.29.18.742000 PM,813,8452,849,8486,828
13,31568238,24-FEB-21 03.29.19.755000 PM,926,9736,975,9789,950
14,31573737,24-FEB-21 03.29.20.768000 PM,1073,10977,1100,11016,1094
15,31578932,24-FEB-21 03.29.21.784000 PM,1186,12151,1210,12206,1222
16,31585045,24-FEB-21 03.29.22.810000 PM,1314,13561,1327,13598,1361
17,31590864,24-FEB-21 03.29.23.832000 PM,1453,14863,1463,14929,1500
18,31596797,24-FEB-21 03.29.24.850000 PM,1594,16206,1610,16269,1640
19,31602110,24-FEB-21 03.29.25.873000 PM,1700,17417,1744,17477,1768
20,31608123,24-FEB-21 03.29.26.887000 PM,1800,18820,1866,18858,1894
21,31614652,24-FEB-21 03.29.27.903000 PM,1972,20281,2003,20342,2048
22,31618600,24-FEB-21 03.29.28.920000 PM,2062,21137,2106,21276,2133
23,31618678,24-FEB-21 03.29.29.936000 PM,2062,21156,2108,21294,2135
24,31618781,24-FEB-21 03.29.30.949000 PM,2067,21179,2109,21317,2136
25,31620703,24-FEB-21 03.29.31.964000 PM,2119,21581,2145,21786,2181
26,31621202,24-FEB-21 03.29.32.991000 PM,2129,21687,2153,21910,2192
27,31622948,24-FEB-21 03.29.34.007000 PM,2170,22059,2190,22326,2245
28,31624086,24-FEB-21 03.29.35.021000 PM,2192,22319,2215,22586,2279
29,31628667,24-FEB-21 03.29.36.033000 PM,2284,23384,2313,23607,2393
30,31635692,24-FEB-21 03.29.37.053000 PM,2445,24932,2463,25256,2552
31,31635868,24-FEB-21 03.29.38.084000 PM,2450,24967,2470,25300,2553
32,31638723,24-FEB-21 03.29.39.116000 PM,2509,25592,2544,25971,2624
33,31645498,24-FEB-21 03.29.40.169000 PM,2660,27176,2705,27476,2758
34,31651887,24-FEB-21 03.29.41.191000 PM,2793,28605,2856,28952,2923
35,31656471,24-FEB-21 03.29.42.211000 PM,2886,29627,2972,30013,3036
36,31656826,24-FEB-21 03.29.43.241000 PM,2899,29698,2977,30101,3042
37,31662818,24-FEB-21 03.29.44.261000 PM,3036,31062,3101,31467,3182
38,31670762,24-FEB-21 03.29.45.279000 PM,3229,32872,3290,33259,3349
39,31677987,24-FEB-21 03.29.46.293000 PM,3395,34568,3428,34865,3499
40,31682526,24-FEB-21 03.29.47.312000 PM,3489,35627,3511,35891,3591
41,31686198,24-FEB-21 03.29.48.327000 PM,3567,36450,3600,36739,3675
42,31691194,24-FEB-21 03.29.49.346000 PM,3698,37608,3708,37840,3787
43,31697937,24-FEB-21 03.29.50.363000 PM,3850,39151,3850,39372,3930
44,31705754,24-FEB-21 03.29.51.382000 PM,4043,40914,4042,41140,4115
45,31712954,24-FEB-21 03.29.52.409000 PM,4236,42533,4215,42759,4282
46,31717976,24-FEB-21 03.29.53.425000 PM,4353,43696,4320,43883,4389
47,31725729,24-FEB-21 03.29.54.444000 PM,4545,45445,4477,45650,4561
48,31731826,24-FEB-21 03.29.55.460000 PM,4690,46816,4617,47052,4682
49,31732010,24-FEB-21 03.29.56.491000 PM,4692,46848,4622,47105,4687
50,31732146,24-FEB-21 03.29.57.510000 PM,4693,46878,4625,47138,4692
51,31732354,24-FEB-21 03.29.58.542000 PM,4701,46923,4631,47182,4700
52,31736610,24-FEB-21 03.29.59.557000 PM,4798,47910,4723,48134,4798
53,31742626,24-FEB-21 03.30.00.581000 PM,4930,49280,4852,49493,4957
54,31747403,24-FEB-21 03.30.01.619000 PM,5029,50422,4971,50530,5060
55,31747541,24-FEB-21 03.30.02.654000 PM,5032,50454,4973,50562,5061
56,31747925,24-FEB-21 03.30.03.670000 PM,5038,50528,4980,50663,5073
57,31756731,24-FEB-21 03.30.04.692000 PM,5223,52524,5182,52686,5280
58,31760463,24-FEB-21 03.30.05.715000 PM,5307,53393,5258,53513,5368
59,31760595,24-FEB-21 03.30.06.740000 PM,5309,53422,5260,53545,5372
60,31764248,24-FEB-21 03.30.07.755000 PM,5387,54239,5334,54325,5453
61,31766886,24-FEB-21 03.30.08.776000 PM,5428,54712,5387,54800,5520
62,31770455,24-FEB-21 03.30.09.797000 PM,5487,55222,5421,55286,5545
63,31774533,24-FEB-21 03.30.10.814000 PM,5539,55684,5464,55758,5587
64,31777606,24-FEB-21 03.30.11.841000 PM,5569,55818,5484,55936,5590
65,31779209,24-FEB-21 03.30.12.855000 PM,5510,55432,5424,55542,5568
66,31786452,24-FEB-21 03.30.13.879000 PM,5590,56207,5522,56290,5645
67,31789118,24-FEB-21 03.30.14.903000 PM,5593,56095,5517,56267,5663
68,31789331,24-FEB-21 03.30.15.923000 PM,5530,55441,5463,55528,5580
69,31794483,24-FEB-21 03.30.16.953000 PM,5494,55141,5402,55181,5510
70,31798891,24-FEB-21 03.30.17.970000 PM,5451,54823,5386,54806,5544
71,31800374,24-FEB-21 03.30.18.986000 PM,5342,53676,5297,53659,5390
72,31807810,24-FEB-21 03.30.20.003000 PM,5399,54136,5351,54140,5432
73,31811364,24-FEB-21 03.30.21.023000 PM,5427,54025,5353,54007,5423
74,31811482,24-FEB-21 03.30.22.038000 PM,5268,52848,5300,52806,5256
75,31813840,24-FEB-21 03.30.23.064000 PM,5170,51713,5111,51657,5138
76,31818700,24-FEB-21 03.30.24.085000 PM,5147,51725,5151,51476,5117
77,31823900,24-FEB-21 03.30.25.099000 PM,5127,51476,5055,51397,5086
78,31828609,24-FEB-21 03.30.26.118000 PM,5141,51258,5027,51262,5053
79,31835328,24-FEB-21 03.30.27.138000 PM,5177,51639,5081,51497,5070
80,31835554,24-FEB-21 03.30.28.168000 PM,5005,50089,4935,49957,4956
81,31841839,24-FEB-21 03.30.29.196000 PM,5080,50889,4993,50664,4972
82,31846625,24-FEB-21 03.30.30.254000 PM,5189,51972,5085,51721,5064
83,31846943,24-FEB-21 03.30.31.279000 PM,5180,51906,5088,51633,5052
84,31850599,24-FEB-21 03.30.32.292000 PM,5230,52428,5155,52128,5119
85,31856644,24-FEB-21 03.30.33.324000 PM,5357,53657,5295,53353,5246
86,31857496,24-FEB-21 03.30.34.352000 PM,5338,53454,5276,53131,5217
87,31865257,24-FEB-21 03.30.35.372000 PM,5453,54676,5397,54361,5355
88,31870696,24-FEB-21 03.30.36.402000 PM,5451,54629,5425,54360,5349
89,31870809,24-FEB-21 03.30.37.417000 PM,5344,53639,5325,53292,5242
90,31870928,24-FEB-21 03.30.38.432000 PM,5342,53628,5319,53278,5245
91,31874042,24-FEB-21 03.30.39.466000 PM,5343,53413,5319,53095,5229
92,31880531,24-FEB-21 03.30.40.491000 PM,5283,53128,5262,52780,5195
93,31888037,24-FEB-21 03.30.41.512000 PM,5328,53454,5308,53054,5210
94,31891928,24-FEB-21 03.30.42.529000 PM,5359,53733,5337,53346,5236
95,31892126,24-FEB-21 03.30.43.564000 PM,5333,53512,5318,53116,5212
96,31892244,24-FEB-21 03.30.44.577000 PM,5167,51923,5249,51506,5065
97,31896963,24-FEB-21 03.30.45.600000 PM,5071,51060,5153,50715,5002
98,31900442,24-FEB-21 03.30.46.617000 PM,5016,50458,5075,50180,4937
99,31902364,24-FEB-21 03.30.47.633000 PM,4969,49848,5033,49541,4882
100,31904865,24-FEB-21 03.30.48.681000 PM,4972,49711,5021,49437,4853
101,31906442,24-FEB-21 03.30.49.716000 PM,4840,48449,4892,48219,4720
