ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,192755268,23-MAR-21 08.43.09.908000 AM,0,0,0,0,0
1,192755329,23-MAR-21 08.43.10.920000 AM,2,13,2,14,2
2,192755876,23-MAR-21 08.43.11.929000 AM,13,148,12,130,15
3,192756989,23-MAR-21 08.43.12.943000 AM,38,394,32,391,43
4,192758684,23-MAR-21 08.43.13.953000 AM,76,794,70,768,70
5,192760970,23-MAR-21 08.43.14.962000 AM,134,1306,124,1293,112
6,192763770,23-MAR-21 08.43.15.973000 AM,201,1950,184,1919,182
7,192767110,23-MAR-21 08.43.16.984000 AM,280,2712,256,2679,253
8,192771029,23-MAR-21 08.43.17.994000 AM,363,3568,343,3611,338
9,192775330,23-MAR-21 08.43.19.006000 AM,463,4534,454,4595,424
10,192779893,23-MAR-21 08.43.20.020000 AM,575,5586,555,5610,533
11,192784892,23-MAR-21 08.43.21.032000 AM,699,6744,659,6721,641
12,192787645,23-MAR-21 08.43.22.044000 AM,758,7378,708,7351,695
13,192793487,23-MAR-21 08.43.23.072000 AM,883,8721,841,8670,834
14,192800165,23-MAR-21 08.43.24.086000 AM,1024,10211,999,10217,994
15,192806624,23-MAR-21 08.43.25.100000 AM,1180,11688,1153,11660,1152
16,192811804,23-MAR-21 08.43.26.112000 AM,1298,12886,1278,12813,1266
17,192816733,23-MAR-21 08.43.27.128000 AM,1405,14011,1400,13922,1389
18,192822191,23-MAR-21 08.43.28.142000 AM,1539,15270,1549,15121,1521
19,192829460,23-MAR-21 08.43.29.155000 AM,1726,16892,1740,16767,1683
20,192832834,23-MAR-21 08.43.30.170000 AM,1785,17651,1827,17560,1750
21,192837351,23-MAR-21 08.43.31.188000 AM,1894,18638,1947,18607,1857
22,192842587,23-MAR-21 08.43.32.219000 AM,2026,19846,2053,19774,1974
23,192847477,23-MAR-21 08.43.33.237000 AM,2147,20962,2167,20876,2074
24,192851392,23-MAR-21 08.43.34.251000 AM,2232,21830,2250,21800,2150
25,192853538,23-MAR-21 08.43.35.283000 AM,2275,22309,2316,22292,2202
26,192855764,23-MAR-21 08.43.36.298000 AM,2331,22839,2370,22772,2243
27,192862283,23-MAR-21 08.43.37.331000 AM,2481,24321,2513,24257,2388
28,192866076,23-MAR-21 08.43.38.359000 AM,2558,25201,2595,25110,2479
29,192868645,23-MAR-21 08.43.39.375000 AM,2615,25773,2653,25711,2528
30,192870349,23-MAR-21 08.43.40.389000 AM,2661,26168,2685,26085,2569
31,192877004,23-MAR-21 08.43.41.403000 AM,2823,27623,2849,27645,2705
32,192883519,23-MAR-21 08.43.42.422000 AM,2961,29104,3005,29145,2844
33,192884222,23-MAR-21 08.43.43.439000 AM,2976,29257,3029,29301,2857
34,192891196,23-MAR-21 08.43.44.460000 AM,3133,30859,3176,30892,3011
35,192896221,23-MAR-21 08.43.45.486000 AM,3222,32013,3302,32023,3135
36,192900494,23-MAR-21 08.43.46.505000 AM,3294,33019,3421,32982,3242
37,192905021,23-MAR-21 08.43.47.525000 AM,3375,34064,3509,34015,3334
38,192912511,23-MAR-21 08.43.48.544000 AM,3556,35803,3670,35701,3459
39,192918932,23-MAR-21 08.43.49.573000 AM,3705,37230,3825,37180,3610
40,192924545,23-MAR-21 08.43.50.613000 AM,3841,38510,3957,38443,3734
41,192930138,23-MAR-21 08.43.51.631000 AM,3961,39786,4092,39712,3860
42,192936238,23-MAR-21 08.43.52.651000 AM,4096,41172,4223,41099,4013
43,192939070,23-MAR-21 08.43.53.699000 AM,4160,41830,4284,41729,4082
44,192944496,23-MAR-21 08.43.54.730000 AM,4292,43034,4411,42985,4195
45,192949546,23-MAR-21 08.43.55.750000 AM,4418,44198,4516,44113,4305
46,192953376,23-MAR-21 08.43.56.776000 AM,4505,45085,4600,44974,4381
47,192958782,23-MAR-21 08.43.57.800000 AM,4614,46315,4724,46226,4486
48,192965601,23-MAR-21 08.43.58.821000 AM,4763,47873,4869,47788,4618
49,192966244,23-MAR-21 08.43.59.844000 AM,4781,48026,4888,47922,4631
50,192966469,23-MAR-21 08.44.00.877000 AM,4787,48078,4892,47971,4637
51,192968839,23-MAR-21 08.44.01.892000 AM,4843,48613,4942,48511,4699
52,192975256,23-MAR-21 08.44.02.911000 AM,4971,50105,5078,49953,4852
53,192977736,23-MAR-21 08.44.03.942000 AM,5025,50719,5127,50469,4918
