ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,4583598,23-FEB-21 10.27.47.011000 AM,
1,4583686,23-FEB-21 10.27.48.022000 AM,1,18,2,23,2
2,4584253,23-FEB-21 10.27.49.031000 AM,10,156,17,146,14
3,4585444,23-FEB-21 10.27.50.044000 AM,36,410,46,433,42
4,4587180,23-FEB-21 10.27.51.054000 AM,77,797,85,835,80
5,4589511,23-FEB-21 10.27.52.064000 AM,137,1323,136,1363,135
6,4591227,23-FEB-21 10.27.53.074000 AM,170,1733,176,1741,171
7,4594832,23-FEB-21 10.27.54.083000 AM,269,2555,270,2537,243
8,4599077,23-FEB-21 10.27.55.094000 AM,367,3571,373,3449,339
9,4603906,23-FEB-21 10.27.56.104000 AM,479,4678,486,4534,442
10,4609103,23-FEB-21 10.27.57.115000 AM,607,5838,597,5732,554
11,4615102,23-FEB-21 10.27.58.127000 AM,744,7171,743,7118,695
12,4621389,23-FEB-21 10.27.59.139000 AM,887,8595,886,8560,821
13,4626474,23-FEB-21 10.28.00.153000 AM,1009,9740,1004,9720,935
14,4631489,23-FEB-21 10.28.01.165000 AM,1142,10814,1106,10908,1057
15,4636472,23-FEB-21 10.28.02.194000 AM,1256,11970,1221,12013,1179
16,4641408,23-FEB-21 10.28.03.210000 AM,1373,13069,1333,13153,1289
17,4645978,23-FEB-21 10.28.04.233000 AM,1500,14085,1440,14186,1398
18,4650735,23-FEB-21 10.28.05.261000 AM,1608,15196,1569,15228,1504
19,4656422,23-FEB-21 10.28.06.276000 AM,1746,16480,1699,16520,1637
20,4661125,23-FEB-21 10.28.07.289000 AM,1876,17526,1813,17580,1752
21,4665657,23-FEB-21 10.28.08.310000 AM,1959,18539,1930,18645,1850
22,4672053,23-FEB-21 10.28.09.324000 AM,2101,19974,2053,20122,2008
23,4674864,23-FEB-21 10.28.10.341000 AM,2168,20589,2113,20788,2072
24,4681450,23-FEB-21 10.28.11.355000 AM,2330,22099,2279,22253,2221
25,4687749,23-FEB-21 10.28.12.370000 AM,2482,23510,2429,23693,2356
26,4694076,23-FEB-21 10.28.13.391000 AM,2637,24979,2561,25111,2463
27,4700564,23-FEB-21 10.28.14.416000 AM,2791,26427,2718,26608,2596
28,4702669,23-FEB-21 10.28.15.437000 AM,2838,26938,2772,27052,2651
29,4708705,23-FEB-21 10.28.16.456000 AM,2966,28310,2900,28432,2791
30,4713778,23-FEB-21 10.28.17.487000 AM,3085,29468,3035,29568,2903
