ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,49070610,25-FEB-21 10.14.43.403000 AM,0,0,0,0,0
1,49070707,25-FEB-21 10.14.44.416000 AM,5,22,2,19,4
2,49071317,25-FEB-21 10.14.45.427000 AM,26,149,19,162,14
3,49072562,25-FEB-21 10.14.46.441000 AM,44,396,47,488,49
4,49074390,25-FEB-21 10.14.47.452000 AM,80,821,91,898,93
5,49076858,25-FEB-21 10.14.48.462000 AM,139,1361,144,1483,140
6,49079870,25-FEB-21 10.14.49.472000 AM,202,2002,211,2204,234
7,49083386,25-FEB-21 10.14.50.483000 AM,273,2796,290,3016,316
8,49087696,25-FEB-21 10.14.51.494000 AM,371,3756,385,4012,426
9,49092340,25-FEB-21 10.14.52.505000 AM,482,4829,494,5050,513
10,49095964,25-FEB-21 10.14.53.518000 AM,559,5664,569,5873,599
11,49100517,25-FEB-21 10.14.54.529000 AM,667,6685,678,6910,707
12,49105960,25-FEB-21 10.14.55.539000 AM,779,7927,803,8152,831
13,49112325,25-FEB-21 10.14.56.556000 AM,934,9373,950,9590,974
14,49115863,25-FEB-21 10.14.57.579000 AM,1011,10207,1018,10372,1055
15,49120990,25-FEB-21 10.14.58.615000 AM,1126,11397,1142,11508,1174
16,49127424,25-FEB-21 10.14.59.640000 AM,1250,12842,1284,13019,1311
17,49133705,25-FEB-21 10.15.00.664000 AM,1389,14296,1415,14412,1489
18,49140168,25-FEB-21 10.15.01.677000 AM,1538,15718,1560,15918,1652
19,49143295,25-FEB-21 10.15.02.697000 AM,1605,16425,1648,16630,1717
20,49144958,25-FEB-21 10.15.03.736000 AM,1652,16810,1687,16990,1757
21,49149571,25-FEB-21 10.15.04.764000 AM,1756,17861,1798,18039,1858
22,49155785,25-FEB-21 10.15.05.779000 AM,1894,19273,1936,19454,2001
23,49160835,25-FEB-21 10.15.06.795000 AM,2004,20418,2054,20605,2117
