ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,54988803,25-FEB-21 11.10.09.295000 AM,0,0,0,0,0
1,54988910,25-FEB-21 11.10.10.305000 AM,2,21,4,27,3
2,54989516,25-FEB-21 11.10.11.315000 AM,9,174,13,159,16
3,54990716,25-FEB-21 11.10.12.325000 AM,38,446,38,432,43
4,54992560,25-FEB-21 11.10.13.335000 AM,78,891,72,834,83
5,54995073,25-FEB-21 11.10.14.345000 AM,130,1482,125,1400,121
6,54998141,25-FEB-21 11.10.15.355000 AM,201,2163,187,2115,192
7,55001588,25-FEB-21 11.10.16.367000 AM,291,2937,278,2894,263
8,55005847,25-FEB-21 11.10.17.378000 AM,367,3913,391,3867,361
9,55010714,25-FEB-21 11.10.18.390000 AM,488,4966,528,5001,475
10,55016182,25-FEB-21 11.10.19.402000 AM,616,6217,650,6240,585
11,55022069,25-FEB-21 11.10.20.414000 AM,731,7604,779,7548,724
12,55028377,25-FEB-21 11.10.21.427000 AM,868,9068,931,8952,868
13,55035185,25-FEB-21 11.10.22.440000 AM,1023,10646,1083,10469,1025
14,55040577,25-FEB-21 11.10.23.456000 AM,1148,11884,1185,11681,1163
15,55045644,25-FEB-21 11.10.24.477000 AM,1240,13056,1301,12849,1257
16,55050580,25-FEB-21 11.10.25.489000 AM,1359,14157,1413,13986,1359
17,55055528,25-FEB-21 11.10.26.531000 AM,1463,15261,1533,15133,1479
18,55061696,25-FEB-21 11.10.27.556000 AM,1607,16636,1677,16561,1610
19,55068005,25-FEB-21 11.10.28.570000 AM,1764,18096,1834,17954,1740
20,55073297,25-FEB-21 11.10.29.588000 AM,1874,19290,1966,19175,1852
21,55077925,25-FEB-21 11.10.30.635000 AM,1997,20294,2075,20250,1966
22,55083137,25-FEB-21 11.10.31.650000 AM,2121,21521,2185,21384,2100
23,55088624,25-FEB-21 11.10.32.680000 AM,2252,22811,2328,22575,2219
24,55092166,25-FEB-21 11.10.33.697000 AM,2343,23588,2403,23404,2290
25,55095735,25-FEB-21 11.10.34.722000 AM,2419,24371,2494,24242,2375
26,55099927,25-FEB-21 11.10.35.736000 AM,2505,25365,2569,25172,2471
27,55106352,25-FEB-21 11.10.36.760000 AM,2661,26782,2704,26675,2613
28,55113163,25-FEB-21 11.10.37.785000 AM,2803,28349,2864,28218,2756
29,55119744,25-FEB-21 11.10.38.810000 AM,2951,29827,2999,29732,2922
30,55123592,25-FEB-21 11.10.39.826000 AM,3040,30715,3083,30596,3002
31,55130405,25-FEB-21 11.10.40.843000 AM,3214,32298,3244,32094,3152
32,55136407,25-FEB-21 11.10.41.863000 AM,3359,33702,3374,33419,3272
33,55144859,25-FEB-21 11.10.42.882000 AM,3571,35600,3542,35364,3467
34,55150676,25-FEB-21 11.10.43.902000 AM,3698,36903,3690,36680,3623
35,55155332,25-FEB-21 11.10.44.927000 AM,3797,37963,3805,37741,3724
36,55159650,25-FEB-21 11.10.45.966000 AM,3882,38975,3899,38707,3826
37,55165106,25-FEB-21 11.10.46.998000 AM,4015,40206,4017,39949,3948
38,55171104,25-FEB-21 11.10.48.017000 AM,4147,41585,4156,41303,4070
39,55176178,25-FEB-21 11.10.49.034000 AM,4276,42703,4256,42481,4199
40,55182281,25-FEB-21 11.10.50.048000 AM,4417,44067,4405,43875,4355
41,55186801,25-FEB-21 11.10.51.067000 AM,4509,45158,4510,44854,4446
42,55189107,25-FEB-21 11.10.52.101000 AM,4551,45687,4571,45378,4501
43,55192591,25-FEB-21 11.10.53.157000 AM,4639,46483,4659,46154,4577
44,55199061,25-FEB-21 11.10.54.176000 AM,4796,47990,4799,47579,4729
45,55203072,25-FEB-21 11.10.55.205000 AM,4889,48893,4877,48500,4828
46,55210374,25-FEB-21 11.10.56.240000 AM,5057,50547,5045,50164,4998
47,55217497,25-FEB-21 11.10.57.266000 AM,5227,52140,5218,51788,5172
48,55222333,25-FEB-21 11.10.58.289000 AM,5322,53230,5318,52922,5271
49,55226995,25-FEB-21 11.10.59.306000 AM,5442,54277,5423,53967,5397
50,55227221,25-FEB-21 11.11.00.335000 AM,5449,54328,5430,54017,5400
51,55228110,25-FEB-21 11.11.01.350000 AM,5469,54533,5456,54219,5411
52,55234386,25-FEB-21 11.11.02.367000 AM,5608,56023,5594,55585,5564
53,55241000,25-FEB-21 11.11.03.387000 AM,5730,57542,5740,57094,5727
54,55245956,25-FEB-21 11.11.04.411000 AM,5826,58642,5841,58273,5833
55,55254186,25-FEB-21 11.11.05.430000 AM,6013,60546,6004,60125,6011
56,55256146,25-FEB-21 11.11.06.446000 AM,6065,60986,6041,60574,6054
57,55265548,25-FEB-21 11.11.07.465000 AM,6282,63089,6251,62746,6262
58,55271297,25-FEB-21 11.11.08.485000 AM,6428,64370,6375,64075,6390
59,55278718,25-FEB-21 11.11.09.512000 AM,6597,66075,6545,65740,6546
60,55278849,25-FEB-21 11.11.10.527000 AM,6597,66093,6548,65735,6550
61,55283803,25-FEB-21 11.11.11.553000 AM,6712,67004,6644,66670,6653
62,55291131,25-FEB-21 11.11.12.579000 AM,6847,68430,6762,67968,6763
63,55291866,25-FEB-21 11.11.13.595000 AM,6822,68147,6755,67721,6744
64,55291980,25-FEB-21 11.11.14.615000 AM,6769,67511,6715,67127,6744
65,55294720,25-FEB-21 11.11.15.629000 AM,6751,67432,6679,67000,6676
66,55302182,25-FEB-21 11.11.16.659000 AM,6850,68292,6737,67789,6773
67,55309199,25-FEB-21 11.11.17.688000 AM,6903,68836,6782,68423,6844
68,55315428,25-FEB-21 11.11.18.712000 AM,6933,69388,6815,68836,6881
69,55315428,25-FEB-21 11.11.19.726000 AM,6933,69388,6815,68836,6881
70,55315428,25-FEB-21 11.11.20.756000 AM,6933,69388,6815,68836,6881
71,55315428,25-FEB-21 11.11.21.771000 AM,6933,69388,6815,68836,6881
72,55320276,25-FEB-21 11.11.22.787000 AM,6498,64567,6370,64261,6416
73,55327271,25-FEB-21 11.11.23.805000 AM,6525,64845,6383,64543,6424
74,55334345,25-FEB-21 11.11.24.833000 AM,6611,65232,6416,64995,6511
75,55336048,25-FEB-21 11.11.25.849000 AM,6534,64582,6339,64268,6432
76,55336167,25-FEB-21 11.11.26.867000 AM,6467,63743,6252,63469,6358
77,55336289,25-FEB-21 11.11.27.888000 AM,6322,62716,6146,62366,6297
78,55337741,25-FEB-21 11.11.28.907000 AM,6183,60980,5943,60676,6108
79,55344659,25-FEB-21 11.11.29.936000 AM,6241,61614,6011,61281,6164
80,55351132,25-FEB-21 11.11.30.954000 AM,6244,61866,6041,61484,6189
81,55355203,25-FEB-21 11.11.31.985000 AM,6279,62096,6084,61745,6218
82,55355388,25-FEB-21 11.11.33.000000 AM,6113,60502,5906,60191,6153
83,55355549,25-FEB-21 11.11.34.020000 AM,6015,59634,5876,59370,6019
84,55357480,25-FEB-21 11.11.35.033000 AM,5997,59415,5791,59066,5971
85,55364264,25-FEB-21 11.11.36.053000 AM,6015,59706,5836,59421,5992
86,55368652,25-FEB-21 11.11.37.077000 AM,5987,59549,5845,59212,5988
87,55368882,25-FEB-21 11.11.38.110000 AM,5945,58063,5654,57709,5877
88,55369911,25-FEB-21 11.11.39.139000 AM,5746,56987,5563,56635,5731
89,55372064,25-FEB-21 11.11.40.158000 AM,5686,56353,5517,56083,5662
90,55374143,25-FEB-21 11.11.41.175000 AM,5560,55287,5371,55034,5561
91,55375977,25-FEB-21 11.11.42.199000 AM,5404,53880,5248,53669,5450
92,55384028,25-FEB-21 11.11.43.219000 AM,5381,53948,5259,53674,5441
93,55391220,25-FEB-21 11.11.44.239000 AM,5411,54432,5341,54102,5483
94,55392340,25-FEB-21 11.11.45.265000 AM,5369,53908,5287,53626,5414
95,55392538,25-FEB-21 11.11.46.285000 AM,5286,52979,5199,52396,5320
96,55392652,25-FEB-21 11.11.47.300000 AM,5191,51702,5082,51480,5189
97,55398034,25-FEB-21 11.11.48.316000 AM,5122,51246,5052,50981,5156
98,55403748,25-FEB-21 11.11.49.335000 AM,5152,51600,5080,51357,5187
99,55410495,25-FEB-21 11.11.50.365000 AM,5144,51458,5063,51332,5164
100,55413476,25-FEB-21 11.11.51.388000 AM,5154,51505,5057,51409,5174
101,55413587,25-FEB-21 11.11.52.412000 AM,5137,50954,4997,50857,5120
102,55413734,25-FEB-21 11.11.53.430000 AM,4994,49893,4924,49823,5002
103,55413925,25-FEB-21 11.11.54.442000 AM,4881,48846,4789,48850,4907
104,55420346,25-FEB-21 11.11.55.457000 AM,4866,48999,4807,48949,4884
105,55424217,25-FEB-21 11.11.56.483000 AM,4793,48262,4740,48229,4825
106,55431503,25-FEB-21 11.11.57.521000 AM,4787,48298,4739,48221,4807
107,55431976,25-FEB-21 11.11.58.543000 AM,4729,47727,4677,47593,4752
108,55436084,25-FEB-21 11.11.59.557000 AM,4705,47560,4657,47499,4727
109,55438083,25-FEB-21 11.12.00.570000 AM,4754,47998,4711,47929,4792
110,55438283,25-FEB-21 11.12.01.587000 AM,4740,47825,4710,47773,4783
111,55444553,25-FEB-21 11.12.02.617000 AM,4714,47265,4638,47335,4716
112,55451407,25-FEB-21 11.12.03.641000 AM,4772,47589,4687,47599,4771
113,55451995,25-FEB-21 11.12.04.676000 AM,4734,47085,4654,47068,4735
114,55452232,25-FEB-21 11.12.05.707000 AM,4488,44656,4437,44587,4543
115,55454655,25-FEB-21 11.12.06.718000 AM,4473,44587,4446,44465,4474
116,55459728,25-FEB-21 11.12.07.742000 AM,4439,44139,4400,44012,4455
117,55466581,25-FEB-21 11.12.08.760000 AM,4432,44000,4399,43835,4445
118,55473502,25-FEB-21 11.12.09.779000 AM,4452,44314,4406,44188,4479
119,55473531,25-FEB-21 11.12.10.802000 AM,4452,44303,4407,44177,4479
120,55473531,25-FEB-21 11.12.11.817000 AM,4452,44303,4407,44177,4479
121,55473531,25-FEB-21 11.12.12.831000 AM,4452,44303,4407,44177,4479
122,55476477,25-FEB-21 11.12.13.853000 AM,4200,41960,4190,41931,4259
123,55483738,25-FEB-21 11.12.14.881000 AM,4370,43535,4357,43559,4423
124,55491963,25-FEB-21 11.12.15.903000 AM,4452,44213,4448,44375,4489
125,55493377,25-FEB-21 11.12.16.921000 AM,4416,43321,4440,43471,4480
126,55493525,25-FEB-21 11.12.17.952000 AM,4195,41651,4188,41741,4263
127,55493721,25-FEB-21 11.12.18.977000 AM,4075,40427,4069,40550,4113
128,55493953,25-FEB-21 11.12.19.995000 AM,4080,40473,4075,40611,4115
129,55500683,25-FEB-21 11.12.21.025000 AM,4232,42014,4228,42138,4253
130,55503242,25-FEB-21 11.12.22.058000 AM,4287,42587,4295,42727,4310
131,55504366,25-FEB-21 11.12.23.089000 AM,4224,41398,4233,41530,4269
132,55504484,25-FEB-21 11.12.24.122000 AM,4067,39868,4082,40007,4110
133,55506961,25-FEB-21 11.12.25.137000 AM,3874,38827,3969,38903,3924
134,55513809,25-FEB-21 11.12.26.158000 AM,4030,40325,4110,40425,4091
135,55513921,25-FEB-21 11.12.27.173000 AM,4029,40332,4109,40415,4091
136,55519655,25-FEB-21 11.12.28.192000 AM,4152,41610,4237,41673,4236
137,55526486,25-FEB-21 11.12.29.210000 AM,4234,42407,4302,42486,4334
138,55527174,25-FEB-21 11.12.30.228000 AM,4105,41229,4307,41251,4204
139,55528201,25-FEB-21 11.12.31.257000 AM,3950,39744,4038,39837,4036
140,55535907,25-FEB-21 11.12.32.276000 AM,4096,40976,4156,41100,4140
141,55537081,25-FEB-21 11.12.33.295000 AM,4111,41231,4167,41319,4161
142,55541948,25-FEB-21 11.12.34.312000 AM,4209,42304,4287,42387,4262
143,55549705,25-FEB-21 11.12.35.329000 AM,4295,43204,4361,43303,4340
144,55550190,25-FEB-21 11.12.36.351000 AM,4285,42008,4358,42541,4265
145,55550432,25-FEB-21 11.12.37.372000 AM,4108,41287,4178,41293,4142
146,55554941,25-FEB-21 11.12.38.397000 AM,4211,42240,4269,42291,4230
147,55556885,25-FEB-21 11.12.39.416000 AM,4213,42171,4252,42242,4210
148,55564992,25-FEB-21 11.12.40.433000 AM,4393,43768,4418,43912,4365
149,55572569,25-FEB-21 11.12.41.459000 AM,4468,44692,4519,44830,4460
150,55573576,25-FEB-21 11.12.42.484000 AM,4491,44505,4497,44663,4471
151,55573688,25-FEB-21 11.12.43.502000 AM,4297,43061,4412,42883,4390
152,55573810,25-FEB-21 11.12.44.518000 AM,4221,41242,4116,41479,4390
153,55578712,25-FEB-21 11.12.45.537000 AM,4266,42249,4213,42425,4218
154,55579926,25-FEB-21 11.12.46.557000 AM,4291,42490,4243,42651,4250
155,55585779,25-FEB-21 11.12.47.583000 AM,4402,43826,4379,43935,4380
156,55587760,25-FEB-21 11.12.48.605000 AM,4250,42481,4235,42663,4246
157,55594843,25-FEB-21 11.12.49.621000 AM,4308,42964,4279,42980,4273
158,55601575,25-FEB-21 11.12.50.647000 AM,4310,42994,4267,42935,4289
159,55603243,25-FEB-21 11.12.51.678000 AM,4335,43139,4288,43112,4307
160,55603408,25-FEB-21 11.12.52.690000 AM,4341,43150,4291,43119,4310
