ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,119180502,22-MAR-21 08.20.17.678000 AM,0,0,0,0,0
1,119180577,22-MAR-21 08.20.18.689000 AM,2,23,0,13,1
2,119181125,22-MAR-21 08.20.19.700000 AM,13,161,8,132,5
3,119182198,22-MAR-21 08.20.20.710000 AM,35,410,38,374,20
4,119183846,22-MAR-21 08.20.21.721000 AM,63,796,84,741,61
5,119186085,22-MAR-21 08.20.22.735000 AM,120,1324,140,1227,107
6,119188892,22-MAR-21 08.20.23.746000 AM,186,1955,215,1861,171
7,119192316,22-MAR-21 08.20.24.757000 AM,259,2762,297,2612,251
8,119196055,22-MAR-21 08.20.25.769000 AM,333,3641,386,3449,321
9,119200232,22-MAR-21 08.20.26.781000 AM,414,4639,475,4371,407
10,119204046,22-MAR-21 08.20.27.794000 AM,498,5484,552,5265,498
11,119209555,22-MAR-21 08.20.28.830000 AM,625,6726,680,6526,621
12,119215170,22-MAR-21 08.20.29.844000 AM,752,8000,804,7810,740
13,119219661,22-MAR-21 08.20.30.877000 AM,841,9046,926,8812,839
14,119226626,22-MAR-21 08.20.31.892000 AM,989,10644,1068,10395,1001
15,119230260,22-MAR-21 08.20.32.919000 AM,1075,11443,1133,11268,1053
16,119231024,22-MAR-21 08.20.33.954000 AM,1093,11613,1149,11443,1075
17,119231859,22-MAR-21 08.20.34.997000 AM,1112,11800,1164,11637,1095
18,119232367,22-MAR-21 08.20.36.030000 AM,1128,11919,1176,11745,1106
19,119238910,22-MAR-21 08.20.37.056000 AM,1261,13418,1327,13243,1243
20,119244893,22-MAR-21 08.20.38.070000 AM,1383,14798,1469,14597,1369
21,119250043,22-MAR-21 08.20.39.086000 AM,1502,15992,1593,15749,1467
22,119256841,22-MAR-21 08.20.40.106000 AM,1651,17536,1755,17298,1614
23,119262315,22-MAR-21 08.20.41.122000 AM,1791,18774,1846,18543,1753
24,119264664,22-MAR-21 08.20.42.142000 AM,1849,19291,1888,19093,1808
25,119268118,22-MAR-21 08.20.43.162000 AM,1924,20065,1960,19896,1888
26,119274235,22-MAR-21 08.20.44.178000 AM,2074,21421,2088,21299,2056
27,119279126,22-MAR-21 08.20.45.198000 AM,2191,22535,2193,22406,2167
28,119285349,22-MAR-21 08.20.46.220000 AM,2339,23994,2313,23787,2296
29,119291140,22-MAR-21 08.20.47.239000 AM,2464,25347,2429,25071,2441
30,119298535,22-MAR-21 08.20.48.268000 AM,2639,27028,2580,26747,2626
31,119303870,22-MAR-21 08.20.49.294000 AM,2761,28188,2709,28000,2759
32,119305560,22-MAR-21 08.20.50.310000 AM,2791,28561,2746,28410,2790
33,119307055,22-MAR-21 08.20.51.330000 AM,2826,28886,2774,28769,2817
34,119311842,22-MAR-21 08.20.52.380000 AM,2939,29987,2879,29834,2941
35,119318750,22-MAR-21 08.20.53.407000 AM,3099,31580,3041,31389,3076
36,119325013,22-MAR-21 08.20.54.431000 AM,3225,32991,3189,32848,3201
37,119329658,22-MAR-21 08.20.55.451000 AM,3323,34026,3283,33938,3299
38,119338188,22-MAR-21 08.20.56.465000 AM,3525,35994,3479,35838,3494
39,119345763,22-MAR-21 08.20.57.487000 AM,3684,37703,3654,37588,3675
40,119350535,22-MAR-21 08.20.58.521000 AM,3800,38784,3759,38656,3793
41,119353638,22-MAR-21 08.20.59.576000 AM,3868,39524,3814,39338,3866
42,119356595,22-MAR-21 08.21.00.601000 AM,3938,40191,3872,40014,3933
43,119364062,22-MAR-21 08.21.01.630000 AM,4114,41893,4062,41695,4094
44,119371222,22-MAR-21 08.21.02.651000 AM,4301,43446,4206,43391,4244
45,119377516,22-MAR-21 08.21.03.668000 AM,4458,44872,4360,44802,4390
46,119379772,22-MAR-21 08.21.04.685000 AM,4517,45382,4401,45320,4431
47,119379801,22-MAR-21 08.21.05.718000 AM,4517,45390,4401,45327,4431
48,119383773,22-MAR-21 08.21.06.734000 AM,4611,46322,4489,46208,4508
49,119389534,22-MAR-21 08.21.07.752000 AM,4724,47629,4628,47528,4642
50,119393520,22-MAR-21 08.21.08.770000 AM,4810,48523,4717,48453,4733
51,119398606,22-MAR-21 08.21.09.786000 AM,4928,49673,4812,49623,4850
52,119405378,22-MAR-21 08.21.10.810000 AM,5112,51196,4991,51131,5007
53,119408145,22-MAR-21 08.21.11.830000 AM,5169,51808,5046,51781,5081
54,119413010,22-MAR-21 08.21.12.848000 AM,5279,52908,5141,52898,5205
55,119419352,22-MAR-21 08.21.13.869000 AM,5421,54324,5300,54349,5362
56,119419510,22-MAR-21 08.21.14.919000 AM,5426,54368,5302,54376,5366
57,119422763,22-MAR-21 08.21.15.937000 AM,5482,55072,5386,55165,5439
58,119428553,22-MAR-21 08.21.16.960000 AM,5606,56449,5501,56429,5582
59,119430147,22-MAR-21 08.21.17.978000 AM,5655,56819,5540,56772,5613
60,119433359,22-MAR-21 08.21.18.998000 AM,5739,57485,5619,57452,5693
61,119440216,22-MAR-21 08.21.20.014000 AM,5873,58916,5752,58824,5848
62,119445387,22-MAR-21 08.21.21.033000 AM,5966,59835,5839,59682,5924
63,119445538,22-MAR-21 08.21.22.066000 AM,5932,59448,5792,59287,5886
64,119447819,22-MAR-21 08.21.23.085000 AM,5939,59361,5773,59289,5906
65,119456351,22-MAR-21 08.21.24.105000 AM,6050,60582,5887,60570,6017
66,119462780,22-MAR-21 08.21.25.127000 AM,6109,61191,5956,61258,6077
67,119463032,22-MAR-21 08.21.26.158000 AM,6033,60323,5874,60428,5997
68,119463144,22-MAR-21 08.21.27.176000 AM,5948,59335,5781,59435,5907
69,119463243,22-MAR-21 08.21.28.198000 AM,5874,58406,5693,58495,5818
70,119465623,22-MAR-21 08.21.29.228000 AM,5792,57693,5617,57839,5735
71,119472647,22-MAR-21 08.21.30.288000 AM,5823,57846,5637,58076,5800
72,119479893,22-MAR-21 08.21.31.310000 AM,5896,58367,5689,58639,5855
73,119481346,22-MAR-21 08.21.32.355000 AM,5798,57193,5588,57493,5754
74,119481510,22-MAR-21 08.21.33.371000 AM,5770,56911,5566,57133,5734
75,119481563,22-MAR-21 08.21.34.387000 AM,5748,56752,5552,56988,5720
76,119483303,22-MAR-21 08.21.35.403000 AM,5757,57000,5567,57188,5738
77,119490589,22-MAR-21 08.21.36.426000 AM,5858,58043,5655,58210,5828
78,119497826,22-MAR-21 08.21.37.452000 AM,5878,58249,5661,58498,5867
79,119498160,22-MAR-21 08.21.38.477000 AM,5769,56982,5528,57242,5753
80,119500732,22-MAR-21 08.21.39.519000 AM,5706,56166,5433,56475,5708
81,119507750,22-MAR-21 08.21.40.549000 AM,5706,56246,5483,56609,5707
82,119514460,22-MAR-21 08.21.41.571000 AM,5755,56900,5569,57227,5750
83,119518229,22-MAR-21 08.21.42.590000 AM,5775,57165,5610,57459,5783
84,119518377,22-MAR-21 08.21.43.609000 AM,5669,56156,5514,56469,5677
85,119518543,22-MAR-21 08.21.44.639000 AM,5560,55083,5419,55361,5542
86,119520731,22-MAR-21 08.21.45.655000 AM,5468,54200,5339,54446,5453
87,119528052,22-MAR-21 08.21.46.676000 AM,5489,54321,5376,54669,5491
88,119534785,22-MAR-21 08.21.47.696000 AM,5476,54370,5396,54838,5490
89,119537171,22-MAR-21 08.21.48.715000 AM,5369,53320,5284,53804,5379
90,119537171,22-MAR-21 08.21.49.731000 AM,5305,52679,5204,53054,5310
91,119537171,22-MAR-21 08.21.50.749000 AM,5275,52318,5177,52661,5279
92,119538351,22-MAR-21 08.21.51.764000 AM,5273,52226,5172,52580,5266
93,119545289,22-MAR-21 08.21.52.786000 AM,5262,52220,5175,52604,5263
94,119552518,22-MAR-21 08.21.53.826000 AM,5262,52064,5145,52498,5258
95,119559251,22-MAR-21 08.21.54.859000 AM,5323,52475,5180,52883,5334
96,119559353,22-MAR-21 08.21.55.897000 AM,5197,51195,5069,51546,5207
97,119559405,22-MAR-21 08.21.56.910000 AM,5007,49243,4863,49646,5010
98,119559572,22-MAR-21 08.21.57.925000 AM,4858,47693,4701,48087,4845
99,119559731,22-MAR-21 08.21.58.949000 AM,4786,46990,4646,47437,4770
100,119564271,22-MAR-21 08.21.59.981000 AM,4815,47370,4696,47805,4793
101,119572094,22-MAR-21 08.22.01.035000 AM,4883,48039,4779,48640,4885
102,119572428,22-MAR-21 08.22.02.055000 AM,4688,46339,4589,46880,4719
103,119573582,22-MAR-21 08.22.03.073000 AM,4544,45106,4477,45541,4587
104,119580757,22-MAR-21 08.22.04.092000 AM,4560,45543,4509,45917,4638
105,119581845,22-MAR-21 08.22.05.110000 AM,4579,45749,4534,46114,4655
106,119584256,22-MAR-21 08.22.06.145000 AM,4624,46197,4578,46567,4694
107,119590872,22-MAR-21 08.22.07.175000 AM,4628,46109,4569,46494,4712
108,119592623,22-MAR-21 08.22.08.194000 AM,4588,45593,4507,45955,4649
109,119596996,22-MAR-21 08.22.09.216000 AM,4599,45753,4532,46048,4664
110,119604096,22-MAR-21 08.22.10.237000 AM,4618,45806,4546,46167,4662
111,119605122,22-MAR-21 08.22.11.253000 AM,4489,44615,4421,44959,4522
112,119605283,22-MAR-21 08.22.12.272000 AM,4464,44353,4397,44702,4493
113,119611209,22-MAR-21 08.22.13.292000 AM,4459,44254,4382,44587,4466
114,119612122,22-MAR-21 08.22.14.318000 AM,4401,43658,4311,43942,4405
115,119615668,22-MAR-21 08.22.15.350000 AM,4482,44408,4392,44724,4492
116,119622509,22-MAR-21 08.22.16.382000 AM,4541,44622,4407,44940,4499
117,119624508,22-MAR-21 08.22.17.401000 AM,4504,44232,4373,44673,4464
118,119624686,22-MAR-21 08.22.18.423000 AM,4393,43285,4265,43765,4357
119,119629218,22-MAR-21 08.22.19.441000 AM,4433,43658,4299,44135,4416
120,119634733,22-MAR-21 08.22.20.467000 AM,4397,43001,4231,43539,4350
121,119641869,22-MAR-21 08.22.21.497000 AM,4523,44346,4350,44912,4476
122,119649328,22-MAR-21 08.22.22.534000 AM,4684,45989,4514,46601,4629
123,119650953,22-MAR-21 08.22.23.552000 AM,4590,45014,4410,45514,4520
124,119651102,22-MAR-21 08.22.24.566000 AM,4427,43295,4243,43728,4355
125,119651216,22-MAR-21 08.22.25.584000 AM,4365,42562,4167,42986,4291
126,119651406,22-MAR-21 08.22.26.601000 AM,4367,42564,4168,43000,4291
127,119652930,22-MAR-21 08.22.27.617000 AM,4402,42859,4200,43333,4323
128,119660602,22-MAR-21 08.22.28.637000 AM,4551,44585,4345,45098,4483
129,119663803,22-MAR-21 08.22.29.664000 AM,4523,44209,4291,44718,4425
130,119664009,22-MAR-21 08.22.30.686000 AM,4343,42708,4148,43069,4259
131,119664248,22-MAR-21 08.22.31.704000 AM,4210,41416,4019,41808,4121
132,119667172,22-MAR-21 08.22.32.736000 AM,4260,42049,4060,42437,4190
133,119673784,22-MAR-21 08.22.33.751000 AM,4409,43480,4226,43967,4329
134,119677861,22-MAR-21 08.22.34.770000 AM,4516,44387,4301,44888,4404
135,119682269,22-MAR-21 08.22.35.789000 AM,4515,44337,4314,44875,4404
136,119682461,22-MAR-21 08.22.36.804000 AM,4367,42715,4166,43274,4253
137,119682621,22-MAR-21 08.22.37.822000 AM,4266,41688,4061,42208,4155
138,119685613,22-MAR-21 08.22.38.854000 AM,4345,42300,4120,42867,4220
139,119691948,22-MAR-21 08.22.39.877000 AM,4387,42622,4141,43159,4231
140,119694063,22-MAR-21 08.22.40.912000 AM,4272,41616,4018,42063,4156
141,119699907,22-MAR-21 08.22.41.927000 AM,4244,41382,3990,41956,4133
142,119704301,22-MAR-21 08.22.42.961000 AM,4316,41970,4072,42598,4193
143,119711408,22-MAR-21 08.22.43.987000 AM,4477,43560,4229,44169,4329
144,119716052,22-MAR-21 08.22.45.015000 AM,4585,44585,4331,45175,4442
145,119716276,22-MAR-21 08.22.46.041000 AM,4460,43512,4225,44121,4336
146,119716486,22-MAR-21 08.22.47.058000 AM,4319,42008,4087,42562,4177
147,119719464,22-MAR-21 08.22.48.076000 AM,4253,41203,4017,41647,4084
148,119723377,22-MAR-21 08.22.49.096000 AM,4337,42114,4113,42509,4167
149,119725180,22-MAR-21 08.22.50.130000 AM,4376,42533,4163,42911,4205
150,119726214,22-MAR-21 08.22.51.155000 AM,4399,42761,4191,43147,4232
151,119726327,22-MAR-21 08.22.52.181000 AM,4310,41871,4082,42244,4153
152,119726521,22-MAR-21 08.22.53.196000 AM,4169,40391,3949,40736,3999
153,119730192,22-MAR-21 08.22.54.217000 AM,4070,39422,3862,39788,3905
154,119735523,22-MAR-21 08.22.55.241000 AM,4082,39896,3897,40247,3925
155,119739236,22-MAR-21 08.22.56.262000 AM,4153,40729,3988,41068,3989
156,119743741,22-MAR-21 08.22.57.297000 AM,4246,41749,4090,42066,4066
157,119746252,22-MAR-21 08.22.58.340000 AM,4301,42283,4135,42602,4122
158,119752612,22-MAR-21 08.22.59.374000 AM,4406,43563,4266,43910,4251
159,119757082,22-MAR-21 08.23.00.405000 AM,4357,42993,4183,43298,4202
160,119757200,22-MAR-21 08.23.01.441000 AM,4251,41945,4084,42166,4085
161,119757395,22-MAR-21 08.23.02.460000 AM,4246,41925,4084,42174,4083
162,119763922,22-MAR-21 08.23.03.501000 AM,4300,42495,4163,42750,4153
163,119771131,22-MAR-21 08.23.04.542000 AM,4372,42903,4223,43222,4187
164,119778238,22-MAR-21 08.23.05.569000 AM,4506,44464,4395,44798,4337
165,119783105,22-MAR-21 08.23.06.588000 AM,4485,44389,4395,44837,4335
166,119783315,22-MAR-21 08.23.07.607000 AM,4363,43180,4276,43637,4208
167,119783417,22-MAR-21 08.23.08.621000 AM,4346,43074,4266,43541,4197
168,119783624,22-MAR-21 08.23.09.643000 AM,4186,41540,4116,41979,4044
169,119786671,22-MAR-21 08.23.10.676000 AM,4127,41118,4069,41538,4009
170,119788115,22-MAR-21 08.23.11.696000 AM,4157,41428,4095,41825,4041
171,119788115,22-MAR-21 08.23.12.711000 AM,4080,40718,4026,41109,3961
172,119790845,22-MAR-21 08.23.13.727000 AM,4053,40474,4011,40891,3947
173,119797817,22-MAR-21 08.23.14.753000 AM,4207,42028,4161,42454,4104
174,119802793,22-MAR-21 08.23.15.821000 AM,4162,41618,4144,42073,4063
175,119803032,22-MAR-21 08.23.16.855000 AM,4035,40471,4027,40818,3945
176,119803817,22-MAR-21 08.23.17.886000 AM,4048,40620,4044,40954,3962
