ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,204628876,23-MAR-21 10.40.41.396000 AM,0,0,0,0,0
1,204628947,23-MAR-21 10.40.42.406000 AM,3,16,1,15,2
2,204629495,23-MAR-21 10.40.43.424000 AM,12,151,13,136,8
3,204630603,23-MAR-21 10.40.44.434000 AM,41,411,37,381,30
4,204632263,23-MAR-21 10.40.45.444000 AM,76,788,78,754,73
5,204634524,23-MAR-21 10.40.46.454000 AM,138,1299,124,1259,132
6,204637349,23-MAR-21 10.40.47.464000 AM,219,1924,183,1896,212
7,204640682,23-MAR-21 10.40.48.493000 AM,302,2672,273,2645,296
8,204644440,23-MAR-21 10.40.49.509000 AM,386,3561,370,3464,376
9,204648699,23-MAR-21 10.40.50.522000 AM,498,4564,471,4382,464
10,204653497,23-MAR-21 10.40.51.535000 AM,588,5696,575,5446,586
11,204658964,23-MAR-21 10.40.52.546000 AM,713,6937,711,6688,706
12,204662304,23-MAR-21 10.40.53.559000 AM,777,7728,780,7435,769
13,204663179,23-MAR-21 10.40.54.593000 AM,793,7924,793,7647,782
14,204664199,23-MAR-21 10.40.55.621000 AM,821,8169,817,7859,808
15,204665872,23-MAR-21 10.40.56.648000 AM,871,8538,865,8233,857
16,204672237,23-MAR-21 10.40.57.662000 AM,1038,9972,992,9683,983
17,204678929,23-MAR-21 10.40.58.693000 AM,1185,11509,1151,11194,1131
18,204684894,23-MAR-21 10.40.59.717000 AM,1336,12842,1295,12544,1276
19,204691075,23-MAR-21 10.41.00.736000 AM,1477,14221,1442,13979,1405
20,204697366,23-MAR-21 10.41.01.766000 AM,1618,15669,1574,15393,1559
21,204703458,23-MAR-21 10.41.02.788000 AM,1742,17043,1715,16801,1696
22,204708666,23-MAR-21 10.41.03.820000 AM,1856,18241,1843,17975,1803
23,204712095,23-MAR-21 10.41.04.858000 AM,1926,18994,1940,18778,1885
24,204718502,23-MAR-21 10.41.05.890000 AM,2071,20416,2088,20275,2017
25,204720356,23-MAR-21 10.41.06.909000 AM,2114,20825,2125,20712,2053
26,204725955,23-MAR-21 10.41.07.932000 AM,2245,22135,2253,21942,2188
27,204731682,23-MAR-21 10.41.08.949000 AM,2378,23431,2381,23240,2329
28,204733250,23-MAR-21 10.41.09.963000 AM,2420,23799,2408,23578,2376
29,204735400,23-MAR-21 10.41.11.000000 AM,2467,24277,2468,24081,2407
30,204742876,23-MAR-21 10.41.12.016000 AM,2647,25961,2632,25790,2572
31,204749427,23-MAR-21 10.41.13.039000 AM,2797,27431,2767,27301,2735
32,204754882,23-MAR-21 10.41.14.061000 AM,2905,28669,2913,28545,2854
33,204756623,23-MAR-21 10.41.15.119000 AM,2939,29070,2936,28946,2901
34,204758001,23-MAR-21 10.41.16.173000 AM,2968,29349,2966,29289,2947
35,204763567,23-MAR-21 10.41.17.186000 AM,3098,30653,3092,30515,3067
36,204770512,23-MAR-21 10.41.18.209000 AM,3277,32149,3252,32156,3228
37,204776172,23-MAR-21 10.41.19.223000 AM,3412,33459,3385,33415,3338
38,204783415,23-MAR-21 10.41.20.242000 AM,3570,35081,3563,35085,3504
39,204790363,23-MAR-21 10.41.21.263000 AM,3737,36671,3730,36637,3667
40,204797045,23-MAR-21 10.41.22.282000 AM,3886,38193,3889,38153,3816
41,204802787,23-MAR-21 10.41.23.300000 AM,4012,39473,4012,39485,3959
42,204806567,23-MAR-21 10.41.24.324000 AM,4097,40317,4104,40356,4047
43,204811018,23-MAR-21 10.41.25.345000 AM,4193,41350,4200,41352,4153
44,204815836,23-MAR-21 10.41.26.365000 AM,4277,42471,4287,42456,4266
45,204821649,23-MAR-21 10.41.27.401000 AM,4427,43810,4420,43743,4403
46,204824407,23-MAR-21 10.41.28.420000 AM,4499,44445,4492,44347,4466
47,204824409,23-MAR-21 10.41.29.434000 AM,4499,44446,4492,44347,4466
48,204824409,23-MAR-21 10.41.30.450000 AM,4499,44446,4492,44347,4466
49,204824752,23-MAR-21 10.41.31.467000 AM,4507,44519,4498,44424,4478
50,204832241,23-MAR-21 10.41.32.483000 AM,4698,46196,4684,46128,4638
51,204839620,23-MAR-21 10.41.33.506000 AM,4850,47886,4827,47822,4801
52,204845373,23-MAR-21 10.41.34.537000 AM,4992,49155,4937,49158,4953
53,204851608,23-MAR-21 10.41.35.554000 AM,5136,50581,5094,50546,5112
54,204858162,23-MAR-21 10.41.36.576000 AM,5295,52088,5227,52025,5243
55,204864994,23-MAR-21 10.41.37.593000 AM,5453,53639,5381,53581,5391
56,204869435,23-MAR-21 10.41.38.619000 AM,5568,54605,5497,54612,5494
57,204872388,23-MAR-21 10.41.39.647000 AM,5631,55294,5569,55269,5560
58,204876511,23-MAR-21 10.41.40.667000 AM,5740,56203,5667,56220,5651
59,204878749,23-MAR-21 10.41.41.689000 AM,5784,56688,5724,56753,5705
60,204886101,23-MAR-21 10.41.42.722000 AM,5934,58345,5879,58364,5874
61,204893042,23-MAR-21 10.41.43.741000 AM,6075,59769,6019,59764,6027
62,204896841,23-MAR-21 10.41.44.774000 AM,6133,60319,6075,60329,6094
63,204902919,23-MAR-21 10.41.45.802000 AM,6227,61264,6168,61289,6182
64,204907771,23-MAR-21 10.41.46.828000 AM,6283,61771,6219,61867,6208
65,204909313,23-MAR-21 10.41.47.858000 AM,6237,61443,6186,61512,6172
66,204909342,23-MAR-21 10.41.48.891000 AM,6149,60660,6091,60726,6087
67,204909538,23-MAR-21 10.41.49.912000 AM,6060,59741,6003,59942,6008
68,204915246,23-MAR-21 10.41.50.932000 AM,6081,60007,6021,60227,6020
