ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,156013661,22-MAR-21 01.34.15.470000 PM,0,0,0,0,0
1,156013766,22-MAR-21 01.34.16.485000 PM,0,22,0,31,1
2,156014331,22-MAR-21 01.34.17.496000 PM,15,156,13,153,11
3,156015439,22-MAR-21 01.34.18.506000 PM,49,394,38,412,32
4,156017144,22-MAR-21 01.34.19.516000 PM,102,754,84,803,81
5,156019459,22-MAR-21 01.34.20.528000 PM,154,1258,141,1351,133
6,156022286,22-MAR-21 01.34.21.538000 PM,219,1927,207,1971,186
7,156025736,22-MAR-21 01.34.22.550000 PM,310,2710,275,2752,258
8,156029719,22-MAR-21 01.34.23.562000 PM,380,3618,365,3676,345
9,156034282,22-MAR-21 01.34.24.575000 PM,472,4655,476,4720,453
10,156039325,22-MAR-21 01.34.25.589000 PM,596,5792,596,5861,576
11,156044195,22-MAR-21 01.34.26.604000 PM,703,6894,707,6968,697
12,156049213,22-MAR-21 01.34.27.623000 PM,827,7998,825,8133,811
13,156055065,22-MAR-21 01.34.28.638000 PM,976,9369,943,9420,934
14,156061738,22-MAR-21 01.34.29.652000 PM,1126,10852,1092,10971,1091
15,156066449,22-MAR-21 01.34.30.664000 PM,1223,11978,1201,11995,1195
16,156071716,22-MAR-21 01.34.31.677000 PM,1348,13122,1313,13245,1313
17,156077239,22-MAR-21 01.34.32.692000 PM,1490,14377,1432,14495,1422
18,156082975,22-MAR-21 01.34.33.709000 PM,1631,15659,1565,15804,1561
19,156088651,22-MAR-21 01.34.34.739000 PM,1751,16985,1676,17081,1680
20,156093759,22-MAR-21 01.34.35.771000 PM,1863,18170,1793,18226,1787
21,156095012,22-MAR-21 01.34.36.792000 PM,1889,18468,1825,18494,1829
22,156096881,22-MAR-21 01.34.37.822000 PM,1930,18937,1853,18878,1870
23,156101877,22-MAR-21 01.34.38.849000 PM,2048,20085,1983,19983,2001
24,156102961,22-MAR-21 01.34.39.873000 PM,2069,20319,2004,20239,2042
25,156108464,22-MAR-21 01.34.40.888000 PM,2174,21648,2107,21451,2150
26,156114128,22-MAR-21 01.34.41.914000 PM,2280,22913,2236,22784,2279
27,156119375,22-MAR-21 01.34.42.932000 PM,2396,24131,2356,23956,2394
28,156123581,22-MAR-21 01.34.43.959000 PM,2488,25084,2459,24915,2489
29,156127027,22-MAR-21 01.34.44.979000 PM,2582,25842,2531,25721,2547
