ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,216236696,23-MAR-21 12.47.12.249000 PM,0,0,0,0,0
1,216236793,23-MAR-21 12.47.13.259000 PM,3,20,3,23,2
2,216237367,23-MAR-21 12.47.14.270000 PM,17,157,11,149,14
3,216238564,23-MAR-21 12.47.15.281000 PM,36,428,33,437,33
4,216240266,23-MAR-21 12.47.16.292000 PM,73,819,82,819,70
5,216242640,23-MAR-21 12.47.17.302000 PM,138,1365,116,1348,128
6,216245570,23-MAR-21 12.47.18.315000 PM,192,2052,191,1993,210
7,216248474,23-MAR-21 12.47.19.327000 PM,267,2716,261,2643,269
8,216251245,23-MAR-21 12.47.20.340000 PM,331,3373,339,3246,315
9,216255680,23-MAR-21 12.47.21.353000 PM,444,4399,442,4231,398
10,216260689,23-MAR-21 12.47.22.366000 PM,549,5510,566,5399,513
11,216266140,23-MAR-21 12.47.23.378000 PM,668,6776,682,6610,657
12,216272109,23-MAR-21 12.47.24.390000 PM,795,8155,830,7951,782
13,216277011,23-MAR-21 12.47.25.407000 PM,906,9311,954,9020,887
14,216283140,23-MAR-21 12.47.26.430000 PM,1052,10708,1076,10411,1026
15,216288146,23-MAR-21 12.47.27.445000 PM,1171,11844,1188,11549,1137
16,216293823,23-MAR-21 12.47.28.474000 PM,1297,13109,1323,12859,1275
17,216299785,23-MAR-21 12.47.29.497000 PM,1432,14478,1447,14200,1422
18,216304691,23-MAR-21 12.47.30.522000 PM,1560,15554,1552,15337,1543
19,216306813,23-MAR-21 12.47.31.549000 PM,1607,16043,1594,15820,1590
20,216312689,23-MAR-21 12.47.32.563000 PM,1761,17340,1717,17186,1703
21,216317932,23-MAR-21 12.47.33.579000 PM,1890,18540,1848,18354,1822
22,216321014,23-MAR-21 12.47.34.597000 PM,1959,19232,1913,19062,1899
23,216321592,23-MAR-21 12.47.35.626000 PM,1975,19361,1926,19193,1913
24,216326178,23-MAR-21 12.47.36.639000 PM,2068,20405,2023,20237,2039
25,216331654,23-MAR-21 12.47.37.656000 PM,2206,21600,2148,21510,2180
26,216336920,23-MAR-21 12.47.38.671000 PM,2333,22790,2283,22699,2297
27,216343594,23-MAR-21 12.47.39.702000 PM,2484,24331,2440,24192,2444
28,216348767,23-MAR-21 12.47.40.729000 PM,2599,25465,2564,25410,2564
29,216349833,23-MAR-21 12.47.41.753000 PM,2618,25708,2592,25650,2593
30,216350056,23-MAR-21 12.47.42.790000 PM,2630,25779,2597,25703,2595
31,216351522,23-MAR-21 12.47.43.808000 PM,2669,26097,2625,26021,2627
32,216355735,23-MAR-21 12.47.44.827000 PM,2766,27052,2725,26985,2713
33,216359187,23-MAR-21 12.47.45.844000 PM,2857,27847,2790,27743,2807
34,216366410,23-MAR-21 12.47.46.871000 PM,3036,29485,2966,29379,2960
35,216370347,23-MAR-21 12.47.47.887000 PM,3115,30372,3049,30295,3038
36,216377676,23-MAR-21 12.47.48.905000 PM,3282,32044,3202,31955,3216
37,216385103,23-MAR-21 12.47.49.938000 PM,3451,33774,3365,33618,3364
38,216392452,23-MAR-21 12.47.50.961000 PM,3618,35487,3521,35264,3506
39,216393900,23-MAR-21 12.47.51.978000 PM,3655,35804,3552,35600,3534
40,216400268,23-MAR-21 12.47.52.996000 PM,3787,37222,3707,37085,3679
41,216404188,23-MAR-21 12.47.54.019000 PM,3898,38115,3780,37963,3765
42,216407821,23-MAR-21 12.47.55.037000 PM,3998,38958,3860,38763,3840
43,216412392,23-MAR-21 12.47.56.055000 PM,4113,40055,3965,39729,3937
44,216415989,23-MAR-21 12.47.57.075000 PM,4207,40843,4054,40562,4015
45,216421995,23-MAR-21 12.47.58.094000 PM,4345,42219,4202,41896,4177
46,216424442,23-MAR-21 12.47.59.132000 PM,4404,42788,4257,42434,4237
47,216429017,23-MAR-21 12.48.00.148000 PM,4501,43844,4354,43477,4323
48,216429771,23-MAR-21 12.48.01.160000 PM,4523,44004,4368,43656,4341
49,216431333,23-MAR-21 12.48.02.176000 PM,4555,44371,4409,43996,4384
50,216432723,23-MAR-21 12.48.03.190000 PM,4580,44699,4443,44306,4414
51,216437723,23-MAR-21 12.48.04.208000 PM,4697,45805,4553,45466,4538
52,216439602,23-MAR-21 12.48.05.224000 PM,4741,46241,4600,45885,4571
53,216445168,23-MAR-21 12.48.06.243000 PM,4870,47490,4737,47164,4687
54,216446165,23-MAR-21 12.48.07.279000 PM,4892,47722,4761,47383,4714
55,216449144,23-MAR-21 12.48.08.297000 PM,4964,48409,4832,48043,4784
56,216453757,23-MAR-21 12.48.09.319000 PM,5064,49418,4951,49118,4912
57,216456663,23-MAR-21 12.48.10.342000 PM,5135,50056,5017,49789,4990
58,216458952,23-MAR-21 12.48.11.357000 PM,5193,50586,5067,50300,5034
59,216461225,23-MAR-21 12.48.12.373000 PM,5249,51081,5113,50834,5089
60,216468063,23-MAR-21 12.48.13.399000 PM,5416,52592,5250,52354,5260
61,216471658,23-MAR-21 12.48.14.416000 PM,5474,53227,5323,53054,5311
62,216473439,23-MAR-21 12.48.15.473000 PM,5491,53323,5331,53148,5325
63,216474155,23-MAR-21 12.48.16.499000 PM,5467,53071,5296,52894,5293
64,216482541,23-MAR-21 12.48.17.537000 PM,5586,54330,5435,54308,5422
65,216488806,23-MAR-21 12.48.18.559000 PM,5663,55105,5496,54987,5476
66,216495922,23-MAR-21 12.48.19.574000 PM,5769,56127,5597,55997,5564
67,216499713,23-MAR-21 12.48.20.595000 PM,5779,56149,5583,56164,5599
68,216500058,23-MAR-21 12.48.21.616000 PM,5688,55187,5492,55210,5510
69,216508852,23-MAR-21 12.48.22.635000 PM,5768,55973,5567,56012,5605
70,216512788,23-MAR-21 12.48.23.655000 PM,5725,55572,5534,55681,5563
71,216512926,23-MAR-21 12.48.24.678000 PM,5606,54274,5409,54411,5441
72,216518949,23-MAR-21 12.48.25.697000 PM,5629,54390,5389,54647,5459
73,216525953,23-MAR-21 12.48.26.726000 PM,5642,54615,5424,54837,5492
74,216530219,23-MAR-21 12.48.27.747000 PM,5609,54507,5416,54715,5506
75,216530526,23-MAR-21 12.48.28.763000 PM,5489,53186,5292,53357,5372
76,216534419,23-MAR-21 12.48.29.777000 PM,5445,52847,5253,53021,5312
77,216537344,23-MAR-21 12.48.30.801000 PM,5413,52750,5254,52885,5301
78,216538389,23-MAR-21 12.48.31.818000 PM,5350,52084,5208,52280,5248
79,216540913,23-MAR-21 12.48.32.865000 PM,5258,51424,5130,51475,5197
80,216545230,23-MAR-21 12.48.33.886000 PM,5222,51170,5094,51276,5156
81,216551370,23-MAR-21 12.48.34.900000 PM,5331,52273,5195,52321,5277
82,216558007,23-MAR-21 12.48.35.923000 PM,5469,53556,5326,53724,5399
83,216561109,23-MAR-21 12.48.36.951000 PM,5402,52830,5259,52899,5280
84,216561311,23-MAR-21 12.48.37.965000 PM,5265,51731,5141,51748,5150
85,216562549,23-MAR-21 12.48.38.998000 PM,5158,50790,5019,50805,5055
86,216564482,23-MAR-21 12.48.40.017000 PM,5044,49682,4909,49690,4938
87,216571317,23-MAR-21 12.48.41.030000 PM,5134,50521,4974,50394,5008
88,216578397,23-MAR-21 12.48.42.056000 PM,5271,51912,5123,51859,5139
89,216583866,23-MAR-21 12.48.43.100000 PM,5384,53131,5250,53097,5267
90,216583966,23-MAR-21 12.48.44.116000 PM,5303,52384,5180,52344,5205
91,216584217,23-MAR-21 12.48.45.150000 PM,5252,51940,5133,51902,5154
92,216584912,23-MAR-21 12.48.46.164000 PM,5130,50776,5025,50830,5020
93,216591021,23-MAR-21 12.48.47.184000 PM,5105,50771,5016,50735,5016
94,216594018,23-MAR-21 12.48.48.214000 PM,5057,50293,4981,50250,4971
95,216595298,23-MAR-21 12.48.49.282000 PM,4917,48884,4846,48807,4827
96,216595327,23-MAR-21 12.48.50.315000 PM,4752,47131,4689,47170,4676
97,216596882,23-MAR-21 12.48.51.333000 PM,4644,46151,4583,46158,4598
98,216603019,23-MAR-21 12.48.52.349000 PM,4755,46935,4676,46979,4693
99,216603900,23-MAR-21 12.48.53.379000 PM,4644,45813,4562,45872,4583
100,216610910,23-MAR-21 12.48.54.429000 PM,4661,46300,4592,46317,4638
101,216616915,23-MAR-21 12.48.55.490000 PM,4774,47359,4704,47448,4763
102,216616915,23-MAR-21 12.48.56.526000 PM,4653,46202,4585,46381,4655
103,216616915,23-MAR-21 12.48.57.553000 PM,4505,44832,4431,45016,4507
