ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,77077690,25-FEB-21 02.29.34.301000 PM,0,0,0,0,0
1,77077811,25-FEB-21 02.29.35.317000 PM,2,24,0,34,2
2,77078479,25-FEB-21 02.29.36.327000 PM,18,185,19,172,20
3,77079785,25-FEB-21 02.29.37.337000 PM,55,491,52,453,45
4,77081728,25-FEB-21 02.29.38.348000 PM,89,924,97,914,87
5,77084271,25-FEB-21 02.29.39.359000 PM,155,1502,155,1485,144
6,77087368,25-FEB-21 02.29.40.369000 PM,226,2197,223,2201,208
7,77091143,25-FEB-21 02.29.41.383000 PM,302,3063,315,3056,300
8,77095560,25-FEB-21 02.29.42.393000 PM,389,4073,426,4061,402
9,77100493,25-FEB-21 02.29.43.405000 PM,485,5158,543,5232,514
10,77106228,25-FEB-21 02.29.44.416000 PM,619,6534,661,6468,643
11,77112195,25-FEB-21 02.29.45.430000 PM,772,7875,819,7812,774
12,77117418,25-FEB-21 02.29.46.442000 PM,887,9078,919,8988,903
13,77122748,25-FEB-21 02.29.47.454000 PM,1016,10315,1031,10168,1029
14,77127985,25-FEB-21 02.29.48.467000 PM,1142,11516,1147,11337,1160
15,77134759,25-FEB-21 02.29.49.481000 PM,1286,13075,1298,12857,1335
16,77140054,25-FEB-21 02.29.50.498000 PM,1418,14258,1420,14061,1470
17,77146296,25-FEB-21 02.29.51.512000 PM,1572,15680,1549,15469,1618
18,77152702,25-FEB-21 02.29.52.530000 PM,1730,17136,1690,16923,1748
19,77158750,25-FEB-21 02.29.53.548000 PM,1856,18481,1808,18352,1882
20,77164656,25-FEB-21 02.29.54.573000 PM,2009,19838,1916,19670,2019
21,77169160,25-FEB-21 02.29.55.591000 PM,2098,20889,2021,20666,2143
22,77174545,25-FEB-21 02.29.56.623000 PM,2215,22164,2133,21847,2270
23,77179569,25-FEB-21 02.29.57.649000 PM,2319,23285,2276,23005,2385
24,77181124,25-FEB-21 02.29.58.666000 PM,2349,23658,2311,23355,2400
25,77183016,25-FEB-21 02.29.59.693000 PM,2381,24069,2360,23807,2452
26,77187299,25-FEB-21 02.30.00.721000 PM,2469,25009,2450,24821,2561
27,77193471,25-FEB-21 02.30.01.745000 PM,2612,26436,2592,26202,2698
28,77201019,25-FEB-21 02.30.02.772000 PM,2782,28160,2773,27916,2844
29,77206994,25-FEB-21 02.30.03.804000 PM,2917,29496,2919,29287,2985
30,77209264,25-FEB-21 02.30.04.824000 PM,2971,30017,2958,29813,3027
31,77211081,25-FEB-21 02.30.05.853000 PM,3002,30429,3002,30228,3071
32,77219004,25-FEB-21 02.30.06.878000 PM,3184,32298,3165,31976,3240
33,77227107,25-FEB-21 02.30.07.899000 PM,3372,34163,3354,33797,3409
34,77232932,25-FEB-21 02.30.08.926000 PM,3503,35474,3477,35139,3537
35,77239505,25-FEB-21 02.30.09.940000 PM,3658,37015,3629,36574,3694
36,77246907,25-FEB-21 02.30.10.958000 PM,3840,38718,3775,38244,3838
37,77252822,25-FEB-21 02.30.11.983000 PM,3989,40005,3896,39633,3983
38,77257345,25-FEB-21 02.30.13.044000 PM,4105,41031,4007,40646,4084
39,77261192,25-FEB-21 02.30.14.069000 PM,4182,41862,4108,41563,4180
40,77262577,25-FEB-21 02.30.15.094000 PM,4212,42177,4146,41877,4209
41,77263670,25-FEB-21 02.30.16.110000 PM,4238,42438,4163,42119,4227
42,77264578,25-FEB-21 02.30.17.145000 PM,4269,42658,4194,42294,4252
43,77268100,25-FEB-21 02.30.18.159000 PM,4347,43436,4271,43121,4331
44,77274339,25-FEB-21 02.30.19.189000 PM,4479,44887,4422,44515,4465
45,77279802,25-FEB-21 02.30.20.213000 PM,4590,46110,4539,45793,4587
46,77284017,25-FEB-21 02.30.21.233000 PM,4668,47084,4629,46760,4675
47,77288551,25-FEB-21 02.30.22.267000 PM,4761,48111,4725,47805,4782
48,77295024,25-FEB-21 02.30.23.285000 PM,4914,49585,4901,49251,4932
49,77300240,25-FEB-21 02.30.24.312000 PM,5032,50765,5017,50453,5040
50,77306918,25-FEB-21 02.30.25.332000 PM,5192,52253,5148,51989,5212
51,77312407,25-FEB-21 02.30.26.408000 PM,5301,53502,5273,53257,5342
52,77316657,25-FEB-21 02.30.27.431000 PM,5394,54459,5380,54212,5457
53,77321593,25-FEB-21 02.30.28.472000 PM,5501,55534,5496,55390,5560
54,77328084,25-FEB-21 02.30.29.491000 PM,5656,56953,5663,56917,5685
55,77333099,25-FEB-21 02.30.30.505000 PM,5765,58092,5778,58058,5802
56,77337742,25-FEB-21 02.30.31.536000 PM,5867,59161,5905,59084,5923
57,77342482,25-FEB-21 02.30.32.552000 PM,5970,60209,6019,60195,6026
58,77348295,25-FEB-21 02.30.33.600000 PM,6104,61552,6151,61491,6160
59,77355404,25-FEB-21 02.30.34.629000 PM,6246,63139,6326,63136,6346
60,77355627,25-FEB-21 02.30.35.643000 PM,6251,63140,6333,63131,6349
61,77358924,25-FEB-21 02.30.36.671000 PM,6289,63647,6376,63722,6387
62,77362276,25-FEB-21 02.30.37.686000 PM,6324,64055,6416,64161,6422
63,77368393,25-FEB-21 02.30.38.704000 PM,6413,64933,6490,65069,6513
64,77371785,25-FEB-21 02.30.39.723000 PM,6431,65139,6524,65201,6522
65,77371981,25-FEB-21 02.30.40.737000 PM,6355,64440,6441,64427,6459
66,77372151,25-FEB-21 02.30.41.758000 PM,6294,63716,6365,63722,6410
67,77378409,25-FEB-21 02.30.42.770000 PM,6350,63914,6359,63932,6404
68,77385713,25-FEB-21 02.30.43.788000 PM,6446,64378,6419,64273,6464
69,77393962,25-FEB-21 02.30.44.806000 PM,6478,64879,6511,64890,6530
70,77395267,25-FEB-21 02.30.45.824000 PM,6480,64965,6511,64911,6531
71,77395267,25-FEB-21 02.30.46.836000 PM,6480,64965,6511,64911,6531
72,77395267,25-FEB-21 02.30.47.849000 PM,6480,64965,6511,64911,6531
73,77395267,25-FEB-21 02.30.48.865000 PM,6480,64965,6511,64911,6531
74,77398220,25-FEB-21 02.30.49.894000 PM,5932,59366,5970,59564,5928
75,77406739,25-FEB-21 02.30.50.915000 PM,5981,59929,6036,60077,6011
76,77412802,25-FEB-21 02.30.51.932000 PM,5973,59928,6083,60133,6058
77,77412930,25-FEB-21 02.30.52.963000 PM,5821,58577,5937,58738,5905
78,77413113,25-FEB-21 02.30.53.982000 PM,5680,57136,5858,57262,5769
79,77413278,25-FEB-21 02.30.54.994000 PM,5575,56199,5772,56351,5705
80,77416020,25-FEB-21 02.30.56.010000 PM,5519,55598,5690,55821,5604
81,77418602,25-FEB-21 02.30.57.025000 PM,5442,54831,5586,55139,5516
82,77421849,25-FEB-21 02.30.58.056000 PM,5462,54764,5570,55013,5528
83,77422771,25-FEB-21 02.30.59.118000 PM,5467,54721,5573,55042,5537
84,77426809,25-FEB-21 02.31.00.157000 PM,5476,54788,5563,54996,5511
85,77433928,25-FEB-21 02.31.01.188000 PM,5553,55248,5626,55538,5565
86,77437414,25-FEB-21 02.31.02.210000 PM,5514,54647,5578,54938,5503
87,77438256,25-FEB-21 02.31.03.241000 PM,5337,53040,5423,53341,5368
88,77442618,25-FEB-21 02.31.04.260000 PM,5378,53100,5433,53382,5359
89,77447675,25-FEB-21 02.31.05.291000 PM,5411,53860,5498,54136,5450
90,77454788,25-FEB-21 02.31.06.312000 PM,5479,54396,5575,54801,5491
91,77461985,25-FEB-21 02.31.07.328000 PM,5466,54117,5577,54521,5482
92,77466196,25-FEB-21 02.31.08.347000 PM,5451,53658,5568,54122,5442
93,77466419,25-FEB-21 02.31.09.364000 PM,5311,52385,5445,52817,5312
94,77467438,25-FEB-21 02.31.10.381000 PM,5108,50849,5253,51362,5238
95,77467598,25-FEB-21 02.31.11.395000 PM,4967,49478,5185,49996,5096
96,77476119,25-FEB-21 02.31.12.418000 PM,4985,49892,5173,50467,5069
97,77483527,25-FEB-21 02.31.13.438000 PM,5063,50728,5253,51396,5161
98,77490985,25-FEB-21 02.31.14.453000 PM,5170,51720,5303,52340,5253
99,77491585,25-FEB-21 02.31.15.472000 PM,5179,51716,5295,52323,5251
100,77491765,25-FEB-21 02.31.16.490000 PM,5159,51443,5284,52123,5242
101,77491821,25-FEB-21 02.31.17.505000 PM,5159,51264,5263,52006,5242
102,77491821,25-FEB-21 02.31.18.518000 PM,5159,51264,5263,52006,5242
103,77496514,25-FEB-21 02.31.19.541000 PM,5024,49970,5133,50614,5098
104,77503540,25-FEB-21 02.31.20.567000 PM,5059,50296,5147,50916,5133
105,77506321,25-FEB-21 02.31.21.591000 PM,5038,50012,5152,50578,5111
106,77507093,25-FEB-21 02.31.22.623000 PM,4926,48848,5009,49442,4994
107,77514377,25-FEB-21 02.31.23.641000 PM,4986,49247,5016,49838,5041
108,77517615,25-FEB-21 02.31.24.658000 PM,4928,48753,5049,49281,4991
109,77517785,25-FEB-21 02.31.25.675000 PM,4791,47265,4837,47748,4868
110,77521882,25-FEB-21 02.31.26.696000 PM,4778,47116,4819,47538,4828
111,77524995,25-FEB-21 02.31.27.712000 PM,4740,46738,4812,47166,4777
112,77526644,25-FEB-21 02.31.28.728000 PM,4658,45912,4678,46339,4705
