ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,71220042,25-FEB-21 01.24.51.486000 PM,0,0,0,0,0
1,71220158,25-FEB-21 01.24.52.495000 PM,2,26,6,26,2
2,71220773,25-FEB-21 01.24.53.507000 PM,17,172,14,163,13
3,71222032,25-FEB-21 01.24.54.517000 PM,51,483,38,421,46
4,71223894,25-FEB-21 01.24.55.527000 PM,88,929,77,830,84
5,71226384,25-FEB-21 01.24.56.536000 PM,146,1529,121,1373,125
6,71229502,25-FEB-21 01.24.57.547000 PM,230,2228,195,2074,201
7,71233246,25-FEB-21 01.24.58.558000 PM,315,3085,282,2920,286
8,71237674,25-FEB-21 01.24.59.568000 PM,431,4087,392,3915,376
9,71242280,25-FEB-21 01.25.00.578000 PM,547,5144,492,4937,494
10,71245686,25-FEB-21 01.25.01.605000 PM,625,5916,578,5707,572
11,71250172,25-FEB-21 01.25.02.615000 PM,733,6949,680,6714,663
12,71255044,25-FEB-21 01.25.03.626000 PM,834,8056,794,7829,770
13,71261025,25-FEB-21 01.25.04.640000 PM,972,9391,942,9207,903
14,71266976,25-FEB-21 01.25.05.658000 PM,1128,10758,1083,10519,1041
15,71271971,25-FEB-21 01.25.06.700000 PM,1225,11911,1185,11668,1138
16,71278062,25-FEB-21 01.25.07.712000 PM,1372,13291,1341,13040,1276
17,71283831,25-FEB-21 01.25.08.725000 PM,1518,14555,1469,14381,1412
18,71289945,25-FEB-21 01.25.09.738000 PM,1670,15899,1612,15803,1548
19,71296287,25-FEB-21 01.25.10.762000 PM,1812,17329,1747,17255,1707
20,71302767,25-FEB-21 01.25.11.781000 PM,1975,18766,1895,18749,1850
21,71305068,25-FEB-21 01.25.12.791000 PM,2031,19295,1937,19274,1891
22,71305270,25-FEB-21 01.25.13.803000 PM,2035,19335,1945,19324,1897
23,71308928,25-FEB-21 01.25.14.818000 PM,2118,20137,2026,20181,1993
24,71314503,25-FEB-21 01.25.15.834000 PM,2224,21400,2154,21465,2131
25,71320900,25-FEB-21 01.25.16.853000 PM,2394,22834,2285,22932,2253
26,71322715,25-FEB-21 01.25.17.871000 PM,2439,23252,2327,23338,2290
27,71324128,25-FEB-21 01.25.18.922000 PM,2470,23578,2359,23653,2329
28,71327566,25-FEB-21 01.25.19.938000 PM,2545,24371,2438,24429,2407
29,71334533,25-FEB-21 01.25.20.953000 PM,2685,25980,2605,25995,2569
30,71340208,25-FEB-21 01.25.21.968000 PM,2833,27228,2740,27293,2720
31,71346491,25-FEB-21 01.25.22.984000 PM,2980,28655,2867,28728,2857
32,71354623,25-FEB-21 01.25.24.002000 PM,3164,30563,3059,30518,3034
33,71360959,25-FEB-21 01.25.25.019000 PM,3326,31987,3207,31957,3171
34,71364631,25-FEB-21 01.25.26.042000 PM,3407,32850,3285,32764,3268
35,71372012,25-FEB-21 01.25.27.059000 PM,3564,34533,3437,34460,3419
36,71378133,25-FEB-21 01.25.28.078000 PM,3690,35957,3577,35844,3541
37,71382538,25-FEB-21 01.25.29.092000 PM,3805,36940,3686,36842,3636
38,71387840,25-FEB-21 01.25.30.120000 PM,3926,38148,3808,38049,3745
39,71396097,25-FEB-21 01.25.31.137000 PM,4117,39964,3991,39988,3926
40,71402815,25-FEB-21 01.25.32.154000 PM,4264,41517,4149,41500,4062
41,71409549,25-FEB-21 01.25.33.166000 PM,4414,43083,4295,43002,4221
42,71414214,25-FEB-21 01.25.34.185000 PM,4518,44092,4393,44102,4355
43,71415465,25-FEB-21 01.25.35.223000 PM,4543,44365,4426,44402,4381
44,71417239,25-FEB-21 01.25.36.269000 PM,4577,44750,4461,44830,4423
45,71423594,25-FEB-21 01.25.37.287000 PM,4711,46178,4596,46324,4552
46,71429989,25-FEB-21 01.25.38.307000 PM,4847,47601,4751,47809,4682
