ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,105119704,26-FEB-21 09.53.45.326000 AM,0,0,0,0,0
1,105119803,26-FEB-21 09.53.46.347000 AM,1,22,2,22,7
2,105120422,26-FEB-21 09.53.47.357000 AM,18,157,8,171,18
3,105121637,26-FEB-21 09.53.48.369000 AM,50,430,41,445,42
4,105123419,26-FEB-21 09.53.49.378000 AM,87,838,84,847,87
5,105125848,26-FEB-21 09.53.50.388000 AM,135,1402,144,1396,142
6,105128962,26-FEB-21 09.53.51.398000 AM,214,2110,220,2094,202
7,105132606,26-FEB-21 09.53.52.409000 AM,304,2929,286,2928,294
8,105135630,26-FEB-21 09.53.53.421000 AM,381,3608,344,3621,362
9,105137799,26-FEB-21 09.53.54.432000 AM,432,4096,391,4123,402
10,105143090,26-FEB-21 09.53.55.445000 AM,536,5280,489,5368,531
11,105149123,26-FEB-21 09.53.56.457000 AM,683,6578,622,6804,667
12,105155465,26-FEB-21 09.53.57.471000 AM,833,8028,761,8241,796
13,105161860,26-FEB-21 09.53.58.485000 AM,971,9512,914,9665,948
14,105168280,26-FEB-21 09.53.59.502000 AM,1130,10983,1072,11095,1086
15,105172158,26-FEB-21 09.54.00.533000 AM,1226,11855,1162,11981,1169
16,105178111,26-FEB-21 09.54.01.561000 AM,1347,13227,1293,13324,1320
17,105183578,26-FEB-21 09.54.02.576000 AM,1471,14482,1420,14563,1427
18,105190088,26-FEB-21 09.54.03.599000 AM,1631,15944,1543,16055,1581
19,105192131,26-FEB-21 09.54.04.623000 AM,1673,16432,1584,16504,1626
20,105193032,26-FEB-21 09.54.05.651000 AM,1702,16632,1606,16704,1646
21,105193975,26-FEB-21 09.54.06.684000 AM,1724,16839,1628,16927,1663
22,105196630,26-FEB-21 09.54.07.709000 AM,1794,17436,1689,17528,1725
23,105203150,26-FEB-21 09.54.08.742000 AM,1949,18916,1842,19007,1867
24,105208165,26-FEB-21 09.54.09.763000 AM,2060,20083,1937,20132,1976
25,105214088,26-FEB-21 09.54.10.781000 AM,2179,21440,2066,21486,2112
26,105219561,26-FEB-21 09.54.11.797000 AM,2303,22737,2193,22672,2240
27,105222505,26-FEB-21 09.54.12.816000 AM,2360,23394,2249,23369,2307
28,105224874,26-FEB-21 09.54.13.831000 AM,2403,23922,2305,23930,2356
29,105228075,26-FEB-21 09.54.14.851000 AM,2473,24658,2378,24647,2437
30,105235341,26-FEB-21 09.54.15.877000 AM,2623,26338,2565,26278,2596
31,105237688,26-FEB-21 09.54.16.899000 AM,2667,26883,2616,26807,2654
32,105243979,26-FEB-21 09.54.17.915000 AM,2782,28281,2753,28300,2793
33,105251229,26-FEB-21 09.54.18.949000 AM,2949,29962,2911,29919,2954
34,105257635,26-FEB-21 09.54.19.966000 AM,3105,31360,3079,31418,3086
35,105264501,26-FEB-21 09.54.20.984000 AM,3270,32905,3219,32989,3255
36,105272556,26-FEB-21 09.54.22.002000 AM,3442,34773,3422,34786,3428
37,105275676,26-FEB-21 09.54.23.037000 AM,3523,35467,3501,35498,3495
38,105278325,26-FEB-21 09.54.24.057000 AM,3567,36081,3552,36105,3573
39,105284575,26-FEB-21 09.54.25.078000 AM,3700,37494,3689,37535,3724
40,105289478,26-FEB-21 09.54.26.113000 AM,3804,38661,3792,38599,3854
41,105295322,26-FEB-21 09.54.27.149000 AM,3942,40043,3917,39868,3995
42,105297401,26-FEB-21 09.54.28.162000 AM,3987,40505,3954,40352,4055
43,105301984,26-FEB-21 09.54.29.194000 AM,4113,41517,4058,41401,4159
44,105302369,26-FEB-21 09.54.30.231000 AM,4117,41599,4068,41500,4165
45,105308741,26-FEB-21 09.54.31.254000 AM,4235,43084,4209,42937,4318
