ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,231628077,24-MAR-21 01.00.01.369000 PM,0,0,0,0,0
1,231628167,24-MAR-21 01.00.02.385000 PM,3,15,0,26,2
2,231628714,24-MAR-21 01.00.03.395000 PM,19,151,12,137,12
3,231629828,24-MAR-21 01.00.04.408000 PM,46,411,35,385,36
4,231631498,24-MAR-21 01.00.05.417000 PM,93,782,84,757,76
5,231633713,24-MAR-21 01.00.06.426000 PM,134,1286,133,1268,127
6,231636557,24-MAR-21 01.00.07.436000 PM,205,1927,198,1914,190
7,231639946,24-MAR-21 01.00.08.448000 PM,283,2710,279,2674,258
8,231643881,24-MAR-21 01.00.09.459000 PM,388,3588,370,3569,344
9,231648494,24-MAR-21 01.00.10.471000 PM,486,4640,463,4632,440
10,231653543,24-MAR-21 01.00.11.484000 PM,603,5770,579,5793,555
11,231658946,24-MAR-21 01.00.12.496000 PM,727,7035,704,6987,669
12,231663485,24-MAR-21 01.00.13.507000 PM,840,8049,827,8021,763
13,231669224,24-MAR-21 01.00.14.521000 PM,959,9315,945,9380,896
14,231674240,24-MAR-21 01.00.15.534000 PM,1062,10444,1072,10546,987
15,231678250,24-MAR-21 01.00.16.561000 PM,1150,11365,1160,11449,1083
16,231683626,24-MAR-21 01.00.17.574000 PM,1274,12588,1285,12658,1226
17,231687926,24-MAR-21 01.00.18.589000 PM,1367,13546,1384,13663,1316
18,231692695,24-MAR-21 01.00.19.600000 PM,1478,14601,1494,14772,1422
19,231698994,24-MAR-21 01.00.20.618000 PM,1627,16007,1629,16224,1570
20,231704832,24-MAR-21 01.00.21.647000 PM,1756,17346,1770,17546,1706
21,231711289,24-MAR-21 01.00.22.673000 PM,1886,18841,1921,18996,1850
22,231715181,24-MAR-21 01.00.23.698000 PM,1995,19744,2015,19848,1919
23,231716223,24-MAR-21 01.00.24.742000 PM,2016,19984,2045,20078,1946
24,231716965,24-MAR-21 01.00.25.757000 PM,2028,20160,2061,20245,1964
25,231723057,24-MAR-21 01.00.26.775000 PM,2153,21568,2180,21627,2102
26,231729425,24-MAR-21 01.00.27.795000 PM,2308,23015,2318,23072,2242
27,231731443,24-MAR-21 01.00.28.822000 PM,2346,23471,2364,23535,2298
28,231733443,24-MAR-21 01.00.29.851000 PM,2397,23929,2412,23977,2350
29,231740423,24-MAR-21 01.00.30.922000 PM,2533,25538,2581,25567,2491
30,231742183,24-MAR-21 01.00.31.941000 PM,2575,25927,2628,25978,2531
31,231749865,24-MAR-21 01.00.32.962000 PM,2758,27687,2820,27696,2690
32,231754483,24-MAR-21 01.00.33.978000 PM,2860,28754,2925,28739,2775
33,231756982,24-MAR-21 01.00.34.991000 PM,2918,29315,2997,29301,2840
34,231759160,24-MAR-21 01.00.36.025000 PM,2975,29765,3052,29839,2882
35,231762623,24-MAR-21 01.00.37.039000 PM,3062,30584,3127,30584,2959
36,231768490,24-MAR-21 01.00.38.058000 PM,3174,31949,3247,31912,3096
37,231771882,24-MAR-21 01.00.39.109000 PM,3249,32721,3315,32675,3200
38,231774409,24-MAR-21 01.00.40.142000 PM,3316,33297,3376,33231,3268
39,231779195,24-MAR-21 01.00.41.208000 PM,3427,34381,3501,34315,3371
40,231786018,24-MAR-21 01.00.42.230000 PM,3582,35947,3635,35853,3549
41,231793689,24-MAR-21 01.00.43.255000 PM,3734,37637,3803,37672,3725
42,231800058,24-MAR-21 01.00.44.274000 PM,3884,39108,3967,39085,3861
43,231803249,24-MAR-21 01.00.45.301000 PM,3964,39809,4029,39826,3945
44,231806562,24-MAR-21 01.00.46.322000 PM,4026,40580,4114,40569,4021
45,231811091,24-MAR-21 01.00.47.358000 PM,4124,41614,4208,41603,4124
46,231818448,24-MAR-21 01.00.48.376000 PM,4277,43304,4384,43274,4292
47,231823666,24-MAR-21 01.00.49.396000 PM,4387,44466,4501,44483,4416
48,231830314,24-MAR-21 01.00.50.416000 PM,4545,45962,4643,46000,4582
49,231833635,24-MAR-21 01.00.51.441000 PM,4628,46750,4725,46715,4649
50,231839167,24-MAR-21 01.00.52.464000 PM,4745,48014,4846,47971,4785
51,231844461,24-MAR-21 01.00.53.488000 PM,4874,49205,4957,49184,4901
52,231849609,24-MAR-21 01.00.54.512000 PM,4985,50432,5060,50313,5016
53,231854676,24-MAR-21 01.00.55.535000 PM,5113,51588,5171,51454,5120
54,231858127,24-MAR-21 01.00.56.551000 PM,5194,52327,5260,52261,5226
55,231865258,24-MAR-21 01.00.57.583000 PM,5354,53958,5436,53867,5388
56,231871858,24-MAR-21 01.00.58.610000 PM,5509,55456,5589,55358,5545
57,231875375,24-MAR-21 01.00.59.634000 PM,5587,56265,5675,56148,5625
58,231875388,24-MAR-21 01.01.00.662000 PM,5587,56270,5675,56149,5625
59,231875388,24-MAR-21 01.01.01.678000 PM,5587,56270,5675,56149,5625
60,231875400,24-MAR-21 01.01.02.693000 PM,5581,56227,5674,56108,5622
61,231882546,24-MAR-21 01.01.03.707000 PM,5726,57732,5841,57519,5771
62,231891754,24-MAR-21 01.01.04.722000 PM,5888,59558,6022,59297,5948
63,231897805,24-MAR-21 01.01.05.741000 PM,5988,60512,6099,60267,6021
64,231898845,24-MAR-21 01.01.06.767000 PM,5958,60216,6073,59929,5978
65,231899060,24-MAR-21 01.01.07.781000 PM,5893,59572,6008,59307,5913
66,231899188,24-MAR-21 01.01.08.800000 PM,5808,58759,5934,58523,5849
67,231902284,24-MAR-21 01.01.09.825000 PM,5775,58498,5916,58262,5832
68,231910120,24-MAR-21 01.01.10.840000 PM,5865,59181,5982,58949,5893
69,231917401,24-MAR-21 01.01.11.860000 PM,5908,59671,6055,59387,5957
70,231917962,24-MAR-21 01.01.12.876000 PM,5807,58675,5938,58422,5846
71,231918131,24-MAR-21 01.01.13.892000 PM,5694,57506,5802,57242,5744
72,231918238,24-MAR-21 01.01.14.907000 PM,5563,56177,5679,55818,5610
73,231918342,24-MAR-21 01.01.15.932000 PM,5499,55431,5605,55096,5564
74,231920837,24-MAR-21 01.01.16.961000 PM,5429,54731,5541,54461,5494
75,231927964,24-MAR-21 01.01.17.979000 PM,5465,55210,5584,54873,5523
76,231929446,24-MAR-21 01.01.18.998000 PM,5437,54848,5536,54418,5477
77,231934748,24-MAR-21 01.01.20.011000 PM,5419,54645,5502,54158,5467
78,231941606,24-MAR-21 01.01.21.026000 PM,5474,54826,5512,54425,5458
79,231943160,24-MAR-21 01.01.22.052000 PM,5378,53761,5409,53455,5357
80,231943374,24-MAR-21 01.01.23.068000 PM,5255,52420,5267,52164,5238
81,231946967,24-MAR-21 01.01.24.082000 PM,5252,52613,5283,52337,5250
82,231951417,24-MAR-21 01.01.25.099000 PM,5345,53581,5375,53311,5344
83,231957928,24-MAR-21 01.01.26.129000 PM,5429,54423,5456,54109,5424
84,231964817,24-MAR-21 01.01.27.157000 PM,5445,54543,5474,54256,5476
85,231966386,24-MAR-21 01.01.28.178000 PM,5339,53541,5389,53256,5364
86,231966594,24-MAR-21 01.01.29.192000 PM,5343,53562,5387,53282,5365
87,231967938,24-MAR-21 01.01.30.214000 PM,5274,52851,5318,52576,5295
88,231975742,24-MAR-21 01.01.31.236000 PM,5333,53254,5342,52985,5339
89,231981224,24-MAR-21 01.01.32.255000 PM,5418,53888,5391,53642,5405
90,231981459,24-MAR-21 01.01.33.272000 PM,5270,52482,5230,52191,5272
91,231984498,24-MAR-21 01.01.34.312000 PM,5253,52323,5211,52096,5280
92,231991681,24-MAR-21 01.01.35.340000 PM,5349,53333,5281,53170,5351
93,231998636,24-MAR-21 01.01.36.366000 PM,5438,54353,5377,54143,5462
94,232001438,24-MAR-21 01.01.37.384000 PM,5367,53735,5316,53626,5393
95,232001596,24-MAR-21 01.01.38.408000 PM,5286,52778,5235,52684,5274
96,232001788,24-MAR-21 01.01.39.423000 PM,5222,52085,5174,52038,5196
97,232001947,24-MAR-21 01.01.40.436000 PM,5132,51339,5079,51242,5104
98,232004736,24-MAR-21 01.01.41.452000 PM,5102,51059,5039,50974,5095
99,232006170,24-MAR-21 01.01.42.465000 PM,4962,49646,4919,49602,4931
100,232009677,24-MAR-21 01.01.43.498000 PM,4891,48814,4800,48581,4835
101,232012075,24-MAR-21 01.01.44.530000 PM,4815,48076,4728,47974,4778
102,232019274,24-MAR-21 01.01.45.553000 PM,4928,49082,4826,48910,4878
103,232025738,24-MAR-21 01.01.46.573000 PM,5006,49801,4902,49512,4952
104,232025971,24-MAR-21 01.01.47.604000 PM,4888,48648,4796,48332,4839
105,232027372,24-MAR-21 01.01.48.621000 PM,4795,47575,4690,47277,4726
106,232030347,24-MAR-21 01.01.49.665000 PM,4698,46670,4598,46386,4621
