ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,25465991,14-MAY-21 01.02.25.953000 PM,0,0,0,0,0
1,25466077,14-MAY-21 01.02.26.953000 PM,3,19,0,21,1
2,25466743,14-MAY-21 01.02.27.968000 PM,15,177,19,170,16
3,25468158,14-MAY-21 01.02.28.984000 PM,52,517,51,482,38
4,25470333,14-MAY-21 01.02.29.984000 PM,94,1011,107,972,93
5,25473151,14-MAY-21 01.02.30.999000 PM,167,1638,168,1628,163
6,25475769,14-MAY-21 01.02.31.999000 PM,222,2236,221,2210,223
7,25478884,14-MAY-21 01.02.33.014000 PM,284,2943,281,2943,303
8,25483693,14-MAY-21 01.02.34.030000 PM,389,4041,383,4052,431
9,25489401,14-MAY-21 01.02.35.029000 PM,525,5313,525,5338,559
10,25495625,14-MAY-21 01.02.36.045000 PM,673,6724,668,6761,704
11,25500298,14-MAY-21 01.02.37.060000 PM,780,7780,745,7835,803
12,25504736,14-MAY-21 01.02.38.091000 PM,888,8797,854,8809,906
13,25509801,14-MAY-21 01.02.39.122000 PM,1022,9974,966,9948,1022
14,25513768,14-MAY-21 01.02.40.138000 PM,1101,10846,1041,10883,1098
15,25515752,14-MAY-21 01.02.41.169000 PM,1136,11322,1091,11307,1144
16,25517849,14-MAY-21 01.02.42.200000 PM,1183,11836,1140,11784,1186
17,25523817,14-MAY-21 01.02.43.215000 PM,1312,13212,1275,13137,1295
18,25528683,14-MAY-21 01.02.44.230000 PM,1426,14317,1381,14242,1394
19,25530260,14-MAY-21 01.02.45.246000 PM,1455,14680,1421,14572,1434
20,25530577,14-MAY-21 01.02.46.261000 PM,1462,14749,1428,14647,1443
21,25531218,14-MAY-21 01.02.47.292000 PM,1477,14871,1453,14818,1458
22,25532792,14-MAY-21 01.02.48.308000 PM,1524,15236,1494,15154,1498
23,25540012,14-MAY-21 01.02.49.339000 PM,1708,16814,1678,16842,1660
24,25547494,14-MAY-21 01.02.50.354000 PM,1869,18540,1846,18564,1832
25,25555054,14-MAY-21 01.02.51.369000 PM,2039,20163,2015,20319,2006
26,25555137,14-MAY-21 01.02.52.369000 PM,2040,20179,2016,20342,2008
27,25559524,14-MAY-21 01.02.53.385000 PM,2145,21194,2103,21325,2104
28,25566629,14-MAY-21 01.02.54.416000 PM,2303,22799,2259,22954,2267
29,25569512,14-MAY-21 01.02.55.447000 PM,2365,23428,2313,23650,2325
30,25570829,14-MAY-21 01.02.56.493000 PM,2391,23731,2341,23954,2347
