ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,31158284,14-MAY-21 02.12.58.645000 PM,0,0,0,0,0
1,31158376,14-MAY-21 02.12.59.661000 PM,2,23,4,21,2
2,31159109,14-MAY-21 02.13.00.661000 PM,15,197,27,182,14
3,31160035,14-MAY-21 02.13.01.676000 PM,34,414,47,393,30
4,31161199,14-MAY-21 02.13.02.676000 PM,66,670,71,659,54
5,31164010,14-MAY-21 02.13.03.691000 PM,145,1308,151,1293,109
6,31167010,14-MAY-21 02.13.04.707000 PM,210,1947,244,2003,187
7,31170549,14-MAY-21 02.13.05.706000 PM,298,2814,325,2724,274
8,31175847,14-MAY-21 02.13.06.722000 PM,424,4013,434,3928,403
9,31181522,14-MAY-21 02.13.07.737000 PM,560,5310,551,5222,548
10,31185442,14-MAY-21 02.13.08.752000 PM,650,6197,630,6116,626
11,31186974,14-MAY-21 02.13.09.784000 PM,678,6557,659,6452,660
12,31189171,14-MAY-21 02.13.10.814000 PM,722,7051,708,6962,713
13,31196403,14-MAY-21 02.13.11.830000 PM,901,8671,876,8643,851
14,31203937,14-MAY-21 02.13.12.845000 PM,1083,10460,1028,10286,1029
15,31210762,14-MAY-21 02.13.13.861000 PM,1233,12042,1182,11843,1172
16,31217510,14-MAY-21 02.13.14.876000 PM,1374,13607,1348,13317,1322
17,31224834,14-MAY-21 02.13.15.891000 PM,1550,15193,1524,15018,1516
18,31231696,14-MAY-21 02.13.16.907000 PM,1709,16769,1680,16564,1670
19,31237030,14-MAY-21 02.13.17.922000 PM,1833,17985,1796,17766,1782
20,31238426,14-MAY-21 02.13.18.953000 PM,1861,18335,1828,18057,1808
21,31239540,14-MAY-21 02.13.19.969000 PM,1882,18614,1854,18322,1840
22,31242667,14-MAY-21 02.13.20.984000 PM,1959,19346,1928,19015,1901
23,31248200,14-MAY-21 02.13.21.999000 PM,2098,20598,2050,20228,2030
24,31254554,14-MAY-21 02.13.23.030000 PM,2235,22042,2196,21687,2152
25,31260393,14-MAY-21 02.13.24.077000 PM,2361,23409,2337,23007,2282
26,31262481,14-MAY-21 02.13.25.108000 PM,2409,23871,2383,23481,2322
27,31264180,14-MAY-21 02.13.26.155000 PM,2452,24252,2432,23855,2357
28,31268965,14-MAY-21 02.13.27.217000 PM,2548,25390,2539,24953,2479
29,31276756,14-MAY-21 02.13.28.232000 PM,2725,27141,2700,26723,2665
30,31281980,14-MAY-21 02.13.29.248000 PM,2852,28336,2836,27888,2768
31,31287304,14-MAY-21 02.13.30.279000 PM,2969,29536,2947,29103,2887
32,31293827,14-MAY-21 02.13.31.310000 PM,3114,31022,3098,30609,3034
33,31298471,14-MAY-21 02.13.32.341000 PM,3207,32128,3204,31588,3137
34,31299469,14-MAY-21 02.13.33.356000 PM,3234,32389,3234,31831,3167
35,31307477,14-MAY-21 02.13.34.372000 PM,3393,34127,3415,33747,3334
36,31312795,14-MAY-21 02.13.35.387000 PM,3510,35331,3524,34937,3462
37,31317394,14-MAY-21 02.13.36.402000 PM,3618,36323,3623,36028,3579
38,31324014,14-MAY-21 02.13.37.433000 PM,3772,37796,3785,37536,3747
39,31330308,14-MAY-21 02.13.38.464000 PM,3914,39207,3921,38999,3893
40,31333099,14-MAY-21 02.13.39.495000 PM,3982,39880,3989,39607,3957
41,31336164,14-MAY-21 02.13.40.511000 PM,4046,40596,4057,40289,4031
42,31343387,14-MAY-21 02.13.41.526000 PM,4192,42235,4218,41909,4213
43,31346153,14-MAY-21 02.13.42.557000 PM,4258,42845,4276,42567,4271
44,31348474,14-MAY-21 02.13.43.588000 PM,4311,43362,4327,43097,4323
45,31353325,14-MAY-21 02.13.44.619000 PM,4421,44495,4426,44202,4417
46,31359704,14-MAY-21 02.13.45.635000 PM,4574,45912,4614,45666,4564
