ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,238988518,15-APR-21 03.45.50.980000 PM,0,0,0,0,0
1,238988560,15-APR-21 03.45.51.992000 PM,0,7,0,13,2
2,238988852,15-APR-21 03.45.53.001000 PM,5,77,12,75,8
3,238989265,15-APR-21 03.45.54.010000 PM,15,174,26,164,15
4,238989820,15-APR-21 03.45.55.021000 PM,25,308,40,287,23
5,238990689,15-APR-21 03.45.56.031000 PM,39,495,63,501,38
6,238991188,15-APR-21 03.45.57.043000 PM,56,599,74,617,52
7,238991808,15-APR-21 03.45.58.056000 PM,71,742,85,758,63
8,238992747,15-APR-21 03.45.59.070000 PM,90,971,103,962,80
9,238993925,15-APR-21 03.46.00.083000 PM,105,1224,125,1256,112
10,238994604,15-APR-21 03.46.01.097000 PM,122,1390,143,1396,127
11,238995466,15-APR-21 03.46.02.112000 PM,140,1588,169,1587,149
12,238996125,15-APR-21 03.46.03.125000 PM,158,1741,181,1733,162
13,238996754,15-APR-21 03.46.04.139000 PM,176,1883,196,1869,184
14,238997718,15-APR-21 03.46.05.155000 PM,194,2107,218,2084,212
15,238998507,15-APR-21 03.46.06.170000 PM,210,2290,231,2264,230
16,238999128,15-APR-21 03.46.07.185000 PM,229,2444,240,2390,244
17,238999955,15-APR-21 03.46.08.199000 PM,248,2643,257,2566,266
18,239000590,15-APR-21 03.46.09.215000 PM,265,2782,273,2709,287
19,239001219,15-APR-21 03.46.10.230000 PM,284,2909,286,2866,297
20,239002028,15-APR-21 03.46.11.247000 PM,304,3101,300,3040,320
21,239003040,15-APR-21 03.46.12.265000 PM,323,3339,323,3270,335
22,239003834,15-APR-21 03.46.13.283000 PM,339,3509,352,3455,358
23,239004906,15-APR-21 03.46.14.300000 PM,358,3751,374,3703,390
24,239005612,15-APR-21 03.46.15.316000 PM,377,3923,390,3848,408
25,239006378,15-APR-21 03.46.16.333000 PM,391,4106,401,4022,421
26,239007172,15-APR-21 03.46.17.350000 PM,411,4281,418,4206,440
27,239008303,15-APR-21 03.46.18.368000 PM,431,4549,452,4451,471
28,239009157,15-APR-21 03.46.19.387000 PM,447,4744,467,4650,490
29,239010043,15-APR-21 03.46.20.407000 PM,463,4947,489,4851,514
30,239010700,15-APR-21 03.46.21.425000 PM,481,5091,506,5004,524
31,239011392,15-APR-21 03.46.22.445000 PM,499,5238,531,5165,539
32,239012051,15-APR-21 03.46.23.465000 PM,520,5384,545,5314,552
33,239012732,15-APR-21 03.46.24.482000 PM,539,5532,561,5472,567
34,239013228,15-APR-21 03.46.25.501000 PM,559,5651,568,5574,574
35,239014130,15-APR-21 03.46.26.520000 PM,580,5874,589,5756,602
36,239015069,15-APR-21 03.46.27.541000 PM,593,6098,608,5969,623
37,239015982,15-APR-21 03.46.28.560000 PM,615,6313,627,6169,643
