ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,10554870,20-APR-21 09.54.58.550000 AM,0,0,0,0,0
1,10554893,20-APR-21 09.54.59.550000 AM,1,8,0,2,1
2,10555143,20-APR-21 09.55.00.565000 AM,6,65,4,61,9
3,10555698,20-APR-21 09.55.01.581000 AM,17,188,12,194,22
4,10556185,20-APR-21 09.55.02.580000 AM,30,290,26,310,33
5,10556742,20-APR-21 09.55.03.596000 AM,46,422,43,427,51
6,10557727,20-APR-21 09.55.04.595000 AM,62,650,64,642,85
7,10558651,20-APR-21 09.55.05.611000 AM,79,874,82,853,99
8,10559221,20-APR-21 09.55.06.626000 AM,97,996,96,981,107
9,10559973,20-APR-21 09.55.07.642000 AM,115,1159,121,1155,124
10,10560718,20-APR-21 09.55.08.657000 AM,134,1337,138,1321,138
11,10561506,20-APR-21 09.55.09.672000 AM,151,1514,156,1500,159
12,10562044,20-APR-21 09.55.10.688000 AM,169,1632,168,1619,174
13,10562601,20-APR-21 09.55.11.703000 AM,187,1773,179,1758,193
14,10563675,20-APR-21 09.55.12.703000 AM,204,2028,205,1960,216
15,10564735,20-APR-21 09.55.13.718000 AM,224,2291,233,2178,246
16,10565483,20-APR-21 09.55.14.734000 AM,239,2480,249,2334,260
17,10566679,20-APR-21 09.55.15.749000 AM,256,2761,280,2601,293
18,10567569,20-APR-21 09.55.16.765000 AM,274,2963,305,2800,320
19,10568258,20-APR-21 09.55.17.780000 AM,291,3107,325,2963,341
20,10569200,20-APR-21 09.55.18.795000 AM,311,3320,355,3174,365
21,10569713,20-APR-21 09.55.19.811000 AM,330,3430,369,3289,376
22,10570702,20-APR-21 09.55.20.826000 AM,346,3650,387,3529,395
23,10571547,20-APR-21 09.55.21.841000 AM,366,3842,413,3720,408
24,10572200,20-APR-21 09.55.22.873000 AM,384,3997,427,3860,421
25,10573127,20-APR-21 09.55.23.888000 AM,402,4210,454,4074,443
26,10573736,20-APR-21 09.55.24.903000 AM,417,4343,465,4211,459
27,10574578,20-APR-21 09.55.25.919000 AM,437,4516,493,4411,487
28,10575576,20-APR-21 09.55.26.934000 AM,455,4747,513,4641,507
29,10576406,20-APR-21 09.55.27.949000 AM,473,4930,531,4836,527
30,10577030,20-APR-21 09.55.28.965000 AM,493,5075,546,4976,538
31,10577806,20-APR-21 09.55.29.980000 AM,510,5261,560,5137,560
32,10578734,20-APR-21 09.55.30.996000 AM,524,5488,584,5340,576
33,10579348,20-APR-21 09.55.32.027000 AM,545,5615,593,5490,585
34,10580494,20-APR-21 09.55.33.042000 AM,566,5886,617,5746,613
35,10581421,20-APR-21 09.55.34.057000 AM,586,6125,637,5967,635
36,10582064,20-APR-21 09.55.35.073000 AM,603,6252,649,6095,645
37,10583042,20-APR-21 09.55.36.104000 AM,622,6491,676,6329,666
38,10583850,20-APR-21 09.55.37.119000 AM,639,6674,691,6493,677
39,10584574,20-APR-21 09.55.38.135000 AM,662,6838,710,6650,694
40,10585365,20-APR-21 09.55.39.150000 AM,676,7026,727,6829,706
41,10585897,20-APR-21 09.55.40.165000 AM,702,7128,740,6953,720
42,10586862,20-APR-21 09.55.41.196000 AM,719,7353,767,7191,738
43,10587735,20-APR-21 09.55.42.212000 AM,737,7541,793,7379,758
44,10588386,20-APR-21 09.55.43.227000 AM,753,7690,807,7526,771
45,10589271,20-APR-21 09.55.44.258000 AM,774,7905,821,7714,794
46,10589884,20-APR-21 09.55.45.274000 AM,796,8069,830,7862,808
47,10590879,20-APR-21 09.55.46.289000 AM,811,8295,860,8061,835
48,10591887,20-APR-21 09.55.47.304000 AM,830,8508,878,8301,861
49,10592616,20-APR-21 09.55.48.335000 AM,845,8685,893,8458,877
50,10593189,20-APR-21 09.55.49.351000 AM,867,8821,908,8581,892
51,10594083,20-APR-21 09.55.50.366000 AM,883,9023,927,8784,906
52,10594531,20-APR-21 09.55.51.382000 AM,903,9117,939,8883,916
53,10595657,20-APR-21 09.55.52.413000 AM,921,9390,954,9144,943
54,10596492,20-APR-21 09.55.53.428000 AM,937,9569,970,9335,970
55,10597241,20-APR-21 09.55.54.443000 AM,959,9751,995,9489,978
56,10598077,20-APR-21 09.55.55.459000 AM,977,9933,1015,9685,1002
57,10598805,20-APR-21 09.55.56.474000 AM,995,10093,1031,9856,1016
58,10599551,20-APR-21 09.55.57.505000 AM,1016,10251,1048,10032,1035
59,10600227,20-APR-21 09.55.58.521000 AM,1036,10411,1062,10171,1059
60,10600983,20-APR-21 09.55.59.536000 AM,1053,10585,1073,10334,1073
61,10601647,20-APR-21 09.56.00.551000 AM,1064,10674,1084,10435,1074
62,10602223,20-APR-21 09.56.01.567000 AM,1073,10685,1087,10422,1078
63,10602785,20-APR-21 09.56.02.582000 AM,1081,10693,1085,10439,1085
64,10603837,20-APR-21 09.56.03.613000 AM,1085,10795,1092,10563,1096
65,10604634,20-APR-21 09.56.04.628000 AM,1086,10771,1085,10524,1086
66,10605495,20-APR-21 09.56.05.644000 AM,1089,10726,1086,10506,1086
67,10606462,20-APR-21 09.56.06.659000 AM,1090,10832,1086,10603,1102
68,10607522,20-APR-21 09.56.07.675000 AM,1092,10919,1080,10670,1107
69,10607970,20-APR-21 09.56.08.690000 AM,1087,10835,1075,10605,1109
70,10608636,20-APR-21 09.56.09.721000 AM,1094,10808,1074,10575,1111
71,10609260,20-APR-21 09.56.10.736000 AM,1093,10833,1066,10580,1116
72,10610147,20-APR-21 09.56.11.752000 AM,1097,10901,1076,10606,1111
73,10610866,20-APR-21 09.56.12.767000 AM,1095,10801,1070,10574,1108
74,10611895,20-APR-21 09.56.13.798000 AM,1097,10773,1063,10578,1105
75,10612822,20-APR-21 09.56.14.814000 AM,1098,10812,1062,10626,1110
76,10613624,20-APR-21 09.56.15.829000 AM,1098,10716,1047,10570,1092
77,10614557,20-APR-21 09.56.16.844000 AM,1105,10731,1053,10589,1081
78,10615257,20-APR-21 09.56.17.860000 AM,1101,10745,1051,10563,1075
79,10616201,20-APR-21 09.56.18.891000 AM,1100,10758,1040,10551,1075
80,10616978,20-APR-21 09.56.19.906000 AM,1101,10795,1039,10587,1078
81,10617592,20-APR-21 09.56.20.922000 AM,1103,10734,1035,10504,1072
82,10618365,20-APR-21 09.56.21.937000 AM,1105,10732,1032,10484,1079
83,10619102,20-APR-21 09.56.22.952000 AM,1105,10740,1028,10513,1084
84,10619951,20-APR-21 09.56.23.968000 AM,1110,10750,1031,10468,1076
85,10621000,20-APR-21 09.56.24.999000 AM,1109,10861,1045,10591,1080
86,10621612,20-APR-21 09.56.26.014000 AM,1115,10805,1028,10527,1067
87,10622262,20-APR-21 09.56.27.030000 AM,1104,10729,1027,10425,1064
88,10623181,20-APR-21 09.56.28.045000 AM,1112,10757,1031,10463,1064
89,10624025,20-APR-21 09.56.29.076000 AM,1111,10759,1037,10502,1068
90,10625023,20-APR-21 09.56.30.091000 AM,1115,10804,1049,10564,1070
91,10625970,20-APR-21 09.56.31.107000 AM,1116,10843,1051,10602,1077
92,10627079,20-APR-21 09.56.32.122000 AM,1114,10942,1063,10692,1090
93,10627862,20-APR-21 09.56.33.153000 AM,1113,10830,1060,10605,1083
94,10628573,20-APR-21 09.56.34.169000 AM,1110,10748,1052,10583,1071
95,10629264,20-APR-21 09.56.35.184000 AM,1114,10763,1052,10575,1082
96,10630390,20-APR-21 09.56.36.199000 AM,1116,10807,1059,10633,1078
97,10631095,20-APR-21 09.56.37.230000 AM,1118,10804,1065,10624,1081
98,10632078,20-APR-21 09.56.38.246000 AM,1115,10832,1057,10685,1090
99,10633367,20-APR-21 09.56.39.261000 AM,1118,10973,1073,10790,1105
100,10634168,20-APR-21 09.56.40.277000 AM,1107,11033,1071,10841,1105
101,10635033,20-APR-21 09.56.41.292000 AM,1113,10989,1069,10836,1103
102,10635842,20-APR-21 09.56.42.323000 AM,1114,10985,1060,10828,1112
103,10636726,20-APR-21 09.56.43.338000 AM,1116,11042,1063,10894,1111
104,10637532,20-APR-21 09.56.44.354000 AM,1114,11012,1073,10890,1107
105,10638226,20-APR-21 09.56.45.369000 AM,1106,10981,1070,10894,1107
106,10638760,20-APR-21 09.56.46.400000 AM,1111,10911,1060,10822,1089
107,10639449,20-APR-21 09.56.47.415000 AM,1113,10832,1054,10719,1080
108,10640434,20-APR-21 09.56.48.431000 AM,1116,10902,1056,10779,1083
109,10641174,20-APR-21 09.56.49.446000 AM,1114,10919,1061,10830,1082
110,10641775,20-APR-21 09.56.50.462000 AM,1111,10880,1055,10764,1087
111,10642678,20-APR-21 09.56.51.493000 AM,1117,10990,1065,10880,1097
112,10643414,20-APR-21 09.56.52.508000 AM,1117,10881,1059,10753,1085
113,10644464,20-APR-21 09.56.53.523000 AM,1121,10941,1069,10813,1082
114,10645367,20-APR-21 09.56.54.539000 AM,1115,10985,1064,10845,1084
115,10646060,20-APR-21 09.56.55.570000 AM,1113,10962,1057,10794,1082
116,10646699,20-APR-21 09.56.56.585000 AM,1120,10954,1061,10779,1085
117,10647808,20-APR-21 09.56.57.601000 AM,1117,11073,1071,10842,1098
118,10648577,20-APR-21 09.56.58.616000 AM,1113,11094,1070,10881,1092
119,10649216,20-APR-21 09.56.59.631000 AM,1113,11032,1078,10845,1083
120,10649806,20-APR-21 09.57.00.647000 AM,1115,11007,1074,10833,1087
121,10650388,20-APR-21 09.57.01.678000 AM,1116,11000,1074,10844,1082
122,10651593,20-APR-21 09.57.02.693000 AM,1113,11174,1084,10956,1095
123,10652237,20-APR-21 09.57.03.709000 AM,1114,11074,1071,10889,1082
124,10653169,20-APR-21 09.57.04.724000 AM,1116,11099,1079,10914,1079
125,10654141,20-APR-21 09.57.05.739000 AM,1117,11140,1080,10935,1083
126,10654968,20-APR-21 09.57.06.770000 AM,1113,11101,1089,10905,1076
127,10655810,20-APR-21 09.57.07.780000 AM,1115,11045,1084,10865,1071
128,10656892,20-APR-21 09.57.08.811000 AM,1117,11208,1102,11033,1084
129,10657630,20-APR-21 09.57.09.826000 AM,1112,11217,1101,11039,1072
130,10658453,20-APR-21 09.57.10.841000 AM,1114,11254,1116,11086,1077
131,10659339,20-APR-21 09.57.11.857000 AM,1112,11227,1119,11112,1079
132,10660559,20-APR-21 09.57.12.885000 AM,1114,11356,1122,11228,1081
133,10661453,20-APR-21 09.57.13.901000 AM,1114,11307,1123,11204,1086
134,10662286,20-APR-21 09.57.14.916000 AM,1112,11276,1123,11201,1090
135,10663069,20-APR-21 09.57.15.932000 AM,1109,11284,1130,11164,1096
136,10663767,20-APR-21 09.57.16.963000 AM,1106,11243,1119,11102,1096
137,10664367,20-APR-21 09.57.17.978000 AM,1113,11190,1111,11078,1090
138,10665227,20-APR-21 09.57.18.993000 AM,1114,11201,1115,11084,1089
139,10666321,20-APR-21 09.57.20.009000 AM,1115,11280,1120,11139,1098
140,10667172,20-APR-21 09.57.21.024000 AM,1112,11326,1122,11199,1102
141,10667867,20-APR-21 09.57.22.040000 AM,1108,11298,1117,11194,1103
142,10668618,20-APR-21 09.57.23.055000 AM,1109,11312,1116,11181,1103
143,10669515,20-APR-21 09.57.24.070000 AM,1110,11298,1101,11201,1118
144,10670192,20-APR-21 09.57.25.101000 AM,1108,11240,1092,11115,1112
145,10671060,20-APR-21 09.57.26.117000 AM,1108,11269,1090,11149,1117
146,10671721,20-APR-21 09.57.27.132000 AM,1112,11315,1093,11196,1114
147,10672928,20-APR-21 09.57.28.163000 AM,1110,11384,1099,11211,1124
148,10673856,20-APR-21 09.57.29.179000 AM,1111,11439,1096,11234,1127
149,10674839,20-APR-21 09.57.30.194000 AM,1110,11438,1093,11205,1126
150,10675954,20-APR-21 09.57.31.209000 AM,1111,11428,1095,11280,1127
151,10676669,20-APR-21 09.57.32.225000 AM,1102,11349,1089,11189,1126
152,10677381,20-APR-21 09.57.33.240000 AM,1109,11344,1089,11169,1119
153,10678100,20-APR-21 09.57.34.271000 AM,1108,11354,1095,11159,1125
154,10678930,20-APR-21 09.57.35.287000 AM,1102,11377,1099,11215,1125
155,10679453,20-APR-21 09.57.36.302000 AM,1101,11246,1081,11054,1135
156,10680151,20-APR-21 09.57.37.317000 AM,1102,11221,1080,11050,1130
157,10681236,20-APR-21 09.57.38.348000 AM,1108,11241,1094,11071,1122
158,10682201,20-APR-21 09.57.39.364000 AM,1108,11144,1086,11026,1122
159,10682944,20-APR-21 09.57.40.379000 AM,1110,11132,1087,11007,1119
160,10683718,20-APR-21 09.57.41.395000 AM,1102,11146,1077,10955,1119
161,10684482,20-APR-21 09.57.42.410000 AM,1105,11164,1079,10948,1107
162,10685252,20-APR-21 09.57.43.441000 AM,1106,11131,1071,10905,1113
163,10686377,20-APR-21 09.57.44.456000 AM,1106,11214,1071,10997,1113
164,10687362,20-APR-21 09.57.45.472000 AM,1108,11288,1078,11034,1125
165,10688093,20-APR-21 09.57.46.487000 AM,1106,11307,1089,11110,1135
166,10688879,20-APR-21 09.57.47.502000 AM,1101,11345,1093,11149,1133
167,10689726,20-APR-21 09.57.48.518000 AM,1109,11287,1098,11097,1130
168,10690765,20-APR-21 09.57.49.549000 AM,1106,11369,1100,11189,1143
169,10691707,20-APR-21 09.57.50.564000 AM,1109,11422,1105,11298,1151
170,10692420,20-APR-21 09.57.51.580000 AM,1104,11352,1101,11246,1137
171,10693379,20-APR-21 09.57.52.595000 AM,1107,11372,1115,11325,1147
172,10694095,20-APR-21 09.57.53.626000 AM,1102,11322,1104,11250,1147
173,10694836,20-APR-21 09.57.54.641000 AM,1109,11227,1099,11235,1151
174,10695735,20-APR-21 09.57.55.657000 AM,1107,11270,1116,11294,1149
175,10696671,20-APR-21 09.57.56.688000 AM,1101,11281,1118,11363,1151
176,10697543,20-APR-21 09.57.57.703000 AM,1103,11251,1113,11360,1138
177,10698363,20-APR-21 09.57.58.719000 AM,1105,11275,1120,11344,1133
178,10699253,20-APR-21 09.57.59.734000 AM,1106,11340,1117,11397,1150
179,10700278,20-APR-21 09.58.00.765000 AM,1105,11489,1139,11504,1162
180,10701355,20-APR-21 09.58.01.780000 AM,1103,11581,1145,11594,1175
181,10702327,20-APR-21 09.58.02.796000 AM,1103,11537,1144,11561,1171
182,10703035,20-APR-21 09.58.03.827000 AM,1099,11554,1147,11537,1174
183,10703791,20-APR-21 09.58.04.842000 AM,1103,11524,1147,11496,1179
184,10704604,20-APR-21 09.58.05.889000 AM,1101,11449,1146,11439,1179
185,10705854,20-APR-21 09.58.06.904000 AM,1101,11569,1161,11573,1189
186,10707023,20-APR-21 09.58.07.920000 AM,1099,11642,1169,11613,1190
187,10707964,20-APR-21 09.58.08.935000 AM,1100,11617,1169,11589,1191
188,10708927,20-APR-21 09.58.09.950000 AM,1102,11673,1175,11645,1197
189,10709895,20-APR-21 09.58.10.981000 AM,1096,11722,1177,11673,1194
190,10710735,20-APR-21 09.58.11.997000 AM,1097,11730,1175,11636,1198
191,10711236,20-APR-21 09.58.13.012000 AM,1099,11516,1165,11465,1182
192,10712456,20-APR-21 09.58.14.028000 AM,1096,11599,1179,11538,1173
193,10713444,20-APR-21 09.58.15.043000 AM,1098,11655,1179,11556,1183
194,10714355,20-APR-21 09.58.16.058000 AM,1099,11674,1177,11565,1188
195,10714947,20-APR-21 09.58.17.089000 AM,1100,11673,1177,11604,1191
196,10715717,20-APR-21 09.58.18.105000 AM,1096,11693,1182,11662,1186
197,10716528,20-APR-21 09.58.19.120000 AM,1094,11656,1192,11633,1184
198,10717397,20-APR-21 09.58.20.136000 AM,1095,11616,1179,11603,1177
199,10717915,20-APR-21 09.58.21.151000 AM,1094,11504,1180,11511,1163
200,10718965,20-APR-21 09.58.22.182000 AM,1097,11595,1190,11647,1174
201,10719611,20-APR-21 09.58.23.197000 AM,1094,11537,1187,11618,1157
202,10720476,20-APR-21 09.58.24.213000 AM,1094,11536,1195,11624,1151
203,10721403,20-APR-21 09.58.25.228000 AM,1095,11577,1193,11674,1164
204,10722146,20-APR-21 09.58.26.259000 AM,1095,11561,1197,11662,1160
205,10722748,20-APR-21 09.58.27.275000 AM,1098,11555,1195,11677,1166
206,10724050,20-APR-21 09.58.28.290000 AM,1087,11527,1186,11644,1156
207,10724395,20-APR-21 09.58.29.305000 AM,1089,11392,1176,11527,1155
208,10724971,20-APR-21 09.58.30.321000 AM,1089,11310,1162,11460,1149
209,10725751,20-APR-21 09.58.31.352000 AM,1097,11252,1157,11355,1143
210,10726710,20-APR-21 09.58.32.367000 AM,1098,11310,1164,11419,1144
211,10727230,20-APR-21 09.58.33.383000 AM,1091,11269,1147,11328,1135
212,10728026,20-APR-21 09.58.34.398000 AM,1093,11309,1149,11384,1134
213,10728766,20-APR-21 09.58.35.413000 AM,1092,11300,1150,11355,1128
214,10729882,20-APR-21 09.58.36.444000 AM,1091,11415,1159,11495,1126
215,10730691,20-APR-21 09.58.37.460000 AM,1092,11470,1158,11532,1123
216,10731479,20-APR-21 09.58.38.475000 AM,1086,11337,1149,11399,1125
217,10732325,20-APR-21 09.58.39.490000 AM,1090,11371,1145,11421,1124
218,10733014,20-APR-21 09.58.40.506000 AM,1091,11309,1146,11358,1121
219,10733930,20-APR-21 09.58.41.537000 AM,1096,11398,1157,11446,1133
220,10734745,20-APR-21 09.58.42.552000 AM,1089,11386,1152,11473,1132
221,10735399,20-APR-21 09.58.43.568000 AM,1088,11327,1156,11449,1126
222,10736063,20-APR-21 09.58.44.583000 AM,1089,11222,1145,11351,1120
223,10737107,20-APR-21 09.58.45.598000 AM,1089,11245,1140,11365,1118
224,10737827,20-APR-21 09.58.46.629000 AM,1091,11260,1133,11347,1111
225,10738675,20-APR-21 09.58.47.645000 AM,1089,11281,1130,11325,1106
226,10740014,20-APR-21 09.58.48.660000 AM,1089,11396,1142,11455,1106
227,10741029,20-APR-21 09.58.49.676000 AM,1089,11412,1141,11464,1107
228,10741586,20-APR-21 09.58.50.691000 AM,1084,11314,1138,11349,1090
229,10742224,20-APR-21 09.58.51.706000 AM,1091,11324,1136,11354,1096
230,10743088,20-APR-21 09.58.52.722000 AM,1090,11307,1135,11299,1093
231,10743740,20-APR-21 09.58.53.753000 AM,1093,11303,1135,11317,1088
232,10744615,20-APR-21 09.58.54.768000 AM,1089,11317,1143,11320,1083
233,10745389,20-APR-21 09.58.55.784000 AM,1090,11302,1132,11293,1081
234,10746198,20-APR-21 09.58.56.799000 AM,1090,11266,1133,11253,1084
235,10747438,20-APR-21 09.58.57.830000 AM,1093,11324,1136,11332,1087
236,10748073,20-APR-21 09.58.58.845000 AM,1085,11297,1133,11308,1097
