ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,48819923,19-MAY-21 04.37.56.291000 PM,0,0,0,0,0
1,48820023,19-MAY-21 04.37.57.303000 PM,2,22,0,23,6
2,48820715,19-MAY-21 04.37.58.311000 PM,20,190,17,163,29
3,48822204,19-MAY-21 04.37.59.320000 PM,49,526,65,507,54
4,48824474,19-MAY-21 04.38.00.329000 PM,104,1052,113,1008,110
5,48827505,19-MAY-21 04.38.01.338000 PM,166,1741,181,1698,191
6,48829888,19-MAY-21 04.38.02.347000 PM,223,2290,240,2228,243
7,48831157,19-MAY-21 04.38.03.357000 PM,252,2551,269,2539,281
8,48833170,19-MAY-21 04.38.04.366000 PM,300,3002,321,2999,324
9,48838731,19-MAY-21 04.38.05.378000 PM,420,4263,453,4265,459
10,48845181,19-MAY-21 04.38.06.393000 PM,584,5693,597,5749,609
11,48851848,19-MAY-21 04.38.07.406000 PM,723,7226,745,7262,760
12,48857560,19-MAY-21 04.38.08.419000 PM,860,8532,871,8543,894
13,48861208,19-MAY-21 04.38.09.442000 PM,938,9350,954,9399,955
14,48862480,19-MAY-21 04.38.10.476000 PM,968,9650,981,9676,988
15,48867677,19-MAY-21 04.38.11.505000 PM,1086,10840,1080,10862,1097
16,48874129,19-MAY-21 04.38.12.532000 PM,1231,12296,1226,12335,1260
17,48880553,19-MAY-21 04.38.13.546000 PM,1384,13759,1369,13784,1420
18,48887539,19-MAY-21 04.38.14.562000 PM,1527,15328,1532,15397,1577
19,48894443,19-MAY-21 04.38.15.584000 PM,1697,16901,1685,16956,1731
20,48898612,19-MAY-21 04.38.16.597000 PM,1791,17814,1775,17945,1815
21,48900272,19-MAY-21 04.38.17.622000 PM,1839,18197,1812,18304,1857
22,48901832,19-MAY-21 04.38.18.636000 PM,1872,18542,1851,18667,1895
23,48906667,19-MAY-21 04.38.19.655000 PM,1993,19645,1969,19749,2002
24,48913441,19-MAY-21 04.38.20.671000 PM,2142,21199,2130,21281,2144
25,48920287,19-MAY-21 04.38.21.689000 PM,2302,22803,2290,22781,2302
26,48923358,19-MAY-21 04.38.22.705000 PM,2375,23528,2354,23449,2378
27,48923394,19-MAY-21 04.38.23.735000 PM,2375,23536,2356,23458,2378
28,48926692,19-MAY-21 04.38.24.751000 PM,2447,24318,2433,24177,2454
29,48933560,19-MAY-21 04.38.25.767000 PM,2626,25840,2571,25759,2617
30,48936000,19-MAY-21 04.38.26.794000 PM,2684,26388,2625,26316,2676
31,48938117,19-MAY-21 04.38.27.809000 PM,2736,26879,2672,26778,2736
32,48945199,19-MAY-21 04.38.28.847000 PM,2881,28455,2844,28425,2910
33,48950070,19-MAY-21 04.38.29.903000 PM,2987,29566,2953,29537,3018
34,48957547,19-MAY-21 04.38.30.930000 PM,3148,31237,3124,31270,3192
35,48957547,19-MAY-21 04.38.31.962000 PM,3148,31237,3124,31270,3192
36,48957547,19-MAY-21 04.38.32.978000 PM,3148,31237,3124,31270,3192
37,48957547,19-MAY-21 04.38.33.994000 PM,3148,31237,3124,31270,3192
38,48961546,19-MAY-21 04.38.35.024000 PM,3247,32161,3202,32183,3266
39,48970527,19-MAY-21 04.38.36.039000 PM,3449,34194,3401,34228,3455
40,48978164,19-MAY-21 04.38.37.068000 PM,3628,35915,3573,35976,3627
41,48984909,19-MAY-21 04.38.38.096000 PM,3805,37469,3745,37466,3770
42,48989788,19-MAY-21 04.38.39.115000 PM,3901,38564,3875,38593,3873
43,48991861,19-MAY-21 04.38.40.137000 PM,3952,39038,3927,39059,3913
44,48999075,19-MAY-21 04.38.41.177000 PM,4129,40657,4108,40693,4085
45,49003259,19-MAY-21 04.38.42.205000 PM,4221,41630,4205,41619,4191
46,49006543,19-MAY-21 04.38.43.234000 PM,4297,42385,4270,42362,4266
47,49008834,19-MAY-21 04.38.44.250000 PM,4354,42901,4314,42880,4327
48,49009544,19-MAY-21 04.38.45.263000 PM,4371,43072,4323,43035,4342
49,49009640,19-MAY-21 04.38.46.292000 PM,4375,43089,4323,43062,4343
50,49013244,19-MAY-21 04.38.47.321000 PM,4467,43886,4410,43885,4437
51,49020422,19-MAY-21 04.38.48.340000 PM,4627,45508,4583,45528,4590
52,49024088,19-MAY-21 04.38.49.359000 PM,4718,46354,4673,46338,4672
53,49025215,19-MAY-21 04.38.50.397000 PM,4740,46612,4701,46596,4697
54,49026010,19-MAY-21 04.38.51.441000 PM,4756,46790,4722,46780,4713
55,49031571,19-MAY-21 04.38.52.466000 PM,4877,48076,4851,48030,4832
56,49040039,19-MAY-21 04.38.53.490000 PM,5057,49981,5066,49987,5007
57,49048402,19-MAY-21 04.38.54.507000 PM,5244,51945,5232,51846,5177
58,49053513,19-MAY-21 04.38.55.526000 PM,5364,53135,5336,52978,5300
59,49061138,19-MAY-21 04.38.56.556000 PM,5536,54824,5519,54749,5478
60,49066341,19-MAY-21 04.38.57.574000 PM,5635,55939,5634,55915,5582
61,49070215,19-MAY-21 04.38.58.634000 PM,5709,56597,5693,56578,5651
62,49075990,19-MAY-21 04.38.59.664000 PM,5814,57495,5753,57509,5753
63,49081821,19-MAY-21 04.39.00.681000 PM,5877,58202,5838,58285,5802
64,49089736,19-MAY-21 04.39.01.704000 PM,5995,59230,5938,59404,5893
65,49091779,19-MAY-21 04.39.02.730000 PM,6002,59315,5935,59479,5895
66,49098501,19-MAY-21 04.39.03.750000 PM,6119,60567,6066,60670,6010
67,49104601,19-MAY-21 04.39.04.774000 PM,6177,61135,6103,61248,6055
68,49104819,19-MAY-21 04.39.05.806000 PM,6047,59805,5966,59909,5914
69,49107521,19-MAY-21 04.39.06.827000 PM,5948,58934,5893,59024,5826
70,49112024,19-MAY-21 04.39.07.850000 PM,5914,58368,5856,58523,5766
71,49116256,19-MAY-21 04.39.08.865000 PM,5899,58171,5844,58294,5772
72,49117661,19-MAY-21 04.39.09.887000 PM,5895,58054,5832,58167,5753
73,49117958,19-MAY-21 04.39.10.900000 PM,5843,57631,5790,57732,5708
74,49125266,19-MAY-21 04.39.11.923000 PM,5869,57883,5829,58013,5736
75,49129132,19-MAY-21 04.39.12.946000 PM,5824,57264,5780,57405,5663
76,49129434,19-MAY-21 04.39.13.962000 PM,5684,55770,5631,55969,5522
77,49132244,19-MAY-21 04.39.14.994000 PM,5580,54823,5548,54985,5414
78,49136201,19-MAY-21 04.39.16.013000 PM,5532,54335,5509,54360,5361
79,49136510,19-MAY-21 04.39.17.050000 PM,5465,53837,5458,53836,5312
80,49140090,19-MAY-21 04.39.18.081000 PM,5503,54293,5512,54303,5359
81,49141128,19-MAY-21 04.39.19.117000 PM,5423,53589,5434,53619,5299
82,49144221,19-MAY-21 04.39.20.154000 PM,5371,53135,5374,53158,5275
83,49151465,19-MAY-21 04.39.21.176000 PM,5355,53199,5364,53340,5299
84,49157478,19-MAY-21 04.39.22.202000 PM,5353,53176,5365,53372,5283
85,49157683,19-MAY-21 04.39.23.236000 PM,5347,53134,5361,53361,5279
86,49157850,19-MAY-21 04.39.24.253000 PM,5333,52972,5345,53242,5258
87,49158094,19-MAY-21 04.39.25.268000 PM,5192,51555,5216,51835,5118
88,49163707,19-MAY-21 04.39.26.287000 PM,5170,51754,5226,52014,5109
89,49165981,19-MAY-21 04.39.27.303000 PM,5174,51820,5231,52034,5100
90,49170796,19-MAY-21 04.39.28.319000 PM,5217,52000,5212,52147,5107
