ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,84346177,20-MAY-21 09.13.06.816000 AM,0,0,0,0,0
1,84346286,20-MAY-21 09.13.07.824000 AM,3,24,2,24,5
2,84347023,20-MAY-21 09.13.08.839000 AM,21,194,16,191,18
3,84348487,20-MAY-21 09.13.09.848000 AM,52,520,43,534,57
4,84350769,20-MAY-21 09.13.10.856000 AM,93,1075,91,1029,107
5,84353814,20-MAY-21 09.13.11.865000 AM,141,1798,159,1712,178
6,84357609,20-MAY-21 09.13.12.874000 AM,213,2680,239,2566,277
7,84362107,20-MAY-21 09.13.13.885000 AM,309,3690,343,3612,367
8,84365723,20-MAY-21 09.13.14.895000 AM,395,4526,441,4411,441
9,84369416,20-MAY-21 09.13.15.904000 AM,478,5385,524,5228,535
10,84375545,20-MAY-21 09.13.16.915000 AM,623,6716,662,6664,702
11,84381988,20-MAY-21 09.13.17.926000 AM,771,8214,813,8086,857
12,84389025,20-MAY-21 09.13.18.939000 AM,923,9808,974,9699,1014
13,84390498,20-MAY-21 09.13.19.961000 AM,946,10158,1015,10027,1044
14,84391745,20-MAY-21 09.13.20.997000 AM,974,10445,1050,10301,1078
15,84395758,20-MAY-21 09.13.22.026000 AM,1054,11375,1136,11218,1155
16,84402610,20-MAY-21 09.13.23.038000 AM,1199,12945,1289,12775,1307
17,84409032,20-MAY-21 09.13.24.053000 AM,1349,14416,1424,14220,1461
18,84415437,20-MAY-21 09.13.25.068000 AM,1494,15888,1569,15661,1604
19,84422639,20-MAY-21 09.13.26.088000 AM,1647,17539,1735,17302,1753
20,84428544,20-MAY-21 09.13.27.103000 AM,1787,18869,1883,18635,1912
21,84431923,20-MAY-21 09.13.28.120000 AM,1860,19636,1952,19410,1985
22,84435725,20-MAY-21 09.13.29.136000 AM,1941,20456,2058,20306,2085
23,84437545,20-MAY-21 09.13.30.159000 AM,1976,20888,2106,20706,2123
24,84438792,20-MAY-21 09.13.31.175000 AM,2006,21178,2130,20984,2149
25,84445242,20-MAY-21 09.13.32.193000 AM,2155,22613,2279,22484,2285
26,84448698,20-MAY-21 09.13.33.210000 AM,2224,23400,2358,23275,2366
27,84451590,20-MAY-21 09.13.34.255000 AM,2299,24048,2421,23932,2436
28,84457150,20-MAY-21 09.13.35.277000 AM,2411,25359,2553,25154,2572
29,84461108,20-MAY-21 09.13.36.321000 AM,2495,26256,2658,26053,2665
30,84465510,20-MAY-21 09.13.37.338000 AM,2610,27256,2761,27042,2756
31,84468874,20-MAY-21 09.13.38.360000 AM,2693,28028,2842,27786,2841
32,84475716,20-MAY-21 09.13.39.385000 AM,2850,29574,2999,29346,2998
33,84479018,20-MAY-21 09.13.40.408000 AM,2936,30344,3066,30072,3072
34,84480953,20-MAY-21 09.13.41.489000 AM,2978,30805,3107,30493,3117
35,84485147,20-MAY-21 09.13.42.524000 AM,3070,31791,3191,31423,3216
36,84492692,20-MAY-21 09.13.43.545000 AM,3232,33517,3378,33128,3383
37,84494413,20-MAY-21 09.13.44.572000 AM,3279,33904,3428,33509,3424
38,84495183,20-MAY-21 09.13.45.587000 AM,3296,34088,3446,33678,3436
39,84502488,20-MAY-21 09.13.46.623000 AM,3465,35767,3595,35323,3613
40,84510040,20-MAY-21 09.13.47.642000 AM,3613,37494,3762,37062,3777
41,84514551,20-MAY-21 09.13.48.658000 AM,3703,38574,3856,38050,3864
42,84518349,20-MAY-21 09.13.49.680000 AM,3786,39457,3946,38888,3964
43,84525966,20-MAY-21 09.13.50.758000 AM,3958,41174,4141,40619,4146
44,84530674,20-MAY-21 09.13.51.781000 AM,4071,42254,4242,41677,4251
45,84531276,20-MAY-21 09.13.52.825000 AM,4088,42388,4258,41815,4267
46,84531841,20-MAY-21 09.13.53.840000 AM,4103,42514,4272,41944,4278
47,84537526,20-MAY-21 09.13.54.856000 AM,4217,43802,4400,43254,4403
48,84540020,20-MAY-21 09.13.55.899000 AM,4270,44385,4457,43813,4450
49,84542005,20-MAY-21 09.13.56.925000 AM,4324,44835,4504,44263,4480
50,84545167,20-MAY-21 09.13.57.968000 AM,4408,45511,4570,45022,4538
51,84548624,20-MAY-21 09.13.58.995000 AM,4506,46304,4640,45786,4615
52,84551259,20-MAY-21 09.14.00.038000 AM,4568,46905,4700,46380,4676
53,84551696,20-MAY-21 09.14.01.054000 AM,4578,47017,4710,46466,4689
54,84552881,20-MAY-21 09.14.02.068000 AM,4607,47266,4735,46754,4715
55,84559518,20-MAY-21 09.14.03.088000 AM,4767,48809,4884,48217,4883
56,84567025,20-MAY-21 09.14.04.103000 AM,4942,50505,5066,49910,5069
57,84571231,20-MAY-21 09.14.05.121000 AM,5024,51486,5164,50856,5158
58,84576147,20-MAY-21 09.14.06.141000 AM,5119,52555,5285,52027,5281
59,84578738,20-MAY-21 09.14.07.155000 AM,5173,53140,5333,52631,5340
60,84583329,20-MAY-21 09.14.08.167000 AM,5252,54138,5444,53607,5445
61,84583898,20-MAY-21 09.14.09.185000 AM,5243,54038,5434,53522,5438
62,84589718,20-MAY-21 09.14.10.200000 AM,5345,54957,5556,54417,5547
63,84596712,20-MAY-21 09.14.11.219000 AM,5453,55954,5678,55423,5646
64,84600816,20-MAY-21 09.14.12.235000 AM,5502,56075,5688,55616,5667
65,84607042,20-MAY-21 09.14.13.257000 AM,5540,56532,5729,56134,5696
66,84612057,20-MAY-21 09.14.14.285000 AM,5560,56544,5738,56137,5722
67,84617215,20-MAY-21 09.14.15.300000 AM,5607,57163,5777,56659,5773
68,84618387,20-MAY-21 09.14.16.330000 AM,5530,56254,5698,55795,5667
69,84620298,20-MAY-21 09.14.17.355000 AM,5413,55273,5595,54760,5546
70,84628947,20-MAY-21 09.14.18.385000 AM,5447,55673,5662,55141,5568
71,84630963,20-MAY-21 09.14.19.411000 AM,5395,55039,5600,54541,5505
72,84632964,20-MAY-21 09.14.20.426000 AM,5429,55239,5605,54736,5523
73,84637202,20-MAY-21 09.14.21.443000 AM,5502,55923,5669,55440,5607
74,84639835,20-MAY-21 09.14.22.459000 AM,5423,54969,5594,54496,5548
75,84647450,20-MAY-21 09.14.23.483000 AM,5458,55192,5627,54746,5592
76,84654651,20-MAY-21 09.14.24.498000 AM,5479,55371,5636,54877,5592
77,84658715,20-MAY-21 09.14.25.532000 AM,5416,54738,5539,54295,5540
78,84658910,20-MAY-21 09.14.26.550000 AM,5263,53236,5384,52824,5401
79,84659091,20-MAY-21 09.14.27.567000 AM,5169,52288,5284,51813,5278
80,84659313,20-MAY-21 09.14.28.588000 AM,5084,51414,5186,50906,5190
81,84659464,20-MAY-21 09.14.29.600000 AM,5026,50768,5110,50263,5127
82,84666322,20-MAY-21 09.14.30.619000 AM,5185,52041,5246,51578,5255
83,84669450,20-MAY-21 09.14.31.642000 AM,5155,51861,5243,51332,5259
84,84669611,20-MAY-21 09.14.32.654000 AM,5049,50939,5143,50376,5156
85,84672795,20-MAY-21 09.14.33.673000 AM,5041,50828,5115,50156,5145
86,84676120,20-MAY-21 09.14.34.692000 AM,5050,50822,5123,50178,5138
87,84681604,20-MAY-21 09.14.35.704000 AM,5072,50876,5123,50304,5131
88,84688704,20-MAY-21 09.14.36.728000 AM,5153,51747,5207,51103,5197
89,84691598,20-MAY-21 09.14.37.761000 AM,5123,51402,5193,50794,5180
90,84691803,20-MAY-21 09.14.38.793000 AM,4989,50165,5070,49555,5056
91,84692419,20-MAY-21 09.14.39.808000 AM,4885,49148,4965,48518,4946
92,84698906,20-MAY-21 09.14.40.826000 AM,5001,50153,5075,49574,5043
93,84699710,20-MAY-21 09.14.41.861000 AM,4983,49904,5050,49380,5020
94,84706383,20-MAY-21 09.14.42.878000 AM,4978,49754,5036,49339,4998
95,84713171,20-MAY-21 09.14.43.895000 AM,4998,49958,5041,49577,4995
96,84714160,20-MAY-21 09.14.44.928000 AM,5012,50108,5054,49701,5011
97,84714395,20-MAY-21 09.14.45.942000 AM,4952,49494,5001,49095,4954
98,84718969,20-MAY-21 09.14.46.972000 AM,4894,48777,4908,48383,4881
99,84722977,20-MAY-21 09.14.48.005000 AM,4869,48124,4856,47717,4831
100,84730131,20-MAY-21 09.14.49.022000 AM,4921,48726,4919,48406,4913
101,84735757,20-MAY-21 09.14.50.042000 AM,4942,48922,4922,48590,4916
102,84735885,20-MAY-21 09.14.51.075000 AM,4785,47404,4761,47113,4771
103,84736085,20-MAY-21 09.14.52.096000 AM,4714,46638,4691,46350,4706
104,84737909,20-MAY-21 09.14.53.109000 AM,4765,47073,4733,46731,4754
105,84741781,20-MAY-21 09.14.54.131000 AM,4780,47190,4763,46938,4766
106,84742005,20-MAY-21 09.14.55.146000 AM,4705,46428,4676,46134,4697
107,84742018,20-MAY-21 09.14.56.160000 AM,4666,45978,4635,45706,4659
108,84746559,20-MAY-21 09.14.57.175000 AM,4675,46433,4692,46170,4724
109,84753055,20-MAY-21 09.14.58.211000 AM,4750,47166,4773,46828,4797
110,84760735,20-MAY-21 09.14.59.238000 AM,4828,48208,4873,47766,4902
111,84761673,20-MAY-21 09.15.00.256000 AM,4800,47991,4848,47548,4881
112,84761870,20-MAY-21 09.15.01.270000 AM,4786,47868,4840,47441,4872
113,84763544,20-MAY-21 09.15.02.291000 AM,4792,47893,4849,47425,4878
114,84770526,20-MAY-21 09.15.03.313000 AM,4763,47742,4849,47195,4829
115,84777610,20-MAY-21 09.15.04.329000 AM,4778,47851,4884,47359,4834
116,84783359,20-MAY-21 09.15.05.350000 AM,4825,48027,4892,47581,4844
117,84783496,20-MAY-21 09.15.06.382000 AM,4744,47157,4799,46677,4750
118,84783640,20-MAY-21 09.15.07.397000 AM,4687,46500,4741,46024,4692
119,84783856,20-MAY-21 09.15.08.413000 AM,4615,45619,4649,45118,4586
120,84784087,20-MAY-21 09.15.09.426000 AM,4595,45473,4626,44975,4577
121,84789879,20-MAY-21 09.15.10.438000 AM,4565,45205,4590,44679,4513
122,84794370,20-MAY-21 09.15.11.463000 AM,4515,44819,4548,44265,4480
123,84794370,20-MAY-21 09.15.12.479000 AM,4408,43798,4449,43256,4379
124,84794370,20-MAY-21 09.15.13.492000 AM,4291,42406,4308,41830,4240
125,84794370,20-MAY-21 09.15.14.505000 AM,4205,41667,4228,41095,4162
126,84798340,20-MAY-21 09.15.15.527000 AM,4163,41178,4172,40665,4119
127,84802190,20-MAY-21 09.15.16.557000 AM,4239,41860,4225,41384,4199
128,84809145,20-MAY-21 09.15.17.587000 AM,4332,42629,4301,42211,4275
129,84817248,20-MAY-21 09.15.18.612000 AM,4359,42717,4293,42238,4285
130,84820250,20-MAY-21 09.15.19.632000 AM,4398,43192,4335,42715,4343
131,84820369,20-MAY-21 09.15.20.649000 AM,4309,42400,4269,41916,4251
132,84820490,20-MAY-21 09.15.21.666000 AM,4252,41830,4203,41353,4189
133,84822630,20-MAY-21 09.15.22.683000 AM,4204,41303,4146,40882,4128
134,84830080,20-MAY-21 09.15.23.711000 AM,4197,41221,4180,40892,4114
135,84835460,20-MAY-21 09.15.24.736000 AM,4165,40792,4141,40532,4065
136,84840841,20-MAY-21 09.15.25.814000 AM,4235,41434,4234,41180,4116
137,84841155,20-MAY-21 09.15.26.830000 AM,4235,41461,4237,41210,4118
138,84841363,20-MAY-21 09.15.27.846000 AM,4239,41483,4244,41219,4118
139,84841814,20-MAY-21 09.15.28.866000 AM,4246,41539,4252,41265,4117
140,84843804,20-MAY-21 09.15.29.901000 AM,4230,41494,4260,41173,4122
141,84846413,20-MAY-21 09.15.30.929000 AM,4130,40507,4148,40249,4017
142,84852374,20-MAY-21 09.15.31.960000 AM,4247,41602,4241,41400,4138
143,84854996,20-MAY-21 09.15.32.988000 AM,4314,42168,4301,41937,4180
144,84857716,20-MAY-21 09.15.34.006000 AM,4266,41558,4263,41397,4122
145,84864327,20-MAY-21 09.15.35.028000 AM,4388,42564,4354,42450,4215
146,84867600,20-MAY-21 09.15.36.045000 AM,4289,41721,4248,41538,4161
147,84867808,20-MAY-21 09.15.37.058000 AM,4119,40126,4082,39979,3988
148,84872706,20-MAY-21 09.15.38.074000 AM,4227,41163,4182,41018,4099
149,84875829,20-MAY-21 09.15.39.100000 AM,4306,41799,4246,41685,4164
150,84876068,20-MAY-21 09.15.40.114000 AM,4241,41189,4192,41106,4111
151,84877166,20-MAY-21 09.15.41.131000 AM,4156,40495,4115,40392,4038
152,84877885,20-MAY-21 09.15.42.164000 AM,4087,40036,4085,39937,3992
153,84883252,20-MAY-21 09.15.43.192000 AM,4055,39583,4040,39509,3988
154,84890197,20-MAY-21 09.15.44.214000 AM,4111,40027,4093,39903,4035
155,84893085,20-MAY-21 09.15.45.235000 AM,4165,40604,4158,40507,4107
156,84893236,20-MAY-21 09.15.46.256000 AM,4142,40372,4139,40250,4087
157,84893428,20-MAY-21 09.15.47.269000 AM,4053,39565,4080,39511,3998
158,84896764,20-MAY-21 09.15.48.287000 AM,4009,38988,4021,38978,3928
159,84898879,20-MAY-21 09.15.49.308000 AM,3909,38026,3925,37965,3844
160,84898879,20-MAY-21 09.15.50.321000 AM,3807,37014,3820,36967,3722
161,84899668,20-MAY-21 09.15.51.350000 AM,3824,37136,3836,37100,3742
162,84904876,20-MAY-21 09.15.52.377000 AM,3926,38302,3949,38268,3856
163,84911193,20-MAY-21 09.15.53.404000 AM,3991,38868,4010,38833,3910
164,84915470,20-MAY-21 09.15.54.425000 AM,4037,39408,4052,39385,3971
165,84915474,20-MAY-21 09.15.55.457000 AM,4030,39359,4051,39338,3964
166,84915699,20-MAY-21 09.15.56.472000 AM,4033,39364,4048,39351,3969
167,84916344,20-MAY-21 09.15.57.502000 AM,3931,38137,3914,38047,3840
168,84923391,20-MAY-21 09.15.58.528000 AM,3906,38172,3940,38058,3864
169,84929978,20-MAY-21 09.15.59.561000 AM,3920,38222,3939,38169,3863
170,84932875,20-MAY-21 09.16.00.578000 AM,3988,38820,3994,38802,3910
171,84932898,20-MAY-21 09.16.01.600000 AM,3983,38778,3988,38762,3905
172,84933100,20-MAY-21 09.16.02.616000 AM,3896,37923,3902,37985,3820
173,84933336,20-MAY-21 09.16.03.633000 AM,3733,36338,3722,36481,3653
174,84937801,20-MAY-21 09.16.04.649000 AM,3677,35865,3652,35923,3643
175,84944601,20-MAY-21 09.16.05.687000 AM,3741,36610,3720,36536,3716
176,84950357,20-MAY-21 09.16.06.706000 AM,3877,37864,3852,37820,3867
177,84951762,20-MAY-21 09.16.07.721000 AM,3906,38151,3884,38117,3900
178,84951762,20-MAY-21 09.16.08.737000 AM,3902,38078,3876,38049,3895
179,84951762,20-MAY-21 09.16.09.760000 AM,3883,37847,3853,37818,3881
180,84951762,20-MAY-21 09.16.10.775000 AM,3731,36240,3687,36247,3720
181,84952933,20-MAY-21 09.16.11.805000 AM,3705,35948,3658,35956,3683
182,84960322,20-MAY-21 09.16.12.836000 AM,3844,37699,3812,37609,3831
183,84966713,20-MAY-21 09.16.13.860000 AM,4013,39203,3947,38992,3969
184,84969094,20-MAY-21 09.16.14.887000 AM,4061,39740,3997,39546,4022
185,84969369,20-MAY-21 09.16.15.919000 AM,3919,38283,3863,38074,3877
186,84969659,20-MAY-21 09.16.16.935000 AM,3827,37527,3789,37297,3799
187,84971541,20-MAY-21 09.16.17.952000 AM,3717,36320,3674,36068,3695
188,84979618,20-MAY-21 09.16.18.977000 AM,3735,36266,3682,36063,3684
189,84986503,20-MAY-21 09.16.19.994000 AM,3915,37817,3827,37557,3847
190,84989911,20-MAY-21 09.16.21.043000 AM,3981,38551,3912,38315,3936
191,84990099,20-MAY-21 09.16.22.061000 AM,3987,38564,3915,38317,3939
192,84990330,20-MAY-21 09.16.23.075000 AM,3861,37547,3794,37208,3827
193,84990473,20-MAY-21 09.16.24.090000 AM,3729,36127,3634,35756,3687
194,84991445,20-MAY-21 09.16.25.112000 AM,3601,34982,3529,34561,3587
195,84996012,20-MAY-21 09.16.26.126000 AM,3665,35367,3547,34920,3629
196,85001516,20-MAY-21 09.16.27.153000 AM,3791,36568,3667,36114,3745
197,85001651,20-MAY-21 09.16.28.167000 AM,3790,36539,3664,36097,3741
198,85001879,20-MAY-21 09.16.29.195000 AM,3791,36488,3656,36055,3740
199,85006256,20-MAY-21 09.16.30.210000 AM,3816,36757,3692,36369,3774
200,85012156,20-MAY-21 09.16.31.231000 AM,3909,37474,3763,37000,3834
201,85018899,20-MAY-21 09.16.32.260000 AM,3907,37409,3768,37044,3840
202,85023523,20-MAY-21 09.16.33.282000 AM,4009,38328,3847,37985,3948
203,85023738,20-MAY-21 09.16.34.297000 AM,3898,37329,3723,36952,3843
204,85023857,20-MAY-21 09.16.35.310000 AM,3756,35961,3598,35604,3714
205,85023976,20-MAY-21 09.16.36.325000 AM,3715,35563,3562,35244,3675
206,85026675,20-MAY-21 09.16.37.353000 AM,3772,36124,3620,35861,3729
207,85032108,20-MAY-21 09.16.38.385000 AM,3700,35786,3560,35484,3679
208,85039202,20-MAY-21 09.16.39.409000 AM,3849,37190,3694,36882,3829
209,85040664,20-MAY-21 09.16.40.428000 AM,3872,37471,3713,37171,3855
210,85040864,20-MAY-21 09.16.41.440000 AM,3848,37189,3682,36871,3830
211,85042549,20-MAY-21 09.16.42.458000 AM,3878,37469,3708,37121,3858
212,85049523,20-MAY-21 09.16.43.482000 AM,3859,37460,3709,37038,3839
