ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,36155799,19-MAY-21 02.43.18.889000 PM,0,0,0,0,0
1,36155918,19-MAY-21 02.43.19.900000 PM,2,25,4,30,1
2,36156650,19-MAY-21 02.43.20.919000 PM,17,178,25,212,16
3,36158150,19-MAY-21 02.43.21.929000 PM,45,519,58,552,62
4,36160469,19-MAY-21 02.43.22.937000 PM,94,1059,114,1067,116
5,36163548,19-MAY-21 02.43.23.947000 PM,164,1766,185,1759,190
6,36167346,19-MAY-21 02.43.24.955000 PM,258,2626,277,2607,290
7,36171623,19-MAY-21 02.43.25.965000 PM,349,3597,366,3587,392
8,36175928,19-MAY-21 02.43.26.975000 PM,453,4545,470,4597,471
9,36181411,19-MAY-21 02.43.27.984000 PM,591,5759,591,5860,604
10,36187404,19-MAY-21 02.43.28.995000 PM,716,7112,726,7240,745
11,36192100,19-MAY-21 02.43.30.004000 PM,830,8135,840,8331,869
12,36196590,19-MAY-21 02.43.31.016000 PM,925,9160,954,9356,959
13,36198151,19-MAY-21 02.43.32.027000 PM,970,9517,988,9695,1000
14,36202751,19-MAY-21 02.43.33.050000 PM,1074,10524,1107,10770,1108
15,36209716,19-MAY-21 02.43.34.070000 PM,1235,12119,1257,12345,1262
16,36215292,19-MAY-21 02.43.35.106000 PM,1354,13356,1397,13645,1386
17,36222302,19-MAY-21 02.43.36.118000 PM,1477,14961,1552,15268,1539
18,36228649,19-MAY-21 02.43.37.135000 PM,1629,16422,1712,16670,1697
19,36235990,19-MAY-21 02.43.38.159000 PM,1797,18096,1856,18336,1891
20,36242884,19-MAY-21 02.43.39.172000 PM,1949,19665,2021,19896,2044
21,36246794,19-MAY-21 02.43.40.186000 PM,2036,20517,2122,20818,2133
22,36249296,19-MAY-21 02.43.41.204000 PM,2098,21128,2172,21341,2194
23,36252414,19-MAY-21 02.43.42.215000 PM,2182,21832,2257,22034,2262
24,36256101,19-MAY-21 02.43.43.231000 PM,2275,22674,2356,22848,2356
25,36260060,19-MAY-21 02.43.44.247000 PM,2356,23568,2430,23779,2426
26,36263243,19-MAY-21 02.43.45.278000 PM,2415,24335,2492,24482,2496
27,36266986,19-MAY-21 02.43.46.292000 PM,2496,25214,2568,25308,2583
28,36273506,19-MAY-21 02.43.47.306000 PM,2651,26678,2720,26799,2731
29,36275307,19-MAY-21 02.43.48.331000 PM,2693,27090,2755,27218,2760
30,36277003,19-MAY-21 02.43.49.342000 PM,2742,27455,2799,27611,2791
