ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,42573193,19-MAY-21 03.50.37.579000 PM,0,0,0,0,0
1,42573307,19-MAY-21 03.50.38.590000 PM,2,25,3,28,1
2,42574036,19-MAY-21 03.50.39.598000 PM,15,182,18,205,21
3,42575570,19-MAY-21 03.50.40.607000 PM,52,518,47,570,50
4,42577839,19-MAY-21 03.50.41.616000 PM,104,1012,93,1113,95
5,42580893,19-MAY-21 03.50.42.625000 PM,165,1690,151,1833,173
6,42584688,19-MAY-21 03.50.43.634000 PM,250,2566,246,2683,252
7,42589187,19-MAY-21 03.50.44.644000 PM,356,3615,347,3684,348
8,42592441,19-MAY-21 03.50.45.654000 PM,418,4368,428,4412,424
9,42593273,19-MAY-21 03.50.46.683000 PM,439,4570,440,4591,440
10,42594111,19-MAY-21 03.50.47.708000 PM,456,4747,458,4799,456
11,42600828,19-MAY-21 03.50.48.722000 PM,611,6285,640,6295,615
12,42608271,19-MAY-21 03.50.49.733000 PM,787,7947,806,8020,766
13,42614741,19-MAY-21 03.50.50.754000 PM,954,9379,958,9500,927
14,42621339,19-MAY-21 03.50.51.768000 PM,1114,10843,1103,11025,1079
15,42628327,19-MAY-21 03.50.52.780000 PM,1263,12415,1261,12640,1239
16,42635023,19-MAY-21 03.50.53.792000 PM,1420,13924,1431,14167,1377
17,42640446,19-MAY-21 03.50.54.806000 PM,1551,15188,1563,15361,1495
18,42646832,19-MAY-21 03.50.55.820000 PM,1692,16600,1687,16862,1642
19,42653603,19-MAY-21 03.50.56.845000 PM,1848,18152,1829,18384,1815
20,42659901,19-MAY-21 03.50.57.866000 PM,2002,19565,1943,19837,1957
21,42661083,19-MAY-21 03.50.58.892000 PM,2025,19826,1983,20108,1990
22,42661977,19-MAY-21 03.50.59.935000 PM,2052,20033,2003,20306,2001
23,42662269,19-MAY-21 03.51.00.957000 PM,2063,20089,2011,20377,2010
24,42663849,19-MAY-21 03.51.01.969000 PM,2092,20441,2051,20747,2046
25,42671157,19-MAY-21 03.51.02.988000 PM,2254,22083,2211,22436,2214
26,42677655,19-MAY-21 03.51.04.008000 PM,2384,23575,2344,23919,2363
27,42679869,19-MAY-21 03.51.05.045000 PM,2439,24059,2390,24445,2403
28,42680498,19-MAY-21 03.51.06.065000 PM,2450,24221,2399,24574,2418
29,42685536,19-MAY-21 03.51.07.083000 PM,2551,25396,2498,25710,2533
30,42693171,19-MAY-21 03.51.08.115000 PM,2727,27114,2688,27461,2698
31,42697324,19-MAY-21 03.51.09.129000 PM,2813,28069,2777,28407,2776
32,42702279,19-MAY-21 03.51.10.150000 PM,2915,29214,2901,29528,2871
33,42708136,19-MAY-21 03.51.11.189000 PM,3073,30571,3028,30825,2997
34,42714873,19-MAY-21 03.51.12.214000 PM,3232,32107,3173,32335,3159
35,42715381,19-MAY-21 03.51.13.242000 PM,3241,32232,3184,32443,3172
36,42716773,19-MAY-21 03.51.14.266000 PM,3267,32551,3214,32764,3202
37,42724319,19-MAY-21 03.51.15.282000 PM,3447,34275,3396,34457,3372
38,42732100,19-MAY-21 03.51.16.298000 PM,3629,36019,3596,36237,3541
39,42735870,19-MAY-21 03.51.17.321000 PM,3713,36867,3688,37100,3629
40,42740685,19-MAY-21 03.51.18.337000 PM,3807,37991,3787,38188,3739
41,42746351,19-MAY-21 03.51.19.365000 PM,3948,39250,3922,39481,3886
42,42753793,19-MAY-21 03.51.20.382000 PM,4117,41001,4105,41112,4034
43,42758562,19-MAY-21 03.51.21.399000 PM,4229,42075,4211,42204,4142
44,42763477,19-MAY-21 03.51.22.418000 PM,4337,43204,4323,43319,4244
45,42766803,19-MAY-21 03.51.23.434000 PM,4420,43951,4401,44081,4304
46,42767852,19-MAY-21 03.51.24.462000 PM,4454,44187,4425,44313,4326
47,42769911,19-MAY-21 03.51.25.487000 PM,4506,44637,4471,44793,4375
48,42773174,19-MAY-21 03.51.26.531000 PM,4570,45406,4543,45521,4444
49,42776490,19-MAY-21 03.51.27.559000 PM,4658,46143,4613,46286,4510
50,42776583,19-MAY-21 03.51.28.578000 PM,4660,46165,4616,46306,4512
51,42778320,19-MAY-21 03.51.29.597000 PM,4706,46586,4653,46673,4544
52,42780100,19-MAY-21 03.51.30.650000 PM,4744,47003,4696,47070,4577
53,42782294,19-MAY-21 03.51.31.684000 PM,4777,47502,4749,47596,4626
54,42786419,19-MAY-21 03.51.32.699000 PM,4871,48402,4842,48562,4714
55,42793733,19-MAY-21 03.51.33.718000 PM,5043,50044,5013,50228,4897
56,42793963,19-MAY-21 03.51.34.747000 PM,5050,50096,5020,50278,4902
57,42799256,19-MAY-21 03.51.35.763000 PM,5178,51297,5143,51472,5026
58,42803054,19-MAY-21 03.51.36.805000 PM,5257,52140,5238,52362,5105
59,42805480,19-MAY-21 03.51.37.819000 PM,5326,52687,5303,52900,5158
60,42809045,19-MAY-21 03.51.38.851000 PM,5402,53473,5397,53616,5232
61,42813163,19-MAY-21 03.51.39.867000 PM,5479,54179,5467,54360,5269
62,42815021,19-MAY-21 03.51.40.900000 PM,5488,54195,5478,54391,5273
63,42818620,19-MAY-21 03.51.41.917000 PM,5493,54519,5513,54573,5279
64,42821910,19-MAY-21 03.51.42.934000 PM,5496,54513,5519,54587,5273
65,42825578,19-MAY-21 03.51.43.959000 PM,5504,54407,5495,54497,5258
66,42829663,19-MAY-21 03.51.45.012000 PM,5496,54157,5479,54276,5266
67,42833342,19-MAY-21 03.51.46.045000 PM,5533,54598,5517,54747,5309
68,42837870,19-MAY-21 03.51.47.080000 PM,5612,55408,5615,55573,5395
69,42842829,19-MAY-21 03.51.48.107000 PM,5645,55894,5641,56085,5445
70,42849374,19-MAY-21 03.51.49.130000 PM,5609,55788,5586,55906,5429
71,42855838,19-MAY-21 03.51.50.155000 PM,5595,55605,5581,55709,5417
72,42855982,19-MAY-21 03.51.51.192000 PM,5435,54112,5430,54175,5267
73,42856211,19-MAY-21 03.51.52.221000 PM,5281,52710,5293,52736,5121
74,42856535,19-MAY-21 03.51.53.237000 PM,5137,51194,5140,51212,4959
75,42859295,19-MAY-21 03.51.54.272000 PM,5063,50432,5044,50417,4895
76,42866113,19-MAY-21 03.51.55.298000 PM,5074,50615,5075,50738,4890
77,42868744,19-MAY-21 03.51.56.315000 PM,4985,49689,4978,49700,4788
78,42868975,19-MAY-21 03.51.57.348000 PM,4836,48240,4859,48267,4644
79,42873970,19-MAY-21 03.51.58.363000 PM,4860,48552,4878,48488,4666
80,42881188,19-MAY-21 03.51.59.383000 PM,4983,50012,5029,49888,4814
81,42882453,19-MAY-21 03.52.00.406000 PM,4989,50148,5044,50056,4841
82,42882569,19-MAY-21 03.52.01.420000 PM,4991,50149,5041,50067,4842
83,42886179,19-MAY-21 03.52.02.437000 PM,4978,49802,5006,49712,4809
84,42887699,19-MAY-21 03.52.03.459000 PM,4862,48525,4897,48432,4681
85,42895708,19-MAY-21 03.52.04.481000 PM,4971,49424,4981,49345,4765
86,42902743,19-MAY-21 03.52.05.501000 PM,5101,50689,5105,50634,4893
87,42904695,19-MAY-21 03.52.06.520000 PM,5122,50830,5124,50818,4911
88,42904922,19-MAY-21 03.52.07.534000 PM,4954,49001,4966,49074,4731
89,42912114,19-MAY-21 03.52.08.562000 PM,4973,49224,4993,49218,4757
90,42914876,19-MAY-21 03.52.09.587000 PM,4951,49039,4975,49004,4745
91,42917817,19-MAY-21 03.52.10.600000 PM,4931,48720,4937,48680,4723
92,42925673,19-MAY-21 03.52.11.626000 PM,4912,48647,4944,48767,4718
93,42928065,19-MAY-21 03.52.12.650000 PM,4879,48347,4903,48557,4676
94,42928201,19-MAY-21 03.52.13.675000 PM,4866,48086,4880,48329,4656
95,42928336,19-MAY-21 03.52.14.688000 PM,4794,47371,4811,47617,4589
96,42932848,19-MAY-21 03.52.15.715000 PM,4684,46495,4701,46801,4478
97,42940056,19-MAY-21 03.52.16.732000 PM,4690,46323,4651,46667,4484
98,42945260,19-MAY-21 03.52.17.750000 PM,4768,47081,4753,47502,4554
99,42945500,19-MAY-21 03.52.18.764000 PM,4621,45672,4613,46062,4394
100,42945696,19-MAY-21 03.52.19.778000 PM,4508,44402,4477,44830,4267
101,42952353,19-MAY-21 03.52.20.795000 PM,4485,44328,4479,44854,4284
102,42956761,19-MAY-21 03.52.21.818000 PM,4485,44318,4446,44744,4278
103,42957927,19-MAY-21 03.52.22.842000 PM,4384,43300,4371,43749,4202
104,42965292,19-MAY-21 03.52.23.869000 PM,4522,44923,4523,45312,4348
105,42969267,19-MAY-21 03.52.24.894000 PM,4529,45381,4566,45773,4400
