ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,12188133,18-MAR-21 07.32.23.537000 AM,0,0,0,0,0
1,12188248,18-MAR-21 07.32.24.547000 AM,2,28,3,25,2
2,12188955,18-MAR-21 07.32.25.565000 AM,23,190,14,181,23
3,12190241,18-MAR-21 07.32.26.576000 AM,46,492,38,469,56
4,12192153,18-MAR-21 07.32.27.587000 AM,98,939,74,892,90
5,12194665,18-MAR-21 07.32.28.598000 AM,168,1526,119,1440,145
6,12197794,18-MAR-21 07.32.29.609000 AM,254,2233,183,2140,223
7,12201543,18-MAR-21 07.32.30.622000 AM,336,3061,259,3023,315
8,12205869,18-MAR-21 07.32.31.634000 AM,435,4027,374,4016,414
9,12210712,18-MAR-21 07.32.32.648000 AM,539,5153,495,5093,519
10,12212972,18-MAR-21 07.32.33.660000 AM,586,5667,538,5612,571
11,12214296,18-MAR-21 07.32.34.694000 AM,617,5981,569,5895,608
12,12219425,18-MAR-21 07.32.35.713000 AM,722,7135,708,7079,713
13,12223665,18-MAR-21 07.32.36.733000 AM,820,8082,816,8054,804
14,12227974,18-MAR-21 07.32.37.758000 AM,921,9055,918,9036,899
15,12232351,18-MAR-21 07.32.38.772000 AM,1034,10065,1024,9998,1001
16,12236882,18-MAR-21 07.32.39.799000 AM,1135,11106,1123,11025,1096
17,12241799,18-MAR-21 07.32.40.835000 AM,1268,12226,1232,12126,1194
18,12246660,18-MAR-21 07.32.41.861000 AM,1376,13365,1317,13215,1298
19,12251851,18-MAR-21 07.32.42.880000 AM,1484,14541,1416,14417,1418
20,12256317,18-MAR-21 07.32.43.900000 AM,1583,15548,1525,15434,1529
21,12261821,18-MAR-21 07.32.44.947000 AM,1697,16766,1651,16730,1655
22,12267351,18-MAR-21 07.32.45.961000 AM,1843,18005,1777,17974,1797
23,12273038,18-MAR-21 07.32.47.006000 AM,1961,19276,1919,19293,1930
24,12277031,18-MAR-21 07.32.48.034000 AM,2053,20198,2028,20178,2012
25,12279463,18-MAR-21 07.32.49.049000 AM,2098,20749,2076,20751,2059
26,12282208,18-MAR-21 07.32.50.066000 AM,2166,21362,2136,21380,2135
27,12288428,18-MAR-21 07.32.51.098000 AM,2293,22801,2269,22788,2263
28,12294479,18-MAR-21 07.32.52.131000 AM,2421,24159,2412,24191,2415
29,12300548,18-MAR-21 07.32.53.154000 AM,2528,25549,2548,25577,2559
30,12302641,18-MAR-21 07.32.54.175000 AM,2589,26022,2594,26042,2608
31,12302754,18-MAR-21 07.32.55.193000 AM,2591,26050,2597,26065,2612
32,12306389,18-MAR-21 07.32.56.213000 AM,2663,26885,2667,26901,2691
33,12311049,18-MAR-21 07.32.57.231000 AM,2782,27958,2768,27937,2794
34,12316358,18-MAR-21 07.32.58.281000 AM,2915,29140,2884,29159,2917
35,12322561,18-MAR-21 07.32.59.304000 AM,3047,30528,3038,30591,3058
36,12327340,18-MAR-21 07.33.00.342000 AM,3151,31634,3151,31658,3170
37,12332757,18-MAR-21 07.33.01.374000 AM,3283,32858,3273,32894,3289
