ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,173667078,22-MAR-21 04.30.26.494000 PM,0,0,0,0,0
1,173667166,22-MAR-21 04.30.27.508000 PM,3,18,0,22,2
2,173667730,22-MAR-21 04.30.28.519000 PM,16,131,20,163,12
3,173668846,22-MAR-21 04.30.29.530000 PM,43,365,43,431,47
4,173670499,22-MAR-21 04.30.30.541000 PM,79,738,71,812,92
5,173671955,22-MAR-21 04.30.31.552000 PM,120,1066,104,1142,119
6,173674398,22-MAR-21 04.30.32.563000 PM,164,1627,159,1702,177
7,173677765,22-MAR-21 04.30.33.576000 PM,246,2362,248,2476,273
8,173681663,22-MAR-21 04.30.34.587000 PM,332,3236,338,3376,359
9,173686236,22-MAR-21 04.30.35.615000 PM,422,4265,435,4451,454
10,173691326,22-MAR-21 04.30.36.627000 PM,548,5424,563,5589,563
11,173696885,22-MAR-21 04.30.37.657000 PM,690,6694,692,6823,703
12,173701625,22-MAR-21 04.30.38.671000 PM,778,7779,788,7922,805
13,173706694,22-MAR-21 04.30.39.682000 PM,876,8941,886,9087,924
14,173709855,22-MAR-21 04.30.40.696000 PM,959,9660,955,9797,989
15,173714869,22-MAR-21 04.30.41.720000 PM,1069,10828,1060,10930,1086
16,173720995,22-MAR-21 04.30.42.737000 PM,1205,12243,1187,12295,1245
17,173726202,22-MAR-21 04.30.43.769000 PM,1331,13442,1297,13456,1371
18,173731637,22-MAR-21 04.30.44.784000 PM,1451,14710,1414,14668,1487
19,173736744,22-MAR-21 04.30.45.802000 PM,1567,15883,1517,15823,1605
20,173743022,22-MAR-21 04.30.46.831000 PM,1699,17290,1658,17283,1742
21,173749594,22-MAR-21 04.30.47.847000 PM,1829,18801,1820,18767,1902
22,173755376,22-MAR-21 04.30.48.862000 PM,1978,20120,1947,20052,2051
23,173755466,22-MAR-21 04.30.49.891000 PM,1986,20142,1947,20064,2057
24,173755523,22-MAR-21 04.30.50.906000 PM,1986,20156,1950,20077,2058
25,173756684,22-MAR-21 04.30.51.934000 PM,2015,20419,1982,20338,2084
26,173760259,22-MAR-21 04.30.52.965000 PM,2109,21218,2061,21152,2162
27,173763683,22-MAR-21 04.30.53.989000 PM,2189,21976,2139,21953,2230
28,173765256,22-MAR-21 04.30.55.006000 PM,2229,22330,2167,22317,2269
29,173769051,22-MAR-21 04.30.56.022000 PM,2311,23228,2258,23147,2346
30,173769691,22-MAR-21 04.30.57.053000 PM,2323,23364,2268,23308,2357
31,173771233,22-MAR-21 04.30.58.073000 PM,2361,23728,2297,23653,2382
32,173777561,22-MAR-21 04.30.59.095000 PM,2509,25163,2447,25090,2511
33,173782365,22-MAR-21 04.31.00.114000 PM,2625,26180,2538,26255,2629
34,173787462,22-MAR-21 04.31.01.153000 PM,2740,27300,2656,27455,2738
35,173794575,22-MAR-21 04.31.02.174000 PM,2904,28905,2817,29084,2895
36,173801124,22-MAR-21 04.31.03.194000 PM,3044,30432,2952,30550,3042
37,173804643,22-MAR-21 04.31.04.210000 PM,3131,31193,3023,31376,3142
38,173808932,22-MAR-21 04.31.05.229000 PM,3219,32168,3120,32361,3238
39,173810542,22-MAR-21 04.31.06.262000 PM,3248,32544,3158,32733,3275
40,173814611,22-MAR-21 04.31.07.296000 PM,3358,33423,3236,33686,3366
41,173821968,22-MAR-21 04.31.08.325000 PM,3499,35125,3406,35352,3535
42,173828869,22-MAR-21 04.31.09.347000 PM,3648,36708,3558,36910,3705
43,173833037,22-MAR-21 04.31.10.365000 PM,3761,37640,3647,37855,3800
44,173839567,22-MAR-21 04.31.11.395000 PM,3901,39135,3800,39345,3932
45,173844698,22-MAR-21 04.31.12.414000 PM,4017,40349,3912,40467,4045
46,173852079,22-MAR-21 04.31.13.443000 PM,4198,42060,4063,42116,4194
47,173857096,22-MAR-21 04.31.14.459000 PM,4314,43238,4164,43222,4306
48,173860421,22-MAR-21 04.31.15.477000 PM,4377,43999,4230,43990,4381
49,173863403,22-MAR-21 04.31.16.512000 PM,4450,44676,4310,44657,4452
50,173865935,22-MAR-21 04.31.17.538000 PM,4501,45264,4356,45231,4509
51,173872307,22-MAR-21 04.31.18.567000 PM,4651,46753,4481,46653,4636
52,173872988,22-MAR-21 04.31.19.594000 PM,4671,46908,4495,46802,4653
53,173877382,22-MAR-21 04.31.20.624000 PM,4789,47926,4592,47769,4759
54,173884112,22-MAR-21 04.31.21.640000 PM,4940,49456,4764,49285,4909
55,173888532,22-MAR-21 04.31.22.668000 PM,5046,50437,4849,50308,5023
56,173888728,22-MAR-21 04.31.23.706000 PM,5050,50475,4854,50359,5028
57,173888951,22-MAR-21 04.31.24.726000 PM,5054,50535,4859,50403,5030
58,173891306,22-MAR-21 04.31.25.744000 PM,5110,51068,4908,50944,5076
59,173896118,22-MAR-21 04.31.26.770000 PM,5222,52124,5039,52062,5185
60,173897390,22-MAR-21 04.31.27.785000 PM,5242,52390,5071,52297,5208
61,173903103,22-MAR-21 04.31.28.803000 PM,5352,53499,5184,53462,5322
62,173910562,22-MAR-21 04.31.29.823000 PM,5457,54962,5329,54840,5435
63,173910711,22-MAR-21 04.31.30.839000 PM,5412,54591,5296,54462,5400
64,173914882,22-MAR-21 04.31.31.856000 PM,5469,55255,5375,55146,5457
65,173920322,22-MAR-21 04.31.32.882000 PM,5546,55778,5412,55713,5491
