ts,total_tx,system_time,DELIVERY,NEWORD,OSTAT,PAYMENT,SLEV
0,154888491,24-MAY-21 04.49.02.206000 PM,0,0,0,0,0
1,154888575,24-MAY-21 04.49.03.218000 PM,2,23,2,16,0
2,154889289,24-MAY-21 04.49.04.226000 PM,17,188,19,174,23
3,154890749,24-MAY-21 04.49.05.235000 PM,62,515,54,499,52
4,154892968,24-MAY-21 04.49.06.244000 PM,120,1024,103,993,104
5,154895988,24-MAY-21 04.49.07.253000 PM,200,1690,167,1688,176
6,154899742,24-MAY-21 04.49.08.262000 PM,279,2533,253,2562,250
7,154904165,24-MAY-21 04.49.09.272000 PM,380,3520,352,3590,344
8,154909306,24-MAY-21 04.49.10.282000 PM,506,4633,474,4810,443
9,154914918,24-MAY-21 04.49.11.293000 PM,621,5930,602,6073,577
10,154921286,24-MAY-21 04.49.12.305000 PM,777,7379,748,7513,709
11,154928145,24-MAY-21 04.49.13.317000 PM,946,8917,893,9087,864
12,154934764,24-MAY-21 04.49.14.328000 PM,1098,10434,1034,10580,1015
13,154939809,24-MAY-21 04.49.15.350000 PM,1207,11620,1129,11700,1133
14,154946443,24-MAY-21 04.49.16.364000 PM,1361,13110,1280,13223,1288
15,154952747,24-MAY-21 04.49.17.387000 PM,1502,14591,1424,14596,1454
16,154959409,24-MAY-21 04.49.18.400000 PM,1673,16084,1564,16116,1615
17,154963632,24-MAY-21 04.49.19.414000 PM,1786,17054,1661,17052,1697
18,154964842,24-MAY-21 04.49.20.437000 PM,1815,17312,1687,17344,1725
19,154965812,24-MAY-21 04.49.21.449000 PM,1837,17530,1712,17565,1748
20,154968997,24-MAY-21 04.49.22.476000 PM,1917,18245,1791,18292,1807
21,154974881,24-MAY-21 04.49.23.510000 PM,2053,19573,1913,19637,1949
22,154977608,24-MAY-21 04.49.24.526000 PM,2116,20190,1986,20249,2021
23,154978965,24-MAY-21 04.49.25.567000 PM,2141,20496,2017,20568,2048
24,154981745,24-MAY-21 04.49.26.594000 PM,2212,21156,2077,21164,2113
25,154988643,24-MAY-21 04.49.27.605000 PM,2377,22697,2238,22734,2299
26,154993665,24-MAY-21 04.49.28.619000 PM,2485,23813,2339,23917,2407
27,154996746,24-MAY-21 04.49.29.635000 PM,2552,24509,2409,24625,2477
28,154999993,24-MAY-21 04.49.30.684000 PM,2621,25246,2479,25362,2564
29,155004650,24-MAY-21 04.49.31.704000 PM,2738,26326,2578,26400,2653
30,155008927,24-MAY-21 04.49.32.724000 PM,2820,27308,2680,27370,2761
31,155010910,24-MAY-21 04.49.33.750000 PM,2864,27794,2734,27784,2793
32,155012429,24-MAY-21 04.49.34.806000 PM,2885,28164,2776,28119,2828
33,155013319,24-MAY-21 04.49.35.837000 PM,2905,28348,2802,28334,2854
34,155018720,24-MAY-21 04.49.36.865000 PM,3031,29584,2916,29560,2963
35,155027329,24-MAY-21 04.49.37.886000 PM,3239,31564,3099,31486,3161
36,155032867,24-MAY-21 04.49.38.898000 PM,3391,32779,3215,32774,3275
37,155039181,24-MAY-21 04.49.39.916000 PM,3522,34205,3352,34234,3416
38,155047327,24-MAY-21 04.49.40.939000 PM,3700,36066,3557,36062,3627
39,155052555,24-MAY-21 04.49.41.975000 PM,3823,37218,3673,37293,3729
40,155056814,24-MAY-21 04.49.43.004000 PM,3906,38178,3772,38277,3829
41,155059893,24-MAY-21 04.49.44.017000 PM,3982,38877,3849,38960,3917
42,155061044,24-MAY-21 04.49.45.067000 PM,4011,39127,3879,39226,3945
43,155063147,24-MAY-21 04.49.46.107000 PM,4056,39606,3934,39707,3984
44,155068769,24-MAY-21 04.49.47.139000 PM,4176,40906,4066,40962,4124
45,155072379,24-MAY-21 04.49.48.169000 PM,4249,41712,4152,41795,4224
46,155073236,24-MAY-21 04.49.49.201000 PM,4255,41903,4172,42008,4241
47,155078797,24-MAY-21 04.49.50.233000 PM,4402,43189,4301,43231,4361
48,155082423,24-MAY-21 04.49.51.264000 PM,4487,44032,4368,44046,4434
49,155085900,24-MAY-21 04.49.52.296000 PM,4563,44802,4459,44853,4521
50,155088675,24-MAY-21 04.49.53.313000 PM,4632,45407,4525,45498,4585
51,155091136,24-MAY-21 04.49.54.328000 PM,4681,45989,4584,46044,4633
52,155092218,24-MAY-21 04.49.55.345000 PM,4713,46241,4601,46280,4658
53,155097718,24-MAY-21 04.49.56.367000 PM,4818,47493,4728,47556,4778
54,155101323,24-MAY-21 04.49.57.384000 PM,4904,48293,4794,48385,4874
55,155106216,24-MAY-21 04.49.58.398000 PM,5014,49411,4909,49493,4980
56,155108879,24-MAY-21 04.49.59.417000 PM,5085,50004,4977,50092,5049
57,155110016,24-MAY-21 04.50.00.445000 PM,5127,50264,5005,50333,5072
58,155110623,24-MAY-21 04.50.01.459000 PM,5140,50413,5018,50462,5083
59,155116650,24-MAY-21 04.50.02.476000 PM,5280,51774,5154,51837,5223
60,155124206,24-MAY-21 04.50.03.493000 PM,5443,53394,5345,53557,5385
